artist,title
Etta James,I’d Rather Go Blind
Elliott Smith ,Somebody That I Used to Know
Whitney Houston,I Will Always Love You
Gladys Knight & the Pips,Neither One of Us
the Righteous Brothers,You’ve Lost That Lovin’ Feelin’
Adele,Someone Like You
Amy Winehouse,Back to Black
Smokey Robinson and the Miracles,The Tracks of My Tears
Lauryn Hill,Ex-Factor
Alanis Morissette,You Oughta Know
Carole King,It’s Too Late
Yeah Yeah Yeahs,Maps
Ariana Grande,"thank u, next"
Otis Redding,Pain In My Heart
Gloria Gaynor,I Will Survive
Al Green,How Can You Mend a Broken Heart
Bob Dylan,Tangled Up in Blue
Leonard Cohen,"Hey, That’s No Way to Say Goodbye"
Beyoncé,Irreplaceable
Willie Nelson,Always on My Mind
Roy Orbison,Crying
No Doubt,Don't Speak
the White Stripes,I Just Don’t Know What to Do With Myself
Harry Nilsson,Without You
Joni Mitchell,River
Marvin Gaye,I Heard It Through the Grapevine
Boyz II Men,End of the Road
Outkast,Roses
Womack & Womack,Teardrops
Imogen Heap,Hide and Seek
Kanye West,Blame Game
Dionne Warwick,Walk On By
Toni Braxton,Un-Break My Heart
Drake,Marvins Room
Fleetwood Mac,Go Your Own Way
Miley Cyrus,Wrecking Ball
Sinead O’Connor,Nothing Compares 2 U
Hall & Oates,She’s Gone
TLC,Switch
Ruff Sqwad feat. Wiley,Together
Julie London,Cry Me a River
Kelly Clarkson,Since U Been Gone
the Jackson 5,I Want You Back
Salem Al Fakir & Josephine Bornebusch,I'm So Happy
Natalie Imbruglia,Torn
Biz Markie,Just a Friend
the Streets,Dry Your Eyes
Franz Ferdinand,I’m Cheating on You’
Cher,Believe
