artist,title
Nirvana,Smells Like Teen Spirit
The Notorious BIG,Juicy
Daft Punk,Da Funk
Pulp,Common People
Tupac Shakur and Dr. Dre,California Love
Portishead,Glory Box
Blur,Beetlebum
Massive Attack,Unfinished Sympathy
My Bloody Valentine,Soon
Snoop Doggy Dogg,Gin & Juice
PJ Harvey,Rid of Me
Le Tigre,Deceptacon
Beastie Boys,Sure Shot
Radiohead,Paranoid Android
Nine Inch Nails,Closer
Björk,Big Time Sensuality
DJ Shadow,Midnight in a Perfect World
Rage Against The Machine,Killing in the Name
Oasis,Live Forever
Lauryn Hill,Doo Wop (That Thing)
Elastica,Connection
Outkast,Rosa Parks
Beck,Where It’s At
the Wu-Tang Clan,C.R.E.A.M.
The Prodigy,Poison
Metallica,Enter Sandman
Aphex Twin,Windowlicker
Bikini Kill,Rebel Girl
Soundgarden,Black Hole Sun
Pearl Jam,Alive
A Tribe Called Quest,Scenario
Spice Girls,Say You’ll Be There
Jay-Z,Hard Knock Life (Ghetto Anthem)
 Smashing Pumpkins,1979
The Chemical Brothers,The Private Psychedelic Reel
Alanis Morissette,You Oughta Know
Ginuwine,Pony
Weezer,Undone - The Sweater Song
Boyz II Men,Motownphilly
Britney Spears,…Baby One More Time
The Fugees,Killing Me Softly
Primal Scream,Loaded
The Breeders,Cannonball
Third Eye Blind,Semi-Charmed Life
Mariah Carey,Fantasy
Pavement,Range Life
Ace of Base,The Sign
Dee-Lite,Groove is in the Heart
Natalie Imbruglia,Torn
