artist,title
Gloria Gaynor,I Will Survive
George Michael,Freedom! ’90
Madonna,Vogue
Perfume Genius,Queen
Against Me!,Black Me Out
Diana Ross,I’m Coming Out
Sylvester,You Make Me Feel (Mighty Real)
Judy Garland,Over the Rainbow
Erasure,A Little Respect
Queen,I Want to Break Free
Bronski Beat,Smalltown Boy
Village People,Y.M.C.A.
Ultra Naté,Free
Tegan and Sara,Closer
Frank Ocean,Forrest Gump
Pet Shop Boys,Go West
Cher,Believe
the Weather Girls,It’s Raining Men
Scissor Sisters,Let’s Have a Kiki
The Gossip,Where the Girls Are
Kylie Minogue,All the Lovers
RuPaul’,Supermodel (You Better Work)
Christina Aguilera,Beautiful
Lady Gaga,Born This Way
C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now)
David Bowie,The Jean Genie
Le Tigre,Viz
Billie Ray Martin,Your Loving Arms
Soft Cell,Tainted Love
CSS,City Grrrl
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
Donna Summer,Last Dance
Cyndi Lauper,True Colors
Melissa Etheridge,Come to My Window
Sam Smith,Him
Lou Reed,Walk on the Wild Side
Bikini Kill,Rebel Girl
Tim Curry,Sweet Transvestite
Angel Haze,Battle Cry
Robyn,Hang with Me
Mama Cass,Make Your Own Kind of Music
Electric Six,Gay Bar
Le1f,Wut
Sophie B. Hawkins,Damn I Wish I Was Your Lover
Peaches,I U She
Mika,Grace Kelly
CeCe Peniston,Finally
Frankie Goes to Hollywood,Relax
