artist,title
Prince,Let’s Go Crazy
James Brown & The Famous Flames,I Got You (I Feel Good)
Lizzo,Good as Hell
Katrina & The Waves,Walking on Sunshine
Bill Withers,Lovely Day
Janelle Monáe,Tightrope
Bob Marley & The Wailers,Three Little Birds
The Isley Brothers,Shout
ABBA,Dancing Queen
The Rascals,A Beautiful Morning
Hall & Oates,You Make My Dreams
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
The Beach Boys,Good Vibrations
Mark Ronson ft. Mystikal,Feel Right
Stevie Wonder,Sir Duke
Johnny Nash,I Can See Clearly Now
Sly & The Family Stone,Dance to the Music
The Beatles,All You Need is Love
the Violent Femmes,Blister in the Sun
Pharrell Williams,Happy
Michael Jackson,The Way You Make Me Feel
the Free Design,Kites Are Fun
Justin Timberlake,Can’t Stop the Feeling
Bobby McFerrin,"Don’t Worry, Be Happy"
