artist,title
Madonna,Like a Prayer
Prince,1999
Beyoncé,Single Ladies (Put a Ring on It)
C+C Music Factory,Gonna Make You Sweat
Carly Rae Jepsen,Call Me Maybe
OutKast,Hey Ya!
Bell Biv DeVoe,Poison
Michael Jackson,Rock with You
Salt-N-Pepa,Push It
LMFAO,Party Rock Anthem
Mark Ronson ft. Bruno Mars,Uptown Funk
Cheryl Lynn,Got to Be Real
Wham!,Wake Me Up Before You Go-Go
Psy,Gangnam Style
Snap!,The Power
MC Hammer,U Can’t Touch This
Sir Mix-a-Lot,Baby Got Back
Icona Pop,I Love It
Prince,Kiss
Billy Idol,Dancing With Myself
2pac,California Love
Taylor Swift,Shake It Off
Ke$ha,Tik Tok
Usher,Yeah
No Doubt,Hella Good
Justin Timberlake,SexyBack
Yello,Oh Yeah
Janet Jackson,Nasty
La Roux,Bulletproof
Lady Gaga,Just Dance
Shakira,Hips Don’t Lie
Katy Perry,California Gurls
Rihanna,We Found Love
Beastie Boys,(You Gotta) Fight For Your Right (To Party)
Fetty Wap,Trap Queen
Bee Gees,Stayin’ Alive
The Black Eyed Peas,Let’s Get It Started
Michael Jackson,Beat It
Ray Charles,What’d I Say
Madonna,Express Yourself
Daft Punk,Get Lucky
Amy Winehouse,Rehab
Kool and the Gang,Celebration
Parliament,Give Up the Funk
the Temptations,Ain’t Too Proud to Beg
the Contours,Do You Love Me
James Brown,I Got You (I Feel Good)
Janelle Monáe,Tightrope
Nicki Minaj,Super Bass
Megan Thee Stallion,Hot Girl Summer
Kanye West feat. Jamie Foxx,Gold Digger
the Notorious B.I.G.,Mo Money Mo Problems
50 Cent,In Da Club
Naughty by Nature,O.P.P.
Sisqo,Thong Song
TNGHT,Higher Ground
Drake,Started From the Bottom
A-ha,Take on Me
the Spice Girls,Wannabe
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
Ini Kamoze,Here Comes the Hotstepper
House of Pain ,Jump Around
Rob Base and DJ E-Z Rock,It Takes Two
Jay Z & Kanye West,N**gas in Paris
Wreckx-N-Effect,Rump Shaker
Run-D.M.C. with Aerosmith,Walk This Way
One Direction,What Makes You Beautiful
Rod Stewart,Da Ya Think I’m Sexy?
the Village People,Y.M.C.A.
Ciara ft. Missy Elliott,"One, Two Step"
the Romantics,What I Like About You
Devo,Whip It
Paula Abdul,Straight Up
the B-52’s,Love Shack
the Human League,Don’t You Want Me
Duran Duran,Rio
Taylor Dayne,Tell It to My Heart
Blondie,Heart of Glass
the Strokes,Last Nite
Soft Cell,Tainted Love
Franz Ferdinand,Take Me Out
Blur,Song 2
Bruce Springsteen,Dancing in the Dark
David Bowie,Modern Love
Cyndi Lauper,Girls Just Want To Have Fun
the White Stripes,Fell in Love with a Girl
Nirvana,Smells Like Teen Spirit
Dua Lipa,Don’t Start Now
Pharrell,Happy
The Weeknd,Blinding Lights
the Clash,Rock the Casbah
Rick James,Super Freak
Lionel Richie,All Night Long
Marvin Gaye,Got to Give It Up
Major Lazer,Pon De Floor
Rich Gang,Lifestyle
Hall & Oates,Maneater
