artist,title
Beyoncé,Single Ladies (Put a Ring on It)
Rihanna featuring Jay-Z,Umbrella
Taylor Swift,Shake it Off
Britney Spears,Toxic
Adele,Rolling in the Deep
Katy Perry,Firework
Amy Winehouse,Rehab
The Weeknd,Blinding Lights
Robyn,Dancing on My Own
Outkast,Hey Ya!
Shakira featuring Wyclef Jean,Hips Don't Lie
Justin Timberlake,SexyBack
Carly Rae Jepsen,Call Me Maybe
Mark Ronson and Bruno Mars,Uptown Funk
Lady Gaga,Poker Face
Gwen Stefani,Hollaback Girl
Nicki Minaj,Starships
Lorde,Royals
Miley Cyrus,Party in the U.S.A.
Billie Eilish,Bad Guy
Lizzo,Good as Hell
Daft Punk featuring Pharrell,Get Lucky
BTS,Dynamite
Harry Styles,Adore You
Ariana Grande,No Tears Left to Cry
Olivia Rodrigo,Drivers License
Justin Bieber,Sorry
David Guetta featuring Sia,Titanium
Pharrell Williams,Happy
Drake,Hotline Bling
Dua Lipa,Levitating
Kelis,Milkshake
Luis Fonsi and Daddy Yankee,Despacito
Destiny's Child,Bootylicious
Missy Elliott,Work It
Estelle featuring Kanye West,American Boy
Kelly Clarkson ,Since U Been Gone
Eve featuring Gwen Stefani,Let Me Blow Ya Mind
Psy,Gangnam Style
Gnarls Barkley,Crazy
