artist,title
Prince,Purple Rain
Michael Jackson,Beat It
Whitney Houston,I Wanna Dance with Somebody
NWA,Straight Outta Compton
Public Enemy,Fight the Power
Madonna,Express Yourself
David Bowie,Modern Love
Grandmaster Flash and The Furious Five,The Message
Talking Heads,This Must Be the Place (Naive Melody)
the Cure,Close to Me
Marvin Gaye,Sexual Healing
Tom Petty ,Free Fallin’
Bruce Springsteen,Dancing in the Dark
Tina Turner,What’s Love Got to Do With It
Tears for Fears,Everybody Wants to Rule the World
the Police,Every Breath You Take
A-ha,Take On Me
The Jesus and Mary Chain,Just Like Honey
U2,With or Without You
Sade,The Sweetest Taboo
Rick Astley,Never Gonna Give You Up
Lionel Richie,All Night Long
Toto,Africa
Culture Club,Karma Chameleon
Rick James,Super Freak
the Clash,Should I Stay or Should I Go
Cyndi Lauper,Time After Time
Dexys Midnight Runners,Come on Eileen
Pet Shop Boys,West End Girls
R.E.M,It’s the End of the World as We Know It
Queen & David Bowie,Under Pressure
Simple Minds,Don't You (Forget About Me)
the Pixies ,Where Is My Mind?
Soft Cell,Tainted Love
the Go-Go’s,We Got the Beat
Salt-N-Pepa,Push It
Devo,Whip It
Bonnie Tyler,Total Eclipse of the Heart
Blondie,Call Me
Guns N’ Roses,Sweet Child o’ Mine
Van Halen,Jump
Kurtis Blow,The Breaks
Peter Gabriel,Sledgehammer
Hall & Oates,I Can’t Go With That
Biz Markie,Just a Friend
Paul Simon,You Can Call Me Al
the Beastie Boys,Paul Revere
Phil Collins,In the Air Tonight
Duran Duran,Hungry Like the Wolf
Bon Jovi,Livin’ on a Prayer
