artist,title
Prince,Purple Rain
the Ronettes,Be My Baby
Bruce Springsteen,Born to Run
Whitney Houston,I Wanna Dance With Somebody
the B-52s,Love Shack
Ben E. King,Stand by Me
Lorde,Royals
Eurythmics,Sweet Dreams (Are Made of This)
The Fugees,Killing Me Softly
Gloria Gaynor,I Will Survive
Queen,Bohemian Rhapsody
Carley Rae Jepsen,Call Me Maybe
Tina Turner,The Best
Nancy Sinatra,These Boots are Made for Walkin’
the Righteous Brothers,You’ve Lost That Lovin’ Feeling
George Michael,Faith
Amy Winehouse,Rehab
Weezer,Say It Ain’t So
Lil Nas X,Old Town Road
Vanilla Ice,"Ice, Ice Baby"
Beastie Boys,(You Gotta) Fight For Your Right (to Party)
Aretha Franklin,(You Make Me Feel Like) A Natural Woman
Edward Sharpe and the Magnetic Zeros,Home
Elvis Presley,Suspicious Minds
Wham!,Wake Me Up Before You Go Go
Kenny Rogers and Dolly Parton,Islands in the Stream
Smokey Robinson and the Miracles,Tears of a Clown
Patsy Cline,Crazy
Sir Mix-A-Lot,Baby Got Back
Jay-Z and Beyonce,Drunk in Love
Def Leppard,Pour Some Sugar on Me
Erasure,A Little Respect
Guns N’ Roses,Sweet Child o’ Mine
Toto,Africa
Blondie,Heart of Glass
Katy Perry,Roar
Brandy and Monica,The Boy is Mine
Wilson Phillips,Hold On
Snoop Dogg,Drop It Like It’s Hot
Pharrell Williams,Happy
Miley Cyrus,Party in the U.S.A.
Outkast ,Hey Ya
Radiohead,Creep
Tears For Fears,Everybody Wants To Rule The World
the Rolling Stones,(I Can’t Get No) Satisfaction
Blink 182,What’s My Age Again
Adele,Someone Like You
