,id,k6_cluster,k10_cluster
35774,3uI6zLuHy7BkPTM6zpBLuw,1,1
35775,4kdKKsPHWsyNrvFsZrcg52,0,5
35776,0fIffclhgJC5h8AdMMVvkp,2,9
35777,2ZRdQMMKtmPLdYp9aP5cK5,0,5
35778,5T9aZRhY5uYeovAQtATLyK,0,5
35779,2T1GbU75iGVtOhNUbZuNqk,0,5
35780,79s5XnCN4TJKTVMSmOx8Ep,0,5
35781,51HgBYRV0YivvvQMyptpYH,0,5
35782,24b6djSbUFQtXAdyb3FMbr,0,5
35783,7wttMlE6un70hfwymwniYl,2,6
35784,1yTQ39my3MoNROlFw3RDNy,2,6
35785,36AWdhZIGLUTkWpJDhe7va,2,6
35786,61PwiYyJhF1HLi0OXomzQE,2,6
35787,5SAGopoaraFmLS08bNjLxB,1,1
35788,3dNv3OuX6ol9si6PZ9KSAh,1,1
35789,1jI1aLmm5HTwiMtvsbwDJw,4,2
35790,6qL8tweXFMqztcMwNB4r7y,4,7
35791,2QMa85sq03n0NhDAjQe5eQ,4,7
35792,6bh25NILjNfJnIvGRT2emC,4,7
35793,7KQZDqY3F09BDBC867WchW,0,5
35794,6iFV28FVLNTCjMBGj7YKLl,0,5
35795,15KhTtSEw7jdk2MFU0KZhY,0,5
35796,5MnXRG5LzgSzdpIkg5nagT,0,5
35797,1FkgoPdajl8gwC1hlyvHtC,0,5
35798,4icIWz2jQbEbeIYVWDfTZa,0,5
35799,0VSzfPaylp8k38VTP4dzSv,0,5
35800,4LGMSdeKOUoy5Wf75Je0Hl,0,5
35801,7FxFW29yyTJHv8zTtF75ec,0,5
35802,7nf4IieIo1lCydDgwW0WaD,0,5
35803,7wt6sMZ7RVmb4fiFXePS3K,0,5
35804,1SKhE8yTMuGrTLte0os673,0,5
35805,3dT126FgdirenOn5aDXHBE,0,7
35806,1FNvrp5K02oThumS6gllzp,4,7
35807,3pa1twfh1McWMyKH3Z5Tvb,1,1
35808,5U0ejkfocrFIdZVRsBZoor,1,9
35809,6ELzFMGAvADzJMiArbpfjp,1,1
35810,5JBGbFdBtLcCCygw8rtjli,2,9
35811,4g0eywnFu6aeIlUdhxm6PN,1,1
35812,5sDN7cWflaU1xHDlrCugA2,2,9
35813,78TGVE5MzCnVPDji7FW920,1,1
35814,1DjJZd1CYDSUU1ieQMyrVX,2,2
35815,3oSEK4SrwRNkdkAXigagSb,1,1
35816,0HSb1M8JyOxD8OiGriSzWL,1,1
35817,6rRIRMEhVclbTleCJQsrPm,4,7
35818,71MfSDt9aSa43hcFQNYW8w,5,0
35819,2lE7oRoKssULAtbWViL385,2,6
35820,5YFIbauvzRGfW7xktVjR0I,2,6
35821,2n1qxz4A57hRSSaLIVcVlH,4,9
35822,4l7YIni9bAiGwWMqK5wvgV,2,9
35823,6AdHfdw2i0iVYPmrKO8j5N,5,8
35824,3i4NqznVYpSzS05D74avnj,4,7
35825,1KaGqYTsMiVLB8UiOU7dRG,4,7
35826,5UioohK5jouJ6dRj93Mf03,0,5
35827,5eb8Tf8CxLOxqmofl6lGOL,5,8
35828,6wpz7aQOAk2plmGYrSr61H,4,7
35829,2IXQEa9qlOBfQN3G4QvRMu,4,7
35830,7j61qfTooymeOCTrQbmoMU,2,6
35831,2pZ0hxeOzyFAa5lgBWjPIW,4,7
35832,5Aq7S6nG7R1Ux6myqEL8A3,5,0
35833,2tbSiDmrerPi24rEIBwtkh,5,0
35834,1pphPpvYOvxPtftXI5AlWf,4,7
35835,2azWOogNx36guwUvsK6KWn,2,6
35836,6hi5FgiAi4wW4CulIPNTlU,4,7
35837,6j3EQkceEFzRrNYjhKKsJm,4,7
35838,74WS2t6pKJgWiJX5OOU6gZ,4,7
35839,24UY60Iu2c7ndAZxhW18gH,4,7
35840,3yeBDuXAnxRKUCtd3P3opC,2,6
35841,4uoM46LepmOhYjIvdluyUU,5,0
35842,1DSJNBNhGZCigg9ll5VeZv,4,7
35843,1UI0l2L66HJ9AtoEOlHzv4,2,6
35844,6039GmVngyHmWfOuWOhjCK,2,6
35845,4l1MNtoCiTxBwf6yxD7kFd,4,7
35846,70XtWbcVZcpaOddJftMcVi,2,6
35847,2I320CTP7hYFTtiFo1H6CD,2,6
35848,17HyUnJvY9J2l4fFzy9mPW,2,6
35849,3lpRz2Zp0mPKKgXfoLNt42,4,7
35850,4z4snWdgrJ8hbKFR0Bq2TU,2,6
35851,5FieJVbVreVaZdgoQiw9Yh,2,6
35852,4l3zi35EzEv8L7xLZ9jEcJ,2,6
35853,53cB5yfTFpMfaw7oBcAi2c,2,6
35854,1TsyCE4jMDwesDsEBn3dIG,2,6
35855,0Hqhn8gaB7SBrg1LFTd1S0,2,6
35856,4awBwsD0wBWWK9jqrUXctH,4,7
35857,5Amv02LQjNrMSoOT2L2WmQ,0,5
35858,2lOnbK3gm1N6keYkUD3mis,0,5
35859,52PgJoRz30sRQGOGqXYKdX,0,5
35860,3FFDBbDxnHNZKdQwx2HPjE,0,5
35861,4TGdvA9hBvyoOkuvHNje0M,0,2
35862,76ajwhzTiuwL2RcHyIVSiK,0,5
35863,6T1FGOC96wa0vaZ6qIz8VK,0,5
35864,1r2KW9ZKAWbirQfj1G7MDH,0,5
35865,01Zgtq7fhxX6jEywd2WYrh,0,5
35866,1W6LjwKVIxnBtKQd0juwLq,0,5
35867,6kQ0p90x2OgwandZiLyR6I,0,5
35868,2LXtaBWlREPQ1LDGCQKpKP,5,0
35869,4UDTrYv5vpFEzFDnU4sjSb,0,5
35870,6MY1xABxoZATrEr4FeUhEM,5,0
35871,2euZEspBxYfpKoZVN1E386,5,0
35872,5aYW9RJyVjqFlNHjlfL1Kw,5,8
35873,44zGAo63hhc3xo0rlBweRo,5,8
35874,2mUNPeRl81MwJpy40yqjED,5,0
35875,6C6H2lkwmb2F2eUHhnlNy5,5,8
35876,6Wkc6feqZPzPCdJVuJO7UE,5,8
35877,5lgOUdoMBB3eZuSmc5HL4r,2,9
35878,0DxirjMd0sE5C1annYHtt7,2,9
35879,6pLko0BJo4OmvbmPbLURsl,4,7
35880,5HQGvCeyUbpRm0gQdP61pP,2,6
35881,6i8gUFwd6cFuC20Wz4wDPq,2,9
35882,7GnCfb6wYzg3KyhbJCvOCv,2,6
