danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,audio_features,3BPoSr2pO34Aan6alFfVto,spotify:track:3BPoSr2pO34Aan6alFfVto,https://api.spotify.com/v1/tracks/3BPoSr2pO34Aan6alFfVto,https://api.spotify.com/v1/audio-analysis/3BPoSr2pO34Aan6alFfVto,208863,4
0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,audio_features,4Is1b37KJY9XVCgzp81FBW,spotify:track:4Is1b37KJY9XVCgzp81FBW,https://api.spotify.com/v1/tracks/4Is1b37KJY9XVCgzp81FBW,https://api.spotify.com/v1/audio-analysis/4Is1b37KJY9XVCgzp81FBW,208475,4
0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,audio_features,5OCJzvD7sykQEKHH7qAC3C,spotify:track:5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C,197547,4
0.592,0.788,6,-4.924,0,0.201,0.0599,2.54e-06,0.125,0.755,89.949,audio_features,2ONIJ40u0Attbm3miIIpNO,spotify:track:2ONIJ40u0Attbm3miIIpNO,https://api.spotify.com/v1/tracks/2ONIJ40u0Attbm3miIIpNO,https://api.spotify.com/v1/audio-analysis/2ONIJ40u0Attbm3miIIpNO,224493,4
0.641,0.837,4,-3.356,1,0.368,0.0481,0.0,0.0897,0.523,211.974,audio_features,7FnHUsFRTMg8VYteFKj3xL,spotify:track:7FnHUsFRTMg8VYteFKj3xL,https://api.spotify.com/v1/tracks/7FnHUsFRTMg8VYteFKj3xL,https://api.spotify.com/v1/audio-analysis/7FnHUsFRTMg8VYteFKj3xL,189653,4
0.803,0.705,10,-5.316,1,0.0624,0.107,3.6e-06,0.147,0.49,90.995,audio_features,71GAvRsilpo9pqd0vYn8Mo,spotify:track:71GAvRsilpo9pqd0vYn8Mo,https://api.spotify.com/v1/tracks/71GAvRsilpo9pqd0vYn8Mo,https://api.spotify.com/v1/audio-analysis/71GAvRsilpo9pqd0vYn8Mo,174200,4
0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,4VrWlk8IQxevMvERoX08iC,spotify:track:4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/tracks/4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/audio-analysis/4VrWlk8IQxevMvERoX08iC,216120,5
0.655,0.684,0,-5.18,1,0.0269,0.197,0.0036,0.278,0.27,110.037,audio_features,4nraNqonMyfc0U3o8VeXVu,spotify:track:4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/tracks/4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/audio-analysis/4nraNqonMyfc0U3o8VeXVu,174002,4
0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4
0.727,0.888,0,-2.756,1,0.0881,0.015,0.0,0.113,0.726,129.993,audio_features,2iXvnjL5CH66UpnGjXHDmZ,spotify:track:2iXvnjL5CH66UpnGjXHDmZ,https://api.spotify.com/v1/tracks/2iXvnjL5CH66UpnGjXHDmZ,https://api.spotify.com/v1/audio-analysis/2iXvnjL5CH66UpnGjXHDmZ,217486,4
0.964,0.605,9,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,129.994,audio_features,5eqiMMbaeUZ32Q7sS00H35,spotify:track:5eqiMMbaeUZ32Q7sS00H35,https://api.spotify.com/v1/tracks/5eqiMMbaeUZ32Q7sS00H35,https://api.spotify.com/v1/audio-analysis/5eqiMMbaeUZ32Q7sS00H35,260240,4
0.581,0.613,0,-9.444,1,0.0372,0.623,1.75e-05,0.212,0.214,90.098,audio_features,3idU6lZVKD6hvGjnpSHde8,spotify:track:3idU6lZVKD6hvGjnpSHde8,https://api.spotify.com/v1/tracks/3idU6lZVKD6hvGjnpSHde8,https://api.spotify.com/v1/audio-analysis/3idU6lZVKD6hvGjnpSHde8,216829,4
0.747,0.307,3,-8.617,1,0.0332,0.497,0.000121,0.131,0.323,127.841,audio_features,0wHLjfLyc26xILjHVMGIHN,spotify:track:0wHLjfLyc26xILjHVMGIHN,https://api.spotify.com/v1/tracks/0wHLjfLyc26xILjHVMGIHN,https://api.spotify.com/v1/audio-analysis/0wHLjfLyc26xILjHVMGIHN,192715,4
0.722,0.886,10,-3.028,1,0.0581,0.264,0.0,0.134,0.696,139.968,audio_features,0mACEYbz42CQdqAPjIJHi6,spotify:track:0mACEYbz42CQdqAPjIJHi6,https://api.spotify.com/v1/tracks/0mACEYbz42CQdqAPjIJHi6,https://api.spotify.com/v1/audio-analysis/0mACEYbz42CQdqAPjIJHi6,199781,4
0.608,0.92,4,-3.191,1,0.0953,0.013,0.00022,0.17,0.464,131.975,audio_features,6LaiBCdissYsmbt0JECf9g,spotify:track:6LaiBCdissYsmbt0JECf9g,https://api.spotify.com/v1/tracks/6LaiBCdissYsmbt0JECf9g,https://api.spotify.com/v1/audio-analysis/6LaiBCdissYsmbt0JECf9g,203071,4
0.702,0.749,6,-6.438,0,0.154,0.00489,0.000449,0.0926,0.358,108.105,audio_features,6STtmzolAUil3tKC2xB8OJ,spotify:track:6STtmzolAUil3tKC2xB8OJ,https://api.spotify.com/v1/tracks/6STtmzolAUil3tKC2xB8OJ,https://api.spotify.com/v1/audio-analysis/6STtmzolAUil3tKC2xB8OJ,158826,4
0.719,0.85,2,-3.229,1,0.0317,0.012,0.000239,0.114,0.367,150.059,audio_features,4xjVP2Vogo0C72o6Nevq0W,spotify:track:4xjVP2Vogo0C72o6Nevq0W,https://api.spotify.com/v1/tracks/4xjVP2Vogo0C72o6Nevq0W,https://api.spotify.com/v1/audio-analysis/4xjVP2Vogo0C72o6Nevq0W,188786,4
0.652,0.821,0,-3.219,1,0.0379,0.0116,0.00062,0.281,0.345,104.875,audio_features,2CLkRHfpYm3wAh8OJxVxOU,spotify:track:2CLkRHfpYm3wAh8OJxVxOU,https://api.spotify.com/v1/tracks/2CLkRHfpYm3wAh8OJxVxOU,https://api.spotify.com/v1/audio-analysis/2CLkRHfpYm3wAh8OJxVxOU,205067,4
0.75,0.883,6,-1.712,0,0.0432,0.226,9.84e-05,0.0437,0.85,127.069,audio_features,5unCIQfJLMtcsiU6MP5zmB,spotify:track:5unCIQfJLMtcsiU6MP5zmB,https://api.spotify.com/v1/tracks/5unCIQfJLMtcsiU6MP5zmB,https://api.spotify.com/v1/audio-analysis/5unCIQfJLMtcsiU6MP5zmB,200243,4
0.839,0.902,1,-3.612,0,0.0536,0.0868,0.00257,0.272,0.639,114.953,audio_features,42tFTth2jcF7iSo0RBjfJF,spotify:track:42tFTth2jcF7iSo0RBjfJF,https://api.spotify.com/v1/tracks/42tFTth2jcF7iSo0RBjfJF,https://api.spotify.com/v1/audio-analysis/42tFTth2jcF7iSo0RBjfJF,189050,4
