danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.647,0.861,9,-6.35,0,0.161,0.0379,0.0173,0.462,0.0897,126.951,audio_features,6jAPzxblYZrD1XpGAhIswt,spotify:track:6jAPzxblYZrD1XpGAhIswt,https://api.spotify.com/v1/tracks/6jAPzxblYZrD1XpGAhIswt,https://api.spotify.com/v1/audio-analysis/6jAPzxblYZrD1XpGAhIswt,171024,4
0.525,0.675,5,-5.094,1,0.0483,0.0617,1.06e-05,0.0847,0.195,139.905,audio_features,1eFlpHjgc4OCRMo4TgAh5g,spotify:track:1eFlpHjgc4OCRMo4TgAh5g,https://api.spotify.com/v1/tracks/1eFlpHjgc4OCRMo4TgAh5g,https://api.spotify.com/v1/audio-analysis/1eFlpHjgc4OCRMo4TgAh5g,219522,4
0.748,0.786,10,-5.129,0,0.057,0.0226,5.54e-05,0.167,0.664,123.996,audio_features,6BwPstqf4RoRMbDidFWNxE,spotify:track:6BwPstqf4RoRMbDidFWNxE,https://api.spotify.com/v1/tracks/6BwPstqf4RoRMbDidFWNxE,https://api.spotify.com/v1/audio-analysis/6BwPstqf4RoRMbDidFWNxE,137419,4
0.626,0.782,9,-8.503,1,0.0307,0.000226,0.0105,0.384,0.196,120.025,audio_features,6C2RhafaJZZ8kKN9ExyLlp,spotify:track:6C2RhafaJZZ8kKN9ExyLlp,https://api.spotify.com/v1/tracks/6C2RhafaJZZ8kKN9ExyLlp,https://api.spotify.com/v1/audio-analysis/6C2RhafaJZZ8kKN9ExyLlp,255000,4
0.713,0.898,11,-4.402,0,0.0358,0.00122,0.595,0.113,0.0736,114.025,audio_features,6vuF3LYipww2DRhRJ9s7CH,spotify:track:6vuF3LYipww2DRhRJ9s7CH,https://api.spotify.com/v1/tracks/6vuF3LYipww2DRhRJ9s7CH,https://api.spotify.com/v1/audio-analysis/6vuF3LYipww2DRhRJ9s7CH,223163,4
0.569,0.76,9,-8.848,1,0.0348,0.00892,0.00161,0.16,0.0366,120.014,audio_features,5uvTLiE8me3c4rW3mlVQbL,spotify:track:5uvTLiE8me3c4rW3mlVQbL,https://api.spotify.com/v1/tracks/5uvTLiE8me3c4rW3mlVQbL,https://api.spotify.com/v1/audio-analysis/5uvTLiE8me3c4rW3mlVQbL,217000,4
0.46,0.873,0,-5.567,1,0.0528,0.00111,0.00553,0.0837,0.182,139.963,audio_features,3DyQ8iVs0kfsgbugsPQfT8,spotify:track:3DyQ8iVs0kfsgbugsPQfT8,https://api.spotify.com/v1/tracks/3DyQ8iVs0kfsgbugsPQfT8,https://api.spotify.com/v1/audio-analysis/3DyQ8iVs0kfsgbugsPQfT8,207429,4
0.339,0.96,11,-6.175,1,0.0515,0.00775,0.892,0.13,0.17,174.084,audio_features,3cmpyH2zavEwZwWIGHcdyh,spotify:track:3cmpyH2zavEwZwWIGHcdyh,https://api.spotify.com/v1/tracks/3cmpyH2zavEwZwWIGHcdyh,https://api.spotify.com/v1/audio-analysis/3cmpyH2zavEwZwWIGHcdyh,331035,4
0.627,0.777,1,-6.396,1,0.0486,0.0384,0.000136,0.151,0.18,119.99,audio_features,5mdCX1AXoc8EDupVjAn581,spotify:track:5mdCX1AXoc8EDupVjAn581,https://api.spotify.com/v1/tracks/5mdCX1AXoc8EDupVjAn581,https://api.spotify.com/v1/audio-analysis/5mdCX1AXoc8EDupVjAn581,186000,4
0.704,0.341,4,-13.127,0,0.0328,0.00599,0.802,0.129,0.116,107.999,audio_features,0OIHK8vvOTnjg4dtBH34qX,spotify:track:0OIHK8vvOTnjg4dtBH34qX,https://api.spotify.com/v1/tracks/0OIHK8vvOTnjg4dtBH34qX,https://api.spotify.com/v1/audio-analysis/0OIHK8vvOTnjg4dtBH34qX,197875,4
