danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.448,0.00425,1,-22.99,1,0.0405,0.984,0.898,0.0966,0.0808,60.066,audio_features,2E67CbsQqI5k3iBoFWWDyi,spotify:track:2E67CbsQqI5k3iBoFWWDyi,https://api.spotify.com/v1/tracks/2E67CbsQqI5k3iBoFWWDyi,https://api.spotify.com/v1/audio-analysis/2E67CbsQqI5k3iBoFWWDyi,483320,4
0.476,0.0797,6,-18.02,0,0.0843,0.99,0.917,0.0641,0.0945,73.311,audio_features,3jEU0nm0kR7oS8Pi3eek8c,spotify:track:3jEU0nm0kR7oS8Pi3eek8c,https://api.spotify.com/v1/tracks/3jEU0nm0kR7oS8Pi3eek8c,https://api.spotify.com/v1/audio-analysis/3jEU0nm0kR7oS8Pi3eek8c,254000,4
0.239,0.0298,1,-28.096,0,0.0441,0.995,0.905,0.0975,0.104,169.748,audio_features,3On6u6kRRDCmmeK7mTuvFp,spotify:track:3On6u6kRRDCmmeK7mTuvFp,https://api.spotify.com/v1/tracks/3On6u6kRRDCmmeK7mTuvFp,https://api.spotify.com/v1/audio-analysis/3On6u6kRRDCmmeK7mTuvFp,336720,3
0.188,0.0409,9,-26.257,0,0.0429,0.977,0.867,0.0913,0.0369,58.826,audio_features,26thjDb1KTDISvDeBkC4qq,spotify:track:26thjDb1KTDISvDeBkC4qq,https://api.spotify.com/v1/tracks/26thjDb1KTDISvDeBkC4qq,https://api.spotify.com/v1/audio-analysis/26thjDb1KTDISvDeBkC4qq,785933,3
0.389,0.236,8,-19.523,0,0.0315,0.987,0.904,0.138,0.337,79.425,audio_features,15FXzVB8htlL6tLJD9uSzB,spotify:track:15FXzVB8htlL6tLJD9uSzB,https://api.spotify.com/v1/tracks/15FXzVB8htlL6tLJD9uSzB,https://api.spotify.com/v1/audio-analysis/15FXzVB8htlL6tLJD9uSzB,133800,4
0.443,0.0295,6,-20.159,1,0.0771,0.971,0.917,0.152,0.0361,65.325,audio_features,1lEVCX97LjxHpWrERH8r8d,spotify:track:1lEVCX97LjxHpWrERH8r8d,https://api.spotify.com/v1/tracks/1lEVCX97LjxHpWrERH8r8d,https://api.spotify.com/v1/audio-analysis/1lEVCX97LjxHpWrERH8r8d,262160,3
0.426,0.195,7,-19.367,0,0.0387,0.988,0.898,0.104,0.16,110.181,audio_features,7Eiq9HGZLxO4P5XyHpVNvu,spotify:track:7Eiq9HGZLxO4P5XyHpVNvu,https://api.spotify.com/v1/tracks/7Eiq9HGZLxO4P5XyHpVNvu,https://api.spotify.com/v1/audio-analysis/7Eiq9HGZLxO4P5XyHpVNvu,230000,4
0.198,0.0561,7,-24.504,0,0.04,0.987,0.904,0.1,0.0476,66.453,audio_features,6Hp4va6FOXK7PLGEDitQxu,spotify:track:6Hp4va6FOXK7PLGEDitQxu,https://api.spotify.com/v1/tracks/6Hp4va6FOXK7PLGEDitQxu,https://api.spotify.com/v1/audio-analysis/6Hp4va6FOXK7PLGEDitQxu,644667,4
0.175,0.327,9,-19.364,0,0.0456,0.967,0.864,0.129,0.0688,174.841,audio_features,50GcQO8cvoJO2gjTmuaHXd,spotify:track:50GcQO8cvoJO2gjTmuaHXd,https://api.spotify.com/v1/tracks/50GcQO8cvoJO2gjTmuaHXd,https://api.spotify.com/v1/audio-analysis/50GcQO8cvoJO2gjTmuaHXd,230067,4
0.263,0.199,5,-21.843,0,0.0385,0.992,0.92,0.0903,0.224,153.551,audio_features,5RgzsGmliN6LUsEI4rl1Ee,spotify:track:5RgzsGmliN6LUsEI4rl1Ee,https://api.spotify.com/v1/tracks/5RgzsGmliN6LUsEI4rl1Ee,https://api.spotify.com/v1/audio-analysis/5RgzsGmliN6LUsEI4rl1Ee,303424,4
0.176,0.211,8,-15.879,1,0.033,0.971,0.905,0.0422,0.0528,69.713,audio_features,3jHRV8IH9jUig2GF4dAv1a,spotify:track:3jHRV8IH9jUig2GF4dAv1a,https://api.spotify.com/v1/tracks/3jHRV8IH9jUig2GF4dAv1a,https://api.spotify.com/v1/audio-analysis/3jHRV8IH9jUig2GF4dAv1a,701653,4
0.402,0.151,1,-16.899,1,0.0347,0.985,0.912,0.0948,0.165,130.094,audio_features,3ID1UDiJJaRJxt7OqA8qln,spotify:track:3ID1UDiJJaRJxt7OqA8qln,https://api.spotify.com/v1/tracks/3ID1UDiJJaRJxt7OqA8qln,https://api.spotify.com/v1/audio-analysis/3ID1UDiJJaRJxt7OqA8qln,134493,5
0.383,0.188,11,-17.801,0,0.0447,0.967,0.864,0.0831,0.201,92.769,audio_features,1jr5JHZX41XR84jnY6kTJl,spotify:track:1jr5JHZX41XR84jnY6kTJl,https://api.spotify.com/v1/tracks/1jr5JHZX41XR84jnY6kTJl,https://api.spotify.com/v1/audio-analysis/1jr5JHZX41XR84jnY6kTJl,188933,4
0.234,0.0308,0,-25.64,0,0.039,0.989,0.8,0.0901,0.0465,93.224,audio_features,32et14wKNbIyYD5UV5NsQn,spotify:track:32et14wKNbIyYD5UV5NsQn,https://api.spotify.com/v1/tracks/32et14wKNbIyYD5UV5NsQn,https://api.spotify.com/v1/audio-analysis/32et14wKNbIyYD5UV5NsQn,651133,4
0.343,0.00528,1,-30.074,0,0.0524,0.993,0.867,0.0888,0.226,140.213,audio_features,5irbVmSwwxj4gvOFnyY6BA,spotify:track:5irbVmSwwxj4gvOFnyY6BA,https://api.spotify.com/v1/tracks/5irbVmSwwxj4gvOFnyY6BA,https://api.spotify.com/v1/audio-analysis/5irbVmSwwxj4gvOFnyY6BA,257507,4
0.307,0.00254,1,-32.61,1,0.0476,0.969,0.854,0.0857,0.0378,69.661,audio_features,3WeHhkiOegcISdIV4xpbft,spotify:track:3WeHhkiOegcISdIV4xpbft,https://api.spotify.com/v1/tracks/3WeHhkiOegcISdIV4xpbft,https://api.spotify.com/v1/audio-analysis/3WeHhkiOegcISdIV4xpbft,287400,5
0.32,0.00815,4,-25.834,0,0.0545,0.971,0.859,0.105,0.0346,55.331,audio_features,27jTxteRf6ZUOOKYcD7cZr,spotify:track:27jTxteRf6ZUOOKYcD7cZr,https://api.spotify.com/v1/tracks/27jTxteRf6ZUOOKYcD7cZr,https://api.spotify.com/v1/audio-analysis/27jTxteRf6ZUOOKYcD7cZr,472093,4
0.302,0.113,4,-20.608,0,0.0351,0.986,0.91,0.114,0.0761,132.098,audio_features,1ore0oErv1DbQEDqKNKsFx,spotify:track:1ore0oErv1DbQEDqKNKsFx,https://api.spotify.com/v1/tracks/1ore0oErv1DbQEDqKNKsFx,https://api.spotify.com/v1/audio-analysis/1ore0oErv1DbQEDqKNKsFx,1184000,3
0.388,0.208,7,-14.899,0,0.0309,0.978,0.918,0.156,0.2,85.555,audio_features,52hjM8aV7MAtQ6cw7EmljV,spotify:track:52hjM8aV7MAtQ6cw7EmljV,https://api.spotify.com/v1/tracks/52hjM8aV7MAtQ6cw7EmljV,https://api.spotify.com/v1/audio-analysis/52hjM8aV7MAtQ6cw7EmljV,175467,4
0.159,0.0457,9,-25.079,0,0.037,0.989,0.91,0.104,0.0617,83.529,audio_features,4HOxWlYgVcxjUQKHsD9pPc,spotify:track:4HOxWlYgVcxjUQKHsD9pPc,https://api.spotify.com/v1/tracks/4HOxWlYgVcxjUQKHsD9pPc,https://api.spotify.com/v1/audio-analysis/4HOxWlYgVcxjUQKHsD9pPc,1007000,4
