danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.742,0.49,7,-6.482,1,0.0513,0.562,0.0,0.191,0.509,82.994,audio_features,6qNXkVk19OYLu4CoqjDfZ0,spotify:track:6qNXkVk19OYLu4CoqjDfZ0,https://api.spotify.com/v1/tracks/6qNXkVk19OYLu4CoqjDfZ0,https://api.spotify.com/v1/audio-analysis/6qNXkVk19OYLu4CoqjDfZ0,193624,4
0.667,0.659,7,-7.101,1,0.266,0.103,0.0,0.12,0.206,85.169,audio_features,1yrneYDGaNVAZ3Ed7GrkYt,spotify:track:1yrneYDGaNVAZ3Ed7GrkYt,https://api.spotify.com/v1/tracks/1yrneYDGaNVAZ3Ed7GrkYt,https://api.spotify.com/v1/audio-analysis/1yrneYDGaNVAZ3Ed7GrkYt,205640,4
0.703,0.764,8,-4.532,1,0.29,0.225,0.0,0.158,0.746,89.818,audio_features,0OU4v07h5oT26f4zmxzddH,spotify:track:0OU4v07h5oT26f4zmxzddH,https://api.spotify.com/v1/tracks/0OU4v07h5oT26f4zmxzddH,https://api.spotify.com/v1/audio-analysis/0OU4v07h5oT26f4zmxzddH,249613,4
0.582,0.544,7,-6.591,1,0.0362,0.393,2.18e-06,0.135,0.142,129.933,audio_features,381VH1JFj9q08V1OMlPU5m,spotify:track:381VH1JFj9q08V1OMlPU5m,https://api.spotify.com/v1/tracks/381VH1JFj9q08V1OMlPU5m,https://api.spotify.com/v1/audio-analysis/381VH1JFj9q08V1OMlPU5m,177267,4
0.711,0.232,0,-10.165,1,0.0795,0.838,0.0,0.0844,0.361,139.785,audio_features,2ZoeyU8BudZBCyFOR8d5kw,spotify:track:2ZoeyU8BudZBCyFOR8d5kw,https://api.spotify.com/v1/tracks/2ZoeyU8BudZBCyFOR8d5kw,https://api.spotify.com/v1/audio-analysis/2ZoeyU8BudZBCyFOR8d5kw,201853,4
0.712,0.472,0,-12.245,0,0.0725,0.72,0.0,0.0557,0.407,95.117,audio_features,6HVink8pF0sKYvIbxptsqO,spotify:track:6HVink8pF0sKYvIbxptsqO,https://api.spotify.com/v1/tracks/6HVink8pF0sKYvIbxptsqO,https://api.spotify.com/v1/audio-analysis/6HVink8pF0sKYvIbxptsqO,207250,4
0.622,0.819,7,-5.556,1,0.0831,0.259,0.0,0.227,0.275,109.718,audio_features,1AXpSWeKoTGqEOikXCfYVX,spotify:track:1AXpSWeKoTGqEOikXCfYVX,https://api.spotify.com/v1/tracks/1AXpSWeKoTGqEOikXCfYVX,https://api.spotify.com/v1/audio-analysis/1AXpSWeKoTGqEOikXCfYVX,189295,4
0.663,0.754,4,-6.164,0,0.0537,0.0263,0.0,0.126,0.0989,95.996,audio_features,4VQ80l4O1jpTeI5126wB0P,spotify:track:4VQ80l4O1jpTeI5126wB0P,https://api.spotify.com/v1/tracks/4VQ80l4O1jpTeI5126wB0P,https://api.spotify.com/v1/audio-analysis/4VQ80l4O1jpTeI5126wB0P,221881,4
0.605,0.61,0,-8.974,1,0.0844,0.246,0.0,0.0914,0.265,79.822,audio_features,6T7auXdjnEFnifaWc796YQ,spotify:track:6T7auXdjnEFnifaWc796YQ,https://api.spotify.com/v1/tracks/6T7auXdjnEFnifaWc796YQ,https://api.spotify.com/v1/audio-analysis/6T7auXdjnEFnifaWc796YQ,126093,4
0.427,0.737,4,-4.804,1,0.052,0.344,0.0,0.0715,0.312,123.781,audio_features,15dYrloTvmcrkZ7xv5mfID,spotify:track:15dYrloTvmcrkZ7xv5mfID,https://api.spotify.com/v1/tracks/15dYrloTvmcrkZ7xv5mfID,https://api.spotify.com/v1/audio-analysis/15dYrloTvmcrkZ7xv5mfID,207907,4
0.624,0.768,1,-4.53,1,0.0828,0.109,0.0,0.262,0.335,136.091,audio_features,3VwuxRuADxP4LxhpBeO2nn,spotify:track:3VwuxRuADxP4LxhpBeO2nn,https://api.spotify.com/v1/tracks/3VwuxRuADxP4LxhpBeO2nn,https://api.spotify.com/v1/audio-analysis/3VwuxRuADxP4LxhpBeO2nn,182396,4
0.36,0.687,10,-6.858,1,0.0734,0.203,1.86e-06,0.178,0.339,92.701,audio_features,0iOHkI1AyDXfDeoXEFaP2e,spotify:track:0iOHkI1AyDXfDeoXEFaP2e,https://api.spotify.com/v1/tracks/0iOHkI1AyDXfDeoXEFaP2e,https://api.spotify.com/v1/audio-analysis/0iOHkI1AyDXfDeoXEFaP2e,224840,4
0.544,0.417,8,-4.387,1,0.0247,0.586,0.0,0.085,0.207,95.156,audio_features,3zl7j5ua8mF4JDYuxrfo01,spotify:track:3zl7j5ua8mF4JDYuxrfo01,https://api.spotify.com/v1/tracks/3zl7j5ua8mF4JDYuxrfo01,https://api.spotify.com/v1/audio-analysis/3zl7j5ua8mF4JDYuxrfo01,265363,3
0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
0.803,0.695,4,-5.164,0,0.0413,0.0622,0.0,0.105,0.458,119.978,audio_features,5IB44qTngIOBGYnjGZgz16,spotify:track:5IB44qTngIOBGYnjGZgz16,https://api.spotify.com/v1/tracks/5IB44qTngIOBGYnjGZgz16,https://api.spotify.com/v1/audio-analysis/5IB44qTngIOBGYnjGZgz16,210107,4
0.798,0.627,9,-6.234,1,0.111,0.263,0.0,0.211,0.762,149.989,audio_features,3NnbNYUCvWIOEx0wiWxq8a,spotify:track:3NnbNYUCvWIOEx0wiWxq8a,https://api.spotify.com/v1/tracks/3NnbNYUCvWIOEx0wiWxq8a,https://api.spotify.com/v1/audio-analysis/3NnbNYUCvWIOEx0wiWxq8a,195947,4
0.731,0.755,7,-5.495,0,0.144,0.163,0.0,0.453,0.328,94.079,audio_features,4npeg094qxxH7Fp2aoi04O,spotify:track:4npeg094qxxH7Fp2aoi04O,https://api.spotify.com/v1/tracks/4npeg094qxxH7Fp2aoi04O,https://api.spotify.com/v1/audio-analysis/4npeg094qxxH7Fp2aoi04O,167347,4
0.419,0.638,1,-8.486,1,0.0604,0.199,0.0,0.0984,0.606,134.904,audio_features,2Hg2uP2Udt0PIEZiPbfV26,spotify:track:2Hg2uP2Udt0PIEZiPbfV26,https://api.spotify.com/v1/tracks/2Hg2uP2Udt0PIEZiPbfV26,https://api.spotify.com/v1/audio-analysis/2Hg2uP2Udt0PIEZiPbfV26,177947,5
0.57,0.715,9,-5.973,0,0.113,0.291,0.0,0.358,0.296,117.239,audio_features,6DGl9TtxYTpMFrmZa1mwEz,spotify:track:6DGl9TtxYTpMFrmZa1mwEz,https://api.spotify.com/v1/tracks/6DGl9TtxYTpMFrmZa1mwEz,https://api.spotify.com/v1/audio-analysis/6DGl9TtxYTpMFrmZa1mwEz,184305,4
0.568,0.89,6,-4.612,1,0.0554,0.309,0.0,0.207,0.644,90.025,audio_features,1oMYET9xQB8XpxwTt2c5Dz,spotify:track:1oMYET9xQB8XpxwTt2c5Dz,https://api.spotify.com/v1/tracks/1oMYET9xQB8XpxwTt2c5Dz,https://api.spotify.com/v1/audio-analysis/1oMYET9xQB8XpxwTt2c5Dz,208080,4
