id,title,artists,pp_artist
1AdXchAT6hBUm5d6y4nKjI,21,['DaBaby'],DaBaby
2Yp9qysxGcSZocXOiv3hYs,Today - Intro,['DaBaby'],DaBaby
3WyRgi8CzQnhzO0xw79tTS,Goin Baby,['DaBaby'],DaBaby
0rrVn0KMlLHtAklzUrrfoj,Next Song,['DaBaby'],DaBaby
79R3qLqdbwUSYWX4cEOpbJ,What in XXXTarnation,"['XXXTENTACION', 'Ski Mask The Slump God']",XXXTENTACION / Ski Mask The Slump God
2LLkJ46RvmYlkqduRgK1Nn,Sunshine,"['Hoody', 'Crush']",Hoody / Crush
3RZMzCvYsmJ0u2ioKTOsmJ,Honky Tonk Women - Mono Version,['The Rolling Stones'],The Rolling Stones
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,['BØRNS'],BØRNS
5GorFaKkP2mLREQvhSblIg,All My Life,['K-Ci & JoJo'],K-Ci & JoJo
5mymaL5wREERekNoPojzyG,Until You Come Back to Me (That's What I'm Gonna Do),['Aretha Franklin'],Aretha Franklin
5SDcksP8En1l6RtTY1wzHc,Oceans (Where Feet May Fail),['Hillsong UNITED'],Hillsong UNITED
1cUyNauQChHpZm4RIe2Yuy,Everlasting God,['Chris Tomlin'],Chris Tomlin
5dSFlPDHjAuYU1apyrRgqV,Good Grief - Don Diablo Remix,"['Bastille', 'Don Diablo']",Bastille / Don Diablo
2JsKO2ygw4ft6QEy4U4RO4,Too High (feat. Jesse),"['Goody Grace', 'Jesse']",Goody Grace / Jesse
0YAQnYt2oB8OdoaeqnHyTI,Tribe (with J. Cole),"['Bas', 'J. Cole']",Bas / J. Cole
6tBQhXFoGLs3lxi0oA2EDK,Forget You,['DYSN'],DYSN
1IruBrVHO0XS9SfXGoYBXn,Headlock (feat. Offset),"['Cousin Stizz', 'Offset']",Cousin Stizz / Offset
1x1BKrrpq7CfOZPBeUsx16,Grey Luh,['Berhana'],Berhana
5sAJF2AlFywwnl2qhD4iUV,Candlelight Waltz,['Robin Spielberg'],Robin Spielberg
1enx9LPZrXxaVVBxas5rRm,Ordinary Love,"['Park Kyung', 'Park Boram']",Park Kyung / Park Boram
2QjxTQAOtgiTJSO83VjJcv,Dinner For Two,['Allysa Nelson'],Allysa Nelson
4Grli0SlPSpMKAJDeZURG2,Recently Played,['Crumb'],Crumb
2AKTIuiQolHu0taGNIzxpZ,SEX MONEY POWER,"['Kid Milli', 'JUSTHIS']",Kid Milli / JUSTHIS
5MmDbUVKsC7GyFx03PYqUY,Lee Rohan (Prod. by Padi),"['Rohann', 'ELO', 'Jessi']",Rohann / ELO / Jessi
6BZ6pl5bczDc3cMF1kBaOy,pink skies,['LANY'],LANY
2kzRSiyignH8yzPTrWvyPo,No Sleep,['Wiz Khalifa'],Wiz Khalifa
0Ool0clJiGDNADN6eaZDJ8,Sunny Nights,['LeRoyce'],LeRoyce
5ftdTvmQjjsL23t7jxADfI,Brazil,['Declan McKenna'],Declan McKenna
1jZhF1p0fLaVZHAyfjkumE,Social,['Smallpools'],Smallpools
5czZkLGepjburbkbEaCfm4,Cemetery,['COIN'],COIN
2MnEG4htbbdfoUsyzxZ4BM,Throwaway (with Clairo),"['SG Lewis', 'Clairo']",SG Lewis / Clairo
3zksbXteOCeSusJ5Xltr3t,Bubble Gum,['Clairo'],Clairo
5wBLDkxVvclanSitx5jq8e,Undead,['Hollywood Undead'],Hollywood Undead
7gevvAspxft2qQmcvJjNBH,A Good Night,"['John Legend', 'BloodPop®']",John Legend / BloodPop®
69uJi5QsBtqlYkGURTBli8,I Can't Make You Love Me,['Bonnie Raitt'],Bonnie Raitt
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,['Luke Combs'],Luke Combs
6FCfj69zzQHnrx4fTukhfo,Bulls on Parade - triple j Like A Version,['Denzel Curry'],Denzel Curry
6cMswWRv4lAU3mh5lclgCc,Dreaming,['Smallpools'],Smallpools
5aChZc5uCUTB3UTfOZv1Wn,No Different (Feat. Yuna),"['Epik High', 'Yuna']",Epik High / Yuna
1DUSuNhF8P5vUGNPpQiZa5,My Bad,['Khalid'],Khalid
1BCdVkPVwgdKRHMXEjJU32,Kryptonite,"['2JtheRichest', 'Lil Yachty']",2JtheRichest / Lil Yachty
5icOoE6VgqFKohjWWNp0Ac,Here With Me,"['Marshmello', 'CHVRCHES']",Marshmello / CHVRCHES
4RKnVvExDjV7s86GxlAvjB,TiP TOE 3,"['Riff Raff', 'Chief Keef']",Riff Raff / Chief Keef
3Mong1BzxMKwTZ0SbfLdcQ,Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,"['Clean Bandit', 'Ellie Goulding', 'Tiësto']",Clean Bandit / Ellie Goulding / Tiësto
4Cy5f4JsH1yoeGks7FnoHw,All The Lies (with Felix Jaehn & The Vamps),"['Alok', 'Felix Jaehn', 'The Vamps']",Alok / Felix Jaehn / The Vamps
6XRgC4KAp4upKu0v7H4tQo,Lo/Hi,['The Black Keys'],The Black Keys
74QQKW9sp5W60iQIugME8e,W.A.N.T.S,"['Global Dan', 'G-Eazy']",Global Dan / G-Eazy
5CHrot8hLSVnos8ipwFyHm,"Kaolo, Pt. 4",['Yellow Claw'],Yellow Claw
2kWKnnBDlviGdHKDPgJZGR,Rule The World (feat. Ariana Grande),"['2 Chainz', 'Ariana Grande']",2 Chainz / Ariana Grande
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,"['Sam Smith', 'Normani', 'Cheat Codes']",Sam Smith / Normani / Cheat Codes
3EKKIR8be1kfAAwaz1fzyS,Halfway There (feat. Lena Leon),"['Tiësto', 'Dzeko', 'Lena Leon']",Tiësto / Dzeko / Lena Leon
0vXHdKEc3qBkI7ALNvTq7U,Stranger Things Theme,['Vitamin String Quartet'],Vitamin String Quartet
4LfoYkTuIPgJ2RlNkN5P5C,EX - Remix,"['Kiana Ledé', 'Lil Baby']",Kiana Ledé / Lil Baby
26VQvcUzPMLc1Jd8oDEbfl,This Ain't Techno,"['David Guetta', 'Tom Staar']",David Guetta / Tom Staar
6PntjGhsLWsNlWfXnazHIY,House Of Glass,['Cage The Elephant'],Cage The Elephant
53KFMdxzi8IJDewiql1Qo3,Sunflower (feat. Steve Lacy),"['Vampire Weekend', 'Steve Lacy']",Vampire Weekend / Steve Lacy
46SWSNRB3oAAOu21Apj22z,Nobody,['Mac DeMarco'],Mac DeMarco
2txJKgDAXfLe9ipMG3VhOh,Another In The Fire - Live,['Hillsong UNITED'],Hillsong UNITED
5Fjp9RR9mwtQHKACnqew5o,Lovebird (feat. Lay),"['Far East Movement', 'LAY']",Far East Movement / LAY
1WjHVakCJweDgwfTBkrO7b,Shoebox (feat. NAV),"['HoodRich Pablo Juan', 'Gucci Mane', 'NAV']",HoodRich Pablo Juan / Gucci Mane / NAV
4klfEIqiFQNF9KXBwKJCy7,Salonen Cello Concerto: II.,"['Esa-Pekka Salonen', 'Yo-Yo Ma']",Esa-Pekka Salonen / Yo-Yo Ma
4v0134PgBTGsFJiGcV4eJk,Last To Leave (feat. Caroline Ailin),"['Louis The Child', 'Caroline Ailin']",Louis The Child / Caroline Ailin
1HIbnkHyl5Bua1tEyzbsyN,I'm YungManny,['YungManny'],YungManny
7foAlQwQ4Wc3IQcs5i6BYV,Skydiving,['Younghertz'],Younghertz
44HR0rNsmtTVawT5PrUK18,Star,['Younghertz'],Younghertz
72wk71G3cneNGaRSuYBnQM,Girlfriend (feat. Ty Dolla $ign & Quavo) - Remix,"['Kap G', 'Quavo', 'Ty Dolla $ign']",Kap G / Quavo / Ty Dolla $ign
70p3HYq9iHZisJqpDmWd1U,Guren no Yumiya,['Linked Horizon'],Linked Horizon
77ZQemPJGXXtbU7pQ0G43t,Blue Whale (Prod. by Nutty & STAFFONLY),"['AQUINAS', '$IGA A']",AQUINAS / $IGA A
33EX6asCsbfeIDAtj3Z3Xv,Mirror (Prod. by GroovyRoom),"['sokodomo', 'Untell']",sokodomo / Untell
2xLv5951UoWWX38RS9FszA,Wishing On A Star (Prod. by CODE KUNST),"['Young Kay', 'Gist']",Young Kay / Gist
55r8nZTBuV5FtQnEZpReHp,Wing Wing (Prod. by 기리보이 & Minit),"['TANGTHEAWESOME', 'BlueWhale']",TANGTHEAWESOME / BlueWhale
7ryamQN3BIUm92CyJCh9pp,Snow (Prod. by GIRIBOY),"['Lil tachi', 'HOTCHKISS']",Lil tachi / HOTCHKISS
5JGKtiiv6BUB3EeSgWSAMr,Forever Young,['GOT7'],GOT7
4PvH8Kd0h2Dpf4y2t2h7uq,너의 꿈에,['SURAN'],SURAN
3XlCxQd1OHi4mgrUa1uA18,PROVE IT,['Famous Dex'],Famous Dex
20R51WAZvXibKz2z9rXSjV,So Long My Friend,['Yung Bans'],Yung Bans
03leXL2qPlSEPZtNV4eNrV,China Shop,['St. Lucia'],St. Lucia
6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",['Sam & Dave'],Sam & Dave
5uS8HGp7VfuU5fDarEbNi7,Show Me The Way - Live / Remixed,['Peter Frampton'],Peter Frampton
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,['David Bowie'],David Bowie
4JFG8RLpi8m0xhjYmstb38,Evil Ways,['Santana'],Santana
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,['Boston'],Boston
0l2kEdf5XjlckyybbNjmYS,Roundabout,['Yes'],Yes
6QnVsqsS9W3E7HIc28vxpL,Feels Like the First Time,['Foreigner'],Foreigner
5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,['Deep Purple'],Deep Purple
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,['Led Zeppelin'],Led Zeppelin
