id,title,artists,pp_artist
2AfUjMwDO13IQbEQ3kCvO1,Pork Chop's Little Ditty - Edit Version,['Primus'],Primus
1R4By36dcTsai8sjC4b3Jw,Heavy Eyelids,['Danny L Harle'],Danny L Harle
2lt3EukzzxNHaVoz22FUqf,Orpheus - Ballet in 3 Scenes / 1st scene: Introduction,"['Igor Stravinsky', 'Orpheus Chamber Orchestra']",Igor Stravinsky / Orpheus Chamber Orchestra
1KPS1MHPrq9uPklJX8Q4XW,ILY2,['Charli XCX'],Charli XCX
4WAfKgCgcl915GbpdH8ptD,Muscle Cars,['Mylo'],Mylo
1X8jc3FHCa6rhciLl0sp45,Izzue,"['DaVido', 'Dammy Krane']",DaVido / Dammy Krane
0oVj4tzNaAN7WV6ZVcXdas,Pioneer,['Inkke'],Inkke
1mXUqkCpIIKUls5TJtDUHT,"Fart 1 SFX, Soundscape ringtone, alarm, alert","['Ringtones, Royalty Free Music, and Sound Effects']","Ringtones, Royalty Free Music, and Sound Effects"
7ePYV9wwzP81LwXqcqqeMJ,Happy All the Time,['Danny L Harle'],Danny L Harle
7Mu8VjpUfFqZJ5OKC1nNpQ,Owed T'Alex,['Captain Beefheart & His Magic Band'],Captain Beefheart & His Magic Band
43ri1ntzxjZgXh6KxQGDE1,You're Not Alone,['Olive'],Olive
6udFBv3qe6LOh2LfgVmbcY,Piel,['Arca'],Arca
03FOLqqUOGRcYR7LnWVM25,DJ's Unite - Volume 1,"[""Dj's Unite""]",Dj's Unite
7kbgARiW7NDJRWdtGBy2hK,Exercise No. 7,"['Luc Ferrari', 'Frederic Rebotier', 'Samon Takahashi', 'Ravi Shardja', 'Jean-Marcel Busson', 'Ciro Longobardi', 'Brunhild Ferrari']",Luc Ferrari / Frederic Rebotier / Samon Takahashi / Ravi Shardja / Jean-Marcel Busson / Ciro Longobardi / Brunhild Ferrari
4xX7OsX8XTGWJgRxNNIaFT,You Want Me (feat. Sadie Ama),"['Tom Zanetti', 'Sadie Ama']",Tom Zanetti / Sadie Ama
3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),"['Tinashe', 'ScHoolboy Q']",Tinashe / ScHoolboy Q
3RKYUjYedS0SrMw1nkt4Gf,Enemiez,"['Keke Palmer', 'Jeremih']",Keke Palmer / Jeremih
18kS89XLmy7TXpaLaH4OYO,Without You - Bonus Commentary,['David Guetta'],David Guetta
4ymByZAPRqTlyJASAoJ921,Bounce,"['Timbaland', 'Missy Elliott', 'Justin Timberlake', 'Dr. Dre']",Timbaland / Missy Elliott / Justin Timberlake / Dr. Dre
6wOFwXcpXvjC2f6UOGLKp6,After the Afterparty (feat. Lil Yachty) - Danny L Harle Remix,"['Charli XCX', 'Lil Yachty', 'Danny L Harle']",Charli XCX / Lil Yachty / Danny L Harle
4T4qq8dTBnN3mPCnp3y2oE,Money Owners,"['Shade Sheist', 'Timbaland']",Shade Sheist / Timbaland
1CCitjT63LKZY5XQFd1bte,The Hermit,['John Renbourn'],John Renbourn
3HvjdMXIlooglCXI3SrJGT,Cry (Just A Little) - Radio Edit,['Bingo Players'],Bingo Players
3HMM1UF3rSnpnq33wp3Lh1,Consumed,['The Haxan Cloak'],The Haxan Cloak
5M2LFOy2TvzBVU5KCd6N8v,Heaven,"['DJ Sammy', 'Do']",DJ Sammy / Do
2wCRJwiL1WSrW0Dwfco7Nj,Know Who You Are,"[""Auli'i Cravalho"", 'Vai Mahina', ""Olivia Foa'i"", ""Opetaia Foa'i"", 'Matthew Ineleo']",Auli'i Cravalho / Vai Mahina / Olivia Foa'i / Opetaia Foa'i / Matthew Ineleo
4Y8q64VnhD0vFYy9g2WFpi,It Feels So Good,['Sonique'],Sonique
7hflY8LpoAi4bUF7hBOWSX,Night And Day,['Raymond Scott'],Raymond Scott
7o1D7BNNWa4WAYIJNl0SLQ,NANIMONO (feat. 米津玄師) - Danny L Harle remix,"['Yasutaka Nakata', 'Kenshi Yonezu', 'Danny L Harle']",Yasutaka Nakata / Kenshi Yonezu / Danny L Harle
7bzGIvAl75rZB20O9t5a5Z,Monopoly,"['EASYFUN', 'Noonie Bao']",EASYFUN / Noonie Bao
3oOvErhSBCs0Bd6VgekYR9,"12 Etudes, Op. 10 (Excerpts): No. 1 in C Major ""Waterfall"" [Live]","['Frédéric Chopin', 'Maurizio Pollini']",Frédéric Chopin / Maurizio Pollini
0B2RttXEiyXsMeQ7mMP3EI,Cruel (feat. ZAYN),"['Snakehips', 'ZAYN']",Snakehips / ZAYN
04mo8aGpEs0V2XYP8rtA5E,blisters,['serpentwithfeet'],serpentwithfeet
5uTfpIHtRxtLTJo0gSqff8,Newark Cypher (feat. Nassie),"['DJ LILMAN', 'Nassie']",DJ LILMAN / Nassie
1ZAng3CBSfq4KLQF7oEFtB,All The Sad Young Men - Danny L Harle Remix,"['Spector', 'Danny L Harle']",Spector / Danny L Harle
1xN7BpTAWnZkuSLOtRP6Qc,Euphoria - Single Version,['Loreen'],Loreen
1EWsVHU4FNAdtN4R8FETag,Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",Nightcrawlers / MK
31NZmnpQihkWw7il2vXfOu,完全形態,['Kyary Pamyu Pamyu'],Kyary Pamyu Pamyu
0WF4bfTAgTTnh6RaEKf1lK,Born Naked (feat. Clairy Browne) [Stadium Remix],"['RuPaul', 'Clairy Browne', 'Stadium']",RuPaul / Clairy Browne / Stadium
4LIU44C0gLBeSJdrKi82ae,Super Natural (feat. Carly Rae Jepsen) - Autoerotique Remix,"['Danny L Harle', 'Carly Rae Jepsen', 'Autoerotique']",Danny L Harle / Carly Rae Jepsen / Autoerotique
4pDqq2SLcpQZn9TXkiiyeR,Memories - Original Mix,"['Scott Brown', 'Plus System']",Scott Brown / Plus System
6L35DYriF8W9Bu5HuqLkys,Really Don't Care,"['Demi Lovato', 'Cher Lloyd']",Demi Lovato / Cher Lloyd
3PUIVxGDO1WlEaO0ePTYzP,Touch Me,['Eva Tolkin'],Eva Tolkin
5YZU5hCuOVNezhwaZfAy3g,Track 6,['felicita'],felicita
3v2oAQomhOcYCPPHafS3KV,Opus,['Eric Prydz'],Eric Prydz
3MXDEDLmQPSQvoyJIYbIp3,Higher,['Carly Rae Jepsen'],Carly Rae Jepsen
3dhPpCQvw3kn7so6mkTbJ3,After Life (feat. Stacy Barthe),"['Tchami', 'Stacy Barthe']",Tchami / Stacy Barthe
4XrKWBHDm587nYp6Io33oo,Party Favors (feat. Young Thug),"['Tinashe', 'Young Thug']",Tinashe / Young Thug
7he6lozdc8BMqA2dTnonyk,"Tell Me, Tell Me...Baby",['*NSYNC'],*NSYNC
1NvAqtx7PytXUytohhYXbk,Secret (Shh),['Charli XCX'],Charli XCX
3ghwDnrMU5K6uQ1N97TdYk,Special - Danny L Harle Remix,"['Billon', 'Maxine Ashley']",Billon / Maxine Ashley
4Yu4cofaVvQbYSq5aHehD4,Antonio Lotti: Crucifixus a 8,['New London Singers'],New London Singers
1nMTBjKdCNPQoZdxsxzTLE,Booty-Whop,['Big Freedia'],Big Freedia
3KmJnUN23jLU4P6ecTzhnV,ELLE,['SOPHIE'],SOPHIE
2MJhYjlmSHLGblwqnblweV,Purcell : King Arthur : Overture to Act 1,['William Christie'],William Christie
2dWB85sLIZN6shUXNKq6lr,Void Vision,['Cyber People'],Cyber People
3Lnb561DlckyyTSONuqbLQ,The One,['Carly Rae Jepsen'],Carly Rae Jepsen
1XYRz1jsvXmOBNbLE44jCH,Super Natural (feat. Carly Rae Jepsen) - DJ Zinc Remix,"['Danny L Harle', 'Carly Rae Jepsen', 'DJ Zinc']",Danny L Harle / Carly Rae Jepsen / DJ Zinc
3r1PDPRXWzXCZJJQeiowfx,Chanting,"['Ornette Coleman', 'Prime Time']",Ornette Coleman / Prime Time
1tODhJU9HBb1ScNMXxZY1A,Super Natural (feat. Carly Rae Jepsen),"['Danny L Harle', 'Carly Rae Jepsen']",Danny L Harle / Carly Rae Jepsen
2aSnVDiHQuWeEdAonvd5tD,Shining star,['INNA'],INNA
4jYyr6UxgAIITQjOA4VT1Y,I Bite Through It,['Oneohtrix Point Never'],Oneohtrix Point Never
6sJWjeNP7stpwbuKV3ygFw,"Why Ask You II, MB 63","['John Bull', 'Mahan Esfahani']",John Bull / Mahan Esfahani
12nOJO89vc7vuHQUcse2Tq,Mary Mack,['Babyface'],Babyface
2Fc3GG0g44NbggiPUKM7AG,Portrait of Tracy,['Jaco Pastorius'],Jaco Pastorius
5TPCHtr8uYLKMXijNV8ZEz,Bass Creator,['Basshunter'],Basshunter
31S9lns2x8gDVOJjQ5iWCu,Wasserklavier,"['Luciano Berio', 'Tamara Anna Cislowska']",Luciano Berio / Tamara Anna Cislowska
4Nem67gauMONGhgtXj69FE,At Night (I Think About You) - Danny L Harle Remix,"['MNEK', 'Kevin Jz Prodigy', 'Danny L Harle']",MNEK / Kevin Jz Prodigy / Danny L Harle
6QNVYknUkjgXMHN44LllzC,No Good (Start The Dance) - Edit,['The Prodigy'],The Prodigy
5XqX2XLswrtp23AA8wDvYO,Mmmhm,['felicita'],felicita
2vmcv4E4FWPuaeF42WcXmT,Messe de Nostre Dame: II. Kyrie,"['Guillaume de Machaut', 'Diabolus in Musica', 'Antoine Guerber']",Guillaume de Machaut / Diabolus in Musica / Antoine Guerber
36lB3tfz1hlZ2xU7Tx67G0,Mirror Of Love,['2 Brothers On The 4th Floor'],2 Brothers On The 4th Floor
6HUkUySYHOmFCjjBozCBlz,Three Places in New England: The Housatonic at Stockbridge,"['Charles Ives', 'Leonard Slatkin', 'St. Louis Symphony']",Charles Ives / Leonard Slatkin / St. Louis Symphony
5Njrdd3SA4fOsDMPVphxSb,Maria Magdalena - Remastered,['Sandra'],Sandra
0xs0ewnEb6c2DlY7LjOD7t,Girls Just Wanna Have Fun,['Cyndi Lauper'],Cyndi Lauper
1Ppwc43WYFEBXw2n1ePhDY,Footloose,['Kenny Loggins'],Kenny Loggins
6ZEAXknmx2mrO3KgcDNpFI,Wake Me Up Before You Go-Go,['Wham!'],Wham!
01HfU8E4c9waj3jW9eudLe,All Night Long (All Night) - Single Version,['Lionel Richie'],Lionel Richie
2aEuA8PSqLa17Y4hKPj5rr,Cheri Cheri Lady,['Modern Talking'],Modern Talking
1BY1Vd2Bt6JPOhMvsIwtVv,Dancing With Myself,['Billy Idol'],Billy Idol
77z7uyqzErfQvre6x9fZD8,Video Killed The Radio Star,['The Buggles'],The Buggles
3XV94CG6thReMh5yHW9U8t,Take My Breath Away,['Berlin'],Berlin
0viZ7D81W8pD65TkzaFkXT,Love Is A Battlefield,['Pat Benatar'],Pat Benatar
4NH4xiPQ7TqNGqj6pZV4ki,Karma Chameleon,['Culture Club'],Culture Club
1yrNoXJopuBtsL5Vj62ESi,Englishman In New York,['Sting'],Sting
28o8m1o9RGtySbmQJtAvym,Africa,['TOTO'],TOTO
4CoSCPlKNrWli7E5kFtbcl,Little Lies - 2017 Remaster,['Fleetwood Mac'],Fleetwood Mac
2kYnfwjx2KSJIoHf7nBjNL,Dr. Beat,['Miami Sound Machine'],Miami Sound Machine
2oWMI54r0qT4N8Xb4C76vq,The Look,['Roxette'],Roxette
07ABETRdek3ACMpRPvQuaT,Always on My Mind,['Pet Shop Boys'],Pet Shop Boys
2W4HHauPXqsxTGgCMwGwaq,Listen to Your Heart - Swedish Single Edit,['Roxette'],Roxette
6hci8n9UowepjRmCc6CKTv,Somebody's Watching Me - Single Version,['Rockwell'],Rockwell
4Y5yjzs9FFw5qIgfZBd43I,"Living in America - From ""Rocky IV"" Soundtrack",['James Brown'],James Brown
1uBsu3PbD2909UBIfEMLvK,Jumpin' Jack Flash,['The Rolling Stones'],The Rolling Stones
0gljI0CtjpdZK6ecidfxto,Wild Thing,['Tone-Loc'],Tone-Loc
5HiKQLlJ3LAuz8J9yHB0HX,Teardrops - Single Version,['Womack & Womack'],Womack & Womack
7wnagOAqma4Sg6JOGjWr5R,Big in Japan - 2019 Remaster,['Alphaville'],Alphaville
6WK9dVrRABMkUXFLNlgWFh,Enjoy the Silence,['Depeche Mode'],Depeche Mode
1mie3LbIrkousFz6jwbsaZ,Fame,['London Theatre Orchestra & Cast'],London Theatre Orchestra & Cast
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,['Steppenwolf'],Steppenwolf
5vmRQ3zELMLUQPo2FLQ76x,Smalltown Boy,['Bronski Beat'],Bronski Beat
