id,title,artists,pp_artist
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,"['Carolina Gaitán - La Gaita', 'Mauro Castillo', 'Adassa', 'Rhenzy Feliz', 'Diane Guerrero', 'Stephanie Beatriz', 'Encanto - Cast']",Carolina Gaitán - La Gaita / Mauro Castillo / Adassa / Rhenzy Feliz / Diane Guerrero / Stephanie Beatriz / Encanto - Cast
4hJhHbkhZFnxmWbAkZRoe0,Peru,"['Fireboy DML', 'Ed Sheeran']",Fireboy DML / Ed Sheeran
760jhRscwGbIIe1m1IIQpU,Surface Pressure,['Jessica Darrow'],Jessica Darrow
4fouWK6XVHhzl78KzQ1UjL,abcdefu,['GAYLE'],GAYLE
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,"['Lost Frequencies', 'Calum Scott']",Lost Frequencies / Calum Scott
49KTdYsWNtkvOslTpgZuM1,War,"['ArrDee', 'Aitch']",ArrDee / Aitch
5rF6YUIlgiat22OT1lWspJ,Seventeen Going Under,['Sam Fender'],Sam Fender
4CUX44NA1CPEzd0ibMLQsL,Make Me Feel Good,"['Belters Only', 'Jazzy']",Belters Only / Jazzy
4b1yxSdlumA8N4fEk4UOZp,The Family Madrigal,"['Stephanie Beatriz', 'Olga Merediz', 'Encanto - Cast']",Stephanie Beatriz / Olga Merediz / Encanto - Cast
337kcYVjYXdLBItCw9ry3b,Overseas,"['D-Block Europe', 'Central Cee']",D-Block Europe / Central Cee
1DxRMgLoWXgmIFF2Unp5pD,Packs and Potions,['HAZEY'],HAZEY
53O5nAlq04RKmSBqW0SFvG,Down Under (feat. Colin Hay),"['Luude', 'Colin Hay']",Luude / Colin Hay
4MKOj49FQ3dlI9gqCOIjIn,Pump 101,"['Digga D', ""Still Brickin'""]",Digga D / Still Brickin'
3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,['Lauren Spencer-Smith'],Lauren Spencer-Smith
3Kkjo3cT83cw09VJyrLNwX,Oh My God,['Adele'],Adele
50nfwKoDiSYg8zOCREWAm5,Shivers,['Ed Sheeran'],Ed Sheeran
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",Imagine Dragons / JID / Arcane / League of Legends
63JU4kHsgytIKkSM4tedme,Everything's Electric,['Liam Gallagher'],Liam Gallagher
6I3mqTwhRpn34SLVafSH7G,Ghost,['Justin Bieber'],Justin Bieber
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,['Ed Sheeran'],Ed Sheeran
0YORgvqP1MotwCnDZzOwII,I Wish (feat. Mabel),"['Joel Corry', 'Mabel']",Joel Corry / Mabel
18asYwWugKjjsihZ0YvRxO,The Motto,"['Tiësto', 'Ava Max']",Tiësto / Ava Max
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,['Adele'],Adele
0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,['Tate McRae'],Tate McRae
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",Elton John / Dua Lipa / PNAU
6FRxFke9VsjXmibGgSeKki,Sweet Talker,"['Years & Years', 'Galantis']",Years & Years / Galantis
02MWAaffLxlfxAUY7c5dvx,Heat Waves,['Glass Animals'],Glass Animals
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),"['Gunna', 'Future', 'Young Thug']",Gunna / Future / Young Thug
1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,['The Weeknd'],The Weeknd
5iFQfP3AqVnHHS89LKQisL,Anyone For You,['George Ezra'],George Ezra
1PNs0uGru3TcrA94kpyGnc,Do We Have A Problem?,"['Nicki Minaj', 'Lil Baby']",Nicki Minaj / Lil Baby
1xIqDFx3KdByBnKMlTECcM,Coming for You (feat. A1 x J1),"['SwitchOTR', 'A1 x J1']",SwitchOTR / A1 x J1
0Ezi0P8N5aVQNaOKnJ3MHz,Cold Shoulder,['Central Cee'],Central Cee
50ZFpw2wS6ERvLmW8TINhq,Beg For You (feat. Rina Sawayama),"['Charli XCX', 'Rina Sawayama']",Charli XCX / Rina Sawayama
4btFHqumCO31GksfuBLLv3,Overpass Graffiti,['Ed Sheeran'],Ed Sheeran
0W7brFokN6QtGRNp32RCQP,Alone With You,['Arz'],Arz
42Xba467wgGvYrR2EE6s0i,Cigarettes,['Juice WRLD'],Juice WRLD
3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,['Em Beihold'],Em Beihold
48USW4aYqrylYWJmFPbC8A,Better Days,['Dermot Kennedy'],Dermot Kennedy
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),"['Jax Jones', 'MNEK']",Jax Jones / MNEK
1BSMpVGWs3v5BZKnAQziAc,Light Switch,['Charlie Puth'],Charlie Puth
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",The Kid LAROI / Justin Bieber
3a94TbZOxhkI9xuNwYL53b,Black Summer,['Red Hot Chili Peppers'],Red Hot Chili Peppers
2BzAGK3lEZAQz5cU0Ae1wd,Flowers (Say My Name),['ArrDee'],ArrDee
4ZtFanR9U6ndgddUvNcjcG,good 4 u,['Olivia Rodrigo'],Olivia Rodrigo
3xRH6FPVtheDyNla3T1FE7,Hrs and Hrs,['Muni Long'],Muni Long
20on25jryn53hWghthWWW3,Do It To It,"['ACRAZE', 'Cherish']",ACRAZE / Cherish
5SfQhaZTGL7IewCIvMifFJ,Brave,['Ella Henderson'],Ella Henderson
1SOClUWhOi8vHZYMz3GluK,Infinity,['Jaymes Young'],Jaymes Young
1E8xVRD9lPeXJQ3vXIlJk2,Retail Therapy,['Central Cee'],Central Cee
5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,"['Jnr Choi', 'Sam Tompkins']",Jnr Choi / Sam Tompkins
2AAyBZmMVZSZfgzXRYJOWQ,emo girl (feat. WILLOW),"['Machine Gun Kelly', 'WILLOW']",Machine Gun Kelly / WILLOW
7au23Qf6zRs72N3RztqUQe,Make You Smile,"['D-Block Europe', 'AJ Tracey']",D-Block Europe / AJ Tracey
6IlL9Xlnm0Oq6wXSe6TH9v,Used to This,"['Wilkinson', 'Issey Cross']",Wilkinson / Issey Cross
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,['Lil Nas X'],Lil Nas X
4vyG9ZhHT8MKJE5mTICMFC,Still Sleepless,"['D.O.D', 'Carla Monroe']",D.O.D / Carla Monroe
10hMM5nsZQf66ldBlgWBfG,All For Us - from the HBO Original Series Euphoria,"['Labrinth', 'Zendaya']",Labrinth / Zendaya
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),['CKay'],CKay
0DeCgH8St1bnHVry9gecMp,BMW,['Bad Boy Chiller Crew'],Bad Boy Chiller Crew
4ZtFanR9U6ndgddUvNcjcG,good 4 u,['Olivia Rodrigo'],Olivia Rodrigo
4CDIEKHMb2MBgvgHBkhiJD,When I'm Gone,['Eminem'],Eminem
2K7xn816oNHJZ0aVqdQsha,Softcore,['The Neighbourhood'],The Neighbourhood
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,['Ruth B.'],Ruth B.
4L7jMAP8UcIe309yQmkdcO,Lost,['Frank Ocean'],Frank Ocean
5QO79kh1waicV47BqGRL3g,Save Your Tears,['The Weeknd'],The Weeknd
4xMbBESczlHPUO8QeYi56p,My Heart Goes (La Di Da) (feat. Topic),"['Becky Hill', 'Topic']",Becky Hill / Topic
5dXWFMwD7I7zXsInONVl0H,I Hate U,['SZA'],SZA
4PYfFHKfjYz6dwAtZhBy1z,Obsessed With You,['Central Cee'],Central Cee
58BJ5oUPX5ST2pjCtOSMkk,"Money Calling (feat. RAYE, Russ Millions & wewantwraiths)","['Da Beatfreakz', 'Russ Millions', 'RAYE', 'wewantwraiths']",Da Beatfreakz / Russ Millions / RAYE / wewantwraiths
6Owc2SuzwO3LW1SAODYK3l,Melody,['Sigala'],Sigala
2gQPv5jvVPqU2a9HhMNO1v,Toxic,['BoyWithUke'],BoyWithUke
0sTlGEld0h8kIPZaKDYUf4,Notion,['The Rare Occasions'],The Rare Occasions
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,['The Weeknd'],The Weeknd
