artist,song
lost frequencies/calum scott,where are you now
belters only ft jazzy,make me feel good
luude ft colin hay,down under
acraze ft cherish,do it to it
joel corry ft mabel,i wish
tiesto & ava max,the motto
becky hill & topic,my heart goes (la di da)
ewan mcvicar,tell me something good
becky hill & david guetta,remember
jonasu,black magic
jax jones ft mnek,where did you go
joel corry/jax jones/xcx,out out
swedish house mafia/weeknd,moth to a flame
wilkinson & issey cross,used to this
dod & carla monroe,still sleepless
joel corry ft mnek,head & heart
galantis/guetta/little mix,heartbreak anthem
bad boy chiller crew,bmw
clean bandit/topic/wes nelson,drive
alesso/katy perry,when i'm gone
sigala,melody
shouse,love tonight
riton/nightcrawlers/mufasa,friday
tiesto,the business
joel corry/raye/david guetta,bed
calvin harris ft tom grennan,by your side
rain radio/dj craig gorman,talk about
meduza ft hozier,tell it to my heart
jonas blue & why don't we,don't wake me up
nathan evans/220kid/billen ted,wellerman
jethro heston/max marshall,cut me loose
bad boy chiller crew ft s dog,450
wilkinson ft becky hill,afterglow
david guetta/mistajam/newman,if you really love me (how will i know)
bru-c & bou,streetside
chainsmokers & coldplay,something just like this
avicii,wake me up
avicii,the nights
majestic & boney m,rasputin
bru-c,mesmerised
