danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.46,0.0491,3,-24.015,1,0.0312,0.943,0.289,0.111,0.183,95.99,audio_features,6mCWbMMxaK5FsCpI9jNQUb,spotify:track:6mCWbMMxaK5FsCpI9jNQUb,https://api.spotify.com/v1/tracks/6mCWbMMxaK5FsCpI9jNQUb,https://api.spotify.com/v1/audio-analysis/6mCWbMMxaK5FsCpI9jNQUb,309827,4
0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,audio_features,6fR6Z0Vc1K6yQWNUIKjAIR,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,https://api.spotify.com/v1/tracks/6fR6Z0Vc1K6yQWNUIKjAIR,https://api.spotify.com/v1/audio-analysis/6fR6Z0Vc1K6yQWNUIKjAIR,302720,4
0.396,0.652,6,-7.237,0,0.0272,0.0851,0.0986,0.132,0.551,144.72,audio_features,5y8vWKsOjVZXtdgi8xkaCD,spotify:track:5y8vWKsOjVZXtdgi8xkaCD,https://api.spotify.com/v1/tracks/5y8vWKsOjVZXtdgi8xkaCD,https://api.spotify.com/v1/audio-analysis/5y8vWKsOjVZXtdgi8xkaCD,242867,4
0.578,0.678,10,-4.965,1,0.0338,0.0173,0.00013,0.106,0.425,149.819,audio_features,4zLc6hMcOkRsGq0o19IFrC,spotify:track:4zLc6hMcOkRsGq0o19IFrC,https://api.spotify.com/v1/tracks/4zLc6hMcOkRsGq0o19IFrC,https://api.spotify.com/v1/audio-analysis/4zLc6hMcOkRsGq0o19IFrC,228800,4
0.326,0.404,10,-10.786,1,0.0383,0.741,2.81e-05,0.0738,0.269,77.628,audio_features,3rDK6tRoFhZoytOhlnK2VO,spotify:track:3rDK6tRoFhZoytOhlnK2VO,https://api.spotify.com/v1/tracks/3rDK6tRoFhZoytOhlnK2VO,https://api.spotify.com/v1/audio-analysis/3rDK6tRoFhZoytOhlnK2VO,275794,4
0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951,audio_features,4kbz7rHVbyjKasuuqelccQ,spotify:track:4kbz7rHVbyjKasuuqelccQ,https://api.spotify.com/v1/tracks/4kbz7rHVbyjKasuuqelccQ,https://api.spotify.com/v1/audio-analysis/4kbz7rHVbyjKasuuqelccQ,240040,4
0.521,0.441,0,-11.176,0,0.0248,0.232,0.149,0.362,0.238,75.221,audio_features,236mI0lz8JdQjlmijARSwY,spotify:track:236mI0lz8JdQjlmijARSwY,https://api.spotify.com/v1/tracks/236mI0lz8JdQjlmijARSwY,https://api.spotify.com/v1/audio-analysis/236mI0lz8JdQjlmijARSwY,511013,4
0.215,0.22,2,-13.078,0,0.0354,0.899,0.0594,0.141,0.0394,86.438,audio_features,4G3tv0qZ4W20ZOvOb02o4P,spotify:track:4G3tv0qZ4W20ZOvOb02o4P,https://api.spotify.com/v1/tracks/4G3tv0qZ4W20ZOvOb02o4P,https://api.spotify.com/v1/audio-analysis/4G3tv0qZ4W20ZOvOb02o4P,291107,3
0.775,0.562,10,-11.246,0,0.025,0.0655,0.153,0.0747,0.939,114.527,audio_features,651In9fY9BregQWY0cF7l2,spotify:track:651In9fY9BregQWY0cF7l2,https://api.spotify.com/v1/tracks/651In9fY9BregQWY0cF7l2,https://api.spotify.com/v1/audio-analysis/651In9fY9BregQWY0cF7l2,292080,4
0.21,0.346,4,-12.069,0,0.0299,0.252,0.336,0.247,0.22,79.026,audio_features,3D1Xnj2Q7oh7Vz3RH9fDvC,spotify:track:3D1Xnj2Q7oh7Vz3RH9fDvC,https://api.spotify.com/v1/tracks/3D1Xnj2Q7oh7Vz3RH9fDvC,https://api.spotify.com/v1/audio-analysis/3D1Xnj2Q7oh7Vz3RH9fDvC,265627,4
0.319,0.309,9,-11.944,0,0.0257,0.822,2.26e-06,0.0893,0.339,143.075,audio_features,04e1VQ69ll2TR5Jp8F2n5B,spotify:track:04e1VQ69ll2TR5Jp8F2n5B,https://api.spotify.com/v1/tracks/04e1VQ69ll2TR5Jp8F2n5B,https://api.spotify.com/v1/audio-analysis/04e1VQ69ll2TR5Jp8F2n5B,238187,3
0.394,0.547,2,-9.276,1,0.0383,0.436,0.000111,0.344,0.151,181.74,audio_features,6c9nkeetGbsoXa7d5E1wHa,spotify:track:6c9nkeetGbsoXa7d5E1wHa,https://api.spotify.com/v1/tracks/6c9nkeetGbsoXa7d5E1wHa,https://api.spotify.com/v1/audio-analysis/6c9nkeetGbsoXa7d5E1wHa,260227,4
0.572,0.51,5,-9.99,1,0.0308,0.0329,0.103,0.163,0.188,103.973,audio_features,2ejkRnZWPACfuqr06gFw1w,spotify:track:2ejkRnZWPACfuqr06gFw1w,https://api.spotify.com/v1/tracks/2ejkRnZWPACfuqr06gFw1w,https://api.spotify.com/v1/audio-analysis/2ejkRnZWPACfuqr06gFw1w,284053,4
0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,audio_features,1ixbwbeBi5ufN4noUKmW5a,spotify:track:1ixbwbeBi5ufN4noUKmW5a,https://api.spotify.com/v1/tracks/1ixbwbeBi5ufN4noUKmW5a,https://api.spotify.com/v1/audio-analysis/1ixbwbeBi5ufN4noUKmW5a,205200,4
0.518,0.378,10,-9.995,1,0.0342,0.759,0.0,0.0883,0.518,113.541,audio_features,6ArficY3dtVMWYkyTYkAJP,spotify:track:6ArficY3dtVMWYkyTYkAJP,https://api.spotify.com/v1/tracks/6ArficY3dtVMWYkyTYkAJP,https://api.spotify.com/v1/audio-analysis/6ArficY3dtVMWYkyTYkAJP,207200,4
0.386,0.345,1,-9.249,0,0.0301,0.605,0.000334,0.113,0.0951,114.217,audio_features,29U3UAoJsWlxb2i5GWpoLR,spotify:track:29U3UAoJsWlxb2i5GWpoLR,https://api.spotify.com/v1/tracks/29U3UAoJsWlxb2i5GWpoLR,https://api.spotify.com/v1/audio-analysis/29U3UAoJsWlxb2i5GWpoLR,256464,4
0.511,0.379,11,-11.3,1,0.0393,0.255,0.0,0.464,0.611,76.658,audio_features,2bsgmN8S7r2qBgiV8z8iWO,spotify:track:2bsgmN8S7r2qBgiV8z8iWO,https://api.spotify.com/v1/tracks/2bsgmN8S7r2qBgiV8z8iWO,https://api.spotify.com/v1/audio-analysis/2bsgmN8S7r2qBgiV8z8iWO,234493,4
0.333,0.572,2,-6.455,0,0.0302,0.00885,0.0,0.102,0.0707,110.402,audio_features,2VPK0BMgwyRtx9QlyBpdb0,spotify:track:2VPK0BMgwyRtx9QlyBpdb0,https://api.spotify.com/v1/tracks/2VPK0BMgwyRtx9QlyBpdb0,https://api.spotify.com/v1/audio-analysis/2VPK0BMgwyRtx9QlyBpdb0,245000,4
0.589,0.699,1,-5.883,0,0.0291,0.285,8.11e-05,0.0881,0.496,145.997,audio_features,6t1ahr2f1t9iSjjNFwFb4C,spotify:track:6t1ahr2f1t9iSjjNFwFb4C,https://api.spotify.com/v1/tracks/6t1ahr2f1t9iSjjNFwFb4C,https://api.spotify.com/v1/audio-analysis/6t1ahr2f1t9iSjjNFwFb4C,315603,4
0.621,0.713,10,-7.226,1,0.102,0.605,8.28e-06,0.103,0.609,78.022,audio_features,607EA1HsuzrqqaPuxyNqpD,spotify:track:607EA1HsuzrqqaPuxyNqpD,https://api.spotify.com/v1/tracks/607EA1HsuzrqqaPuxyNqpD,https://api.spotify.com/v1/audio-analysis/607EA1HsuzrqqaPuxyNqpD,251627,4
