danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.552,0.904,11,-4.891,0,0.114,0.0027,8.85e-06,0.0786,0.746,171.788,audio_features,78ul3D77noQsYjSwvwiPU1,spotify:track:78ul3D77noQsYjSwvwiPU1,https://api.spotify.com/v1/tracks/78ul3D77noQsYjSwvwiPU1,https://api.spotify.com/v1/audio-analysis/78ul3D77noQsYjSwvwiPU1,96133,4
0.679,0.788,5,-9.361,0,0.0509,6.07e-05,2.1e-06,0.0783,0.319,126.998,audio_features,3LmlegS3av5opwiIMVDbgI,spotify:track:3LmlegS3av5opwiIMVDbgI,https://api.spotify.com/v1/tracks/3LmlegS3av5opwiIMVDbgI,https://api.spotify.com/v1/audio-analysis/3LmlegS3av5opwiIMVDbgI,196764,4
0.108,0.0643,2,-24.955,0,0.0481,0.991,0.463,0.107,0.0308,85.335,audio_features,0IcMW2874obAa4VtBkz3b5,spotify:track:0IcMW2874obAa4VtBkz3b5,https://api.spotify.com/v1/tracks/0IcMW2874obAa4VtBkz3b5,https://api.spotify.com/v1/audio-analysis/0IcMW2874obAa4VtBkz3b5,301173,4
0.463,0.737,8,-6.869,1,0.036,0.39,0.904,0.113,0.202,149.997,audio_features,3K6ZuoCWiEwcfiyJ61L6Uf,spotify:track:3K6ZuoCWiEwcfiyJ61L6Uf,https://api.spotify.com/v1/tracks/3K6ZuoCWiEwcfiyJ61L6Uf,https://api.spotify.com/v1/audio-analysis/3K6ZuoCWiEwcfiyJ61L6Uf,235240,4
0.576,0.268,0,-14.313,1,0.0294,0.547,5.17e-05,0.118,0.175,115.952,audio_features,5vk7txLRuAjNatZD8OCrf4,spotify:track:5vk7txLRuAjNatZD8OCrf4,https://api.spotify.com/v1/tracks/5vk7txLRuAjNatZD8OCrf4,https://api.spotify.com/v1/audio-analysis/5vk7txLRuAjNatZD8OCrf4,298760,3
0.452,0.36,9,-14.252,0,0.035,0.867,0.0804,0.125,0.229,93.993,audio_features,6SA7BxY6zh5SaxUBp3tCtb,spotify:track:6SA7BxY6zh5SaxUBp3tCtb,https://api.spotify.com/v1/tracks/6SA7BxY6zh5SaxUBp3tCtb,https://api.spotify.com/v1/audio-analysis/6SA7BxY6zh5SaxUBp3tCtb,185827,3
0.426,0.232,1,-10.415,1,0.0276,0.00528,0.848,0.0951,0.209,56.489,audio_features,5rXMqG69nF9h4wU3qD3wiE,spotify:track:5rXMqG69nF9h4wU3qD3wiE,https://api.spotify.com/v1/tracks/5rXMqG69nF9h4wU3qD3wiE,https://api.spotify.com/v1/audio-analysis/5rXMqG69nF9h4wU3qD3wiE,150480,4
0.878,0.64,0,-5.641,1,0.0591,0.142,0.0,0.0981,0.658,124.069,audio_features,6xw8ld1ztoCKifwTN6uGDq,spotify:track:6xw8ld1ztoCKifwTN6uGDq,https://api.spotify.com/v1/tracks/6xw8ld1ztoCKifwTN6uGDq,https://api.spotify.com/v1/audio-analysis/6xw8ld1ztoCKifwTN6uGDq,200524,4
0.303,0.0228,7,-25.42,0,0.0442,0.993,0.452,0.104,0.0549,97.064,audio_features,0YuAfialDCpByqEt8Pj7wQ,spotify:track:0YuAfialDCpByqEt8Pj7wQ,https://api.spotify.com/v1/tracks/0YuAfialDCpByqEt8Pj7wQ,https://api.spotify.com/v1/audio-analysis/0YuAfialDCpByqEt8Pj7wQ,257747,4
0.207,0.606,1,-6.649,1,0.0456,0.359,0.000441,0.165,0.122,105.244,audio_features,4Vz7gRDm7Tzx0PzUAsVURD,spotify:track:4Vz7gRDm7Tzx0PzUAsVURD,https://api.spotify.com/v1/tracks/4Vz7gRDm7Tzx0PzUAsVURD,https://api.spotify.com/v1/audio-analysis/4Vz7gRDm7Tzx0PzUAsVURD,220187,4
0.846,0.482,11,-10.192,1,0.152,0.249,0.0582,0.0975,0.4,117.013,audio_features,66GUwtlP1t61yBOMwhBaAb,spotify:track:66GUwtlP1t61yBOMwhBaAb,https://api.spotify.com/v1/tracks/66GUwtlP1t61yBOMwhBaAb,https://api.spotify.com/v1/audio-analysis/66GUwtlP1t61yBOMwhBaAb,192262,4
0.551,0.726,8,-9.067,1,0.0378,0.106,0.86,0.131,0.177,120.004,audio_features,7IgV27kgRGH0Bg9iseL8NS,spotify:track:7IgV27kgRGH0Bg9iseL8NS,https://api.spotify.com/v1/tracks/7IgV27kgRGH0Bg9iseL8NS,https://api.spotify.com/v1/audio-analysis/7IgV27kgRGH0Bg9iseL8NS,234667,5
0.572,0.907,2,-6.236,1,0.0364,0.0205,0.95,0.0957,0.0382,127.998,audio_features,1WP4Ocvz76jZsGV2WU0BWL,spotify:track:1WP4Ocvz76jZsGV2WU0BWL,https://api.spotify.com/v1/tracks/1WP4Ocvz76jZsGV2WU0BWL,https://api.spotify.com/v1/audio-analysis/1WP4Ocvz76jZsGV2WU0BWL,352493,4
0.511,0.897,8,-7.614,1,0.0389,0.0888,0.0254,0.869,0.531,125.003,audio_features,2Hb0eYJUIMtX3eoPXQdEy5,spotify:track:2Hb0eYJUIMtX3eoPXQdEy5,https://api.spotify.com/v1/tracks/2Hb0eYJUIMtX3eoPXQdEy5,https://api.spotify.com/v1/audio-analysis/2Hb0eYJUIMtX3eoPXQdEy5,322080,4
0.423,0.298,11,-15.453,0,0.0276,0.116,0.0685,0.0728,0.182,63.581,audio_features,7Fg4jpwpkdkGCvq1rrXnvx,spotify:track:7Fg4jpwpkdkGCvq1rrXnvx,https://api.spotify.com/v1/tracks/7Fg4jpwpkdkGCvq1rrXnvx,https://api.spotify.com/v1/audio-analysis/7Fg4jpwpkdkGCvq1rrXnvx,382280,4
0.615,0.907,10,-13.352,0,0.0448,0.0484,0.147,0.0842,0.693,164.911,audio_features,3qhArZJLBv2ivxjEifc7wK,spotify:track:3qhArZJLBv2ivxjEifc7wK,https://api.spotify.com/v1/tracks/3qhArZJLBv2ivxjEifc7wK,https://api.spotify.com/v1/audio-analysis/3qhArZJLBv2ivxjEifc7wK,327809,4
0.444,0.19,9,-13.989,0,0.0334,0.934,0.0436,0.0942,0.705,82.549,audio_features,3qJ7uiN8W7ykxSVZ1lvdLs,spotify:track:3qJ7uiN8W7ykxSVZ1lvdLs,https://api.spotify.com/v1/tracks/3qJ7uiN8W7ykxSVZ1lvdLs,https://api.spotify.com/v1/audio-analysis/3qJ7uiN8W7ykxSVZ1lvdLs,160048,3
0.677,0.409,1,-16.47,1,0.0357,0.66,0.722,0.127,0.719,112.163,audio_features,23hOxIfDUGLSZ9AaXGmlsu,spotify:track:23hOxIfDUGLSZ9AaXGmlsu,https://api.spotify.com/v1/tracks/23hOxIfDUGLSZ9AaXGmlsu,https://api.spotify.com/v1/audio-analysis/23hOxIfDUGLSZ9AaXGmlsu,224240,4
0.782,0.6,1,-4.787,1,0.169,0.00126,0.0,0.126,0.281,113.349,audio_features,3l1DD2X1lomNhj6xO3ftcb,spotify:track:3l1DD2X1lomNhj6xO3ftcb,https://api.spotify.com/v1/tracks/3l1DD2X1lomNhj6xO3ftcb,https://api.spotify.com/v1/audio-analysis/3l1DD2X1lomNhj6xO3ftcb,149498,5
0.642,0.551,2,-9.158,1,0.0334,0.00397,0.00225,0.835,0.642,127.949,audio_features,7bWCQHQh8xBbd83RRXR0II,spotify:track:7bWCQHQh8xBbd83RRXR0II,https://api.spotify.com/v1/tracks/7bWCQHQh8xBbd83RRXR0II,https://api.spotify.com/v1/audio-analysis/7bWCQHQh8xBbd83RRXR0II,201493,4
0.571,0.717,6,-8.333,1,0.336,0.359,3.12e-06,0.797,0.881,87.54,audio_features,4WM1hvYr2NC6bQnQXcj3sH,spotify:track:4WM1hvYr2NC6bQnQXcj3sH,https://api.spotify.com/v1/tracks/4WM1hvYr2NC6bQnQXcj3sH,https://api.spotify.com/v1/audio-analysis/4WM1hvYr2NC6bQnQXcj3sH,131867,4
