danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.173,0.00307,4,-31.524,0,0.041,0.992,0.949,0.0862,0.0538,67.321,audio_features,7tZAIFDdk4mTpxyjCmeyR7,spotify:track:7tZAIFDdk4mTpxyjCmeyR7,https://api.spotify.com/v1/tracks/7tZAIFDdk4mTpxyjCmeyR7,https://api.spotify.com/v1/audio-analysis/7tZAIFDdk4mTpxyjCmeyR7,146667,3
0.206,0.00664,7,-31.964,0,0.0366,0.98,0.958,0.0883,0.052,77.018,audio_features,6XJGpirOP4Bgurcvkdanxb,spotify:track:6XJGpirOP4Bgurcvkdanxb,https://api.spotify.com/v1/tracks/6XJGpirOP4Bgurcvkdanxb,https://api.spotify.com/v1/audio-analysis/6XJGpirOP4Bgurcvkdanxb,186067,4
0.304,0.0116,7,-33.19,0,0.0337,0.983,0.963,0.104,0.0364,77.84,audio_features,33B1XmfncHqnfkrYZIcHbD,spotify:track:33B1XmfncHqnfkrYZIcHbD,https://api.spotify.com/v1/tracks/33B1XmfncHqnfkrYZIcHbD,https://api.spotify.com/v1/audio-analysis/33B1XmfncHqnfkrYZIcHbD,246627,4
0.324,0.0648,9,-23.708,0,0.0386,0.81,0.904,0.0834,0.0374,113.271,audio_features,1W8DwfmoosS0v59am8Tcsj,spotify:track:1W8DwfmoosS0v59am8Tcsj,https://api.spotify.com/v1/tracks/1W8DwfmoosS0v59am8Tcsj,https://api.spotify.com/v1/audio-analysis/1W8DwfmoosS0v59am8Tcsj,592531,4
0.414,0.00893,1,-27.565,1,0.0432,0.991,0.944,0.09,0.0439,89.867,audio_features,4m1O87UP5gIFVpHFmB63Xw,spotify:track:4m1O87UP5gIFVpHFmB63Xw,https://api.spotify.com/v1/tracks/4m1O87UP5gIFVpHFmB63Xw,https://api.spotify.com/v1/audio-analysis/4m1O87UP5gIFVpHFmB63Xw,56000,3
0.26,0.0284,10,-35.154,0,0.0365,0.989,0.879,0.101,0.0686,148.335,audio_features,6YIVnNGvFXGwruyqLQcICm,spotify:track:6YIVnNGvFXGwruyqLQcICm,https://api.spotify.com/v1/tracks/6YIVnNGvFXGwruyqLQcICm,https://api.spotify.com/v1/audio-analysis/6YIVnNGvFXGwruyqLQcICm,236000,3
0.229,0.138,3,-18.358,0,0.0364,0.981,0.919,0.119,0.0662,66.618,audio_features,1YYTAOi1YMxmGclyO1HH6O,spotify:track:1YYTAOi1YMxmGclyO1HH6O,https://api.spotify.com/v1/tracks/1YYTAOi1YMxmGclyO1HH6O,https://api.spotify.com/v1/audio-analysis/1YYTAOi1YMxmGclyO1HH6O,184787,3
0.162,0.364,9,-12.113,0,0.039,0.869,0.936,0.244,0.186,68.667,audio_features,4OZXz0xNDrcqWDhHOkJ3Or,spotify:track:4OZXz0xNDrcqWDhHOkJ3Or,https://api.spotify.com/v1/tracks/4OZXz0xNDrcqWDhHOkJ3Or,https://api.spotify.com/v1/audio-analysis/4OZXz0xNDrcqWDhHOkJ3Or,114427,3
0.165,0.525,8,-14.618,0,0.0376,0.581,0.972,0.168,0.189,60.221,audio_features,21EFHSueNgag8la7qdYzuh,spotify:track:21EFHSueNgag8la7qdYzuh,https://api.spotify.com/v1/tracks/21EFHSueNgag8la7qdYzuh,https://api.spotify.com/v1/audio-analysis/21EFHSueNgag8la7qdYzuh,157053,5
0.189,0.13,10,-18.634,1,0.0408,0.854,0.91,0.0977,0.0375,110.93,audio_features,3bcvk1PiCoAKDxizlZuCo1,spotify:track:3bcvk1PiCoAKDxizlZuCo1,https://api.spotify.com/v1/tracks/3bcvk1PiCoAKDxizlZuCo1,https://api.spotify.com/v1/audio-analysis/3bcvk1PiCoAKDxizlZuCo1,451360,3
