danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.683,0.0869,10,-15.794,1,0.068,0.978,0.000241,0.178,0.623,104.064,audio_features,2iwYVxOp3LAIuo3Ygeka9e,spotify:track:2iwYVxOp3LAIuo3Ygeka9e,https://api.spotify.com/v1/tracks/2iwYVxOp3LAIuo3Ygeka9e,https://api.spotify.com/v1/audio-analysis/2iwYVxOp3LAIuo3Ygeka9e,189213,4
0.616,0.115,8,-19.435,1,0.0492,0.978,0.00467,0.143,0.476,78.383,audio_features,1zxCjZeEA3nUEj0jiERGzY,spotify:track:1zxCjZeEA3nUEj0jiERGzY,https://api.spotify.com/v1/tracks/1zxCjZeEA3nUEj0jiERGzY,https://api.spotify.com/v1/audio-analysis/1zxCjZeEA3nUEj0jiERGzY,186748,4
0.622,0.185,0,-10.119,1,0.0687,0.966,0.0,0.092,0.641,100.454,audio_features,1AgqbJYafUksSlm0VmnCWK,spotify:track:1AgqbJYafUksSlm0VmnCWK,https://api.spotify.com/v1/tracks/1AgqbJYafUksSlm0VmnCWK,https://api.spotify.com/v1/audio-analysis/1AgqbJYafUksSlm0VmnCWK,194387,4
0.756,0.087,3,-16.233,0,0.061,0.977,2e-06,0.174,0.528,111.653,audio_features,3HqGiwt9yGTkmAejYlTi4S,spotify:track:3HqGiwt9yGTkmAejYlTi4S,https://api.spotify.com/v1/tracks/3HqGiwt9yGTkmAejYlTi4S,https://api.spotify.com/v1/audio-analysis/3HqGiwt9yGTkmAejYlTi4S,160707,4
0.711,0.0724,5,-17.702,0,0.0415,0.973,1.76e-05,0.332,0.574,131.07,audio_features,0BlxIQOEJDTeLusAl3sdl0,spotify:track:0BlxIQOEJDTeLusAl3sdl0,https://api.spotify.com/v1/tracks/0BlxIQOEJDTeLusAl3sdl0,https://api.spotify.com/v1/audio-analysis/0BlxIQOEJDTeLusAl3sdl0,163467,4
0.399,0.119,8,-21.108,0,0.0415,0.991,0.862,0.111,0.281,137.173,audio_features,6i7avSOs72dEU4JlGiT4uY,spotify:track:6i7avSOs72dEU4JlGiT4uY,https://api.spotify.com/v1/tracks/6i7avSOs72dEU4JlGiT4uY,https://api.spotify.com/v1/audio-analysis/6i7avSOs72dEU4JlGiT4uY,195267,4
0.686,0.189,11,-18.86,0,0.24,0.91,0.0241,0.134,0.664,80.701,audio_features,1mmOy1OBIYoPGPHJyvQ0h1,spotify:track:1mmOy1OBIYoPGPHJyvQ0h1,https://api.spotify.com/v1/tracks/1mmOy1OBIYoPGPHJyvQ0h1,https://api.spotify.com/v1/audio-analysis/1mmOy1OBIYoPGPHJyvQ0h1,176693,4
0.373,0.0258,11,-22.942,1,0.0441,0.989,0.0155,0.128,0.223,86.066,audio_features,2OVy3RTFyAdoNkwZ6aexo1,spotify:track:2OVy3RTFyAdoNkwZ6aexo1,https://api.spotify.com/v1/tracks/2OVy3RTFyAdoNkwZ6aexo1,https://api.spotify.com/v1/audio-analysis/2OVy3RTFyAdoNkwZ6aexo1,207956,4
0.578,0.165,2,-14.781,1,0.0514,0.976,0.731,0.147,0.43,106.068,audio_features,6zQplAIBDenRLDRgDX9a9V,spotify:track:6zQplAIBDenRLDRgDX9a9V,https://api.spotify.com/v1/tracks/6zQplAIBDenRLDRgDX9a9V,https://api.spotify.com/v1/audio-analysis/6zQplAIBDenRLDRgDX9a9V,167573,4
0.408,0.129,0,-17.63,1,0.0361,0.924,0.0,0.326,0.348,107.374,audio_features,5Tsf4y1QIDgUWawtCyymmZ,spotify:track:5Tsf4y1QIDgUWawtCyymmZ,https://api.spotify.com/v1/tracks/5Tsf4y1QIDgUWawtCyymmZ,https://api.spotify.com/v1/audio-analysis/5Tsf4y1QIDgUWawtCyymmZ,187560,4
