danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.756,0.92,6,-8.692,0,0.0585,0.052,0.893,0.108,0.0698,129.994,audio_features,0Qgs6zkdRXT7nAf6q61LmV,spotify:track:0Qgs6zkdRXT7nAf6q61LmV,https://api.spotify.com/v1/tracks/0Qgs6zkdRXT7nAf6q61LmV,https://api.spotify.com/v1/audio-analysis/0Qgs6zkdRXT7nAf6q61LmV,404674,4
0.788,0.516,9,-9.594,0,0.0379,0.064,0.907,0.0499,0.0998,125.993,audio_features,7kyiQ2oxgT0XX8yhzBWE6t,spotify:track:7kyiQ2oxgT0XX8yhzBWE6t,https://api.spotify.com/v1/tracks/7kyiQ2oxgT0XX8yhzBWE6t,https://api.spotify.com/v1/audio-analysis/7kyiQ2oxgT0XX8yhzBWE6t,419048,4
0.833,0.582,11,-6.987,0,0.0659,0.053,0.0577,0.108,0.209,125.026,audio_features,1tNxprI7wf87blRuXUyEvC,spotify:track:1tNxprI7wf87blRuXUyEvC,https://api.spotify.com/v1/tracks/1tNxprI7wf87blRuXUyEvC,https://api.spotify.com/v1/audio-analysis/1tNxprI7wf87blRuXUyEvC,293579,4
0.479,0.437,1,-7.989,1,0.0547,0.0417,0.0343,0.125,0.0741,108.869,audio_features,5irKKFoCUyKFq8rvtSBIYM,spotify:track:5irKKFoCUyKFq8rvtSBIYM,https://api.spotify.com/v1/tracks/5irKKFoCUyKFq8rvtSBIYM,https://api.spotify.com/v1/audio-analysis/5irKKFoCUyKFq8rvtSBIYM,247023,3
0.809,0.649,1,-11.615,1,0.146,0.0519,0.886,0.0469,0.358,127.01,audio_features,6jYUDNr0yc1jDyjrlbJQN0,spotify:track:6jYUDNr0yc1jDyjrlbJQN0,https://api.spotify.com/v1/tracks/6jYUDNr0yc1jDyjrlbJQN0,https://api.spotify.com/v1/audio-analysis/6jYUDNr0yc1jDyjrlbJQN0,459000,4
0.736,0.401,7,-11.285,1,0.0476,0.102,0.293,0.0938,0.0543,100.008,audio_features,55kDJdv7pymmG4URJlVTYR,spotify:track:55kDJdv7pymmG4URJlVTYR,https://api.spotify.com/v1/tracks/55kDJdv7pymmG4URJlVTYR,https://api.spotify.com/v1/audio-analysis/55kDJdv7pymmG4URJlVTYR,453507,4
0.514,0.924,8,-5.417,1,0.052,0.000208,0.805,0.0684,0.0675,151.994,audio_features,2BVUOGciUUUqOPSLtHwLGp,spotify:track:2BVUOGciUUUqOPSLtHwLGp,https://api.spotify.com/v1/tracks/2BVUOGciUUUqOPSLtHwLGp,https://api.spotify.com/v1/audio-analysis/2BVUOGciUUUqOPSLtHwLGp,224211,4
0.605,0.722,10,-7.315,1,0.037,0.00171,0.831,0.0665,0.27,123.991,audio_features,6hizzLN6GI5rWUWX2EiKR0,spotify:track:6hizzLN6GI5rWUWX2EiKR0,https://api.spotify.com/v1/tracks/6hizzLN6GI5rWUWX2EiKR0,https://api.spotify.com/v1/audio-analysis/6hizzLN6GI5rWUWX2EiKR0,224978,4
0.783,0.789,6,-3.899,0,0.0797,0.135,0.33,0.213,0.853,128.019,audio_features,3VSxz7unMI9GsJOaie9R2w,spotify:track:3VSxz7unMI9GsJOaie9R2w,https://api.spotify.com/v1/tracks/3VSxz7unMI9GsJOaie9R2w,https://api.spotify.com/v1/audio-analysis/3VSxz7unMI9GsJOaie9R2w,206250,4
0.388,0.559,5,-9.353,1,0.135,0.27,0.0923,0.111,0.0486,117.096,audio_features,6izNzcVKGEYxc7svvoHlJ6,spotify:track:6izNzcVKGEYxc7svvoHlJ6,https://api.spotify.com/v1/tracks/6izNzcVKGEYxc7svvoHlJ6,https://api.spotify.com/v1/audio-analysis/6izNzcVKGEYxc7svvoHlJ6,267608,4
