danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.538,0.823,7,-4.314,1,0.027,0.00661,0.0,0.519,0.631,84.988,audio_features,0Mt1EgjhezhBXd1WUmsWhn,spotify:track:0Mt1EgjhezhBXd1WUmsWhn,https://api.spotify.com/v1/tracks/0Mt1EgjhezhBXd1WUmsWhn,https://api.spotify.com/v1/audio-analysis/0Mt1EgjhezhBXd1WUmsWhn,208930,4
0.496,0.88,1,-2.242,0,0.0359,0.00151,2.92e-05,0.0592,0.148,140.009,audio_features,0C4bx13JIMSWOAxd8TaoVq,spotify:track:0C4bx13JIMSWOAxd8TaoVq,https://api.spotify.com/v1/tracks/0C4bx13JIMSWOAxd8TaoVq,https://api.spotify.com/v1/audio-analysis/0C4bx13JIMSWOAxd8TaoVq,297682,4
0.412,0.744,9,-4.301,1,0.0651,0.0265,0.0,0.21,0.342,176.171,audio_features,4P3szOfvcaRQcERvg7e8CD,spotify:track:4P3szOfvcaRQcERvg7e8CD,https://api.spotify.com/v1/tracks/4P3szOfvcaRQcERvg7e8CD,https://api.spotify.com/v1/audio-analysis/4P3szOfvcaRQcERvg7e8CD,210646,4
0.44,0.446,9,-9.928,1,0.031,0.39,0.569,0.179,0.201,127.372,audio_features,0DoACS30GwIY6qaFjCMMUz,spotify:track:0DoACS30GwIY6qaFjCMMUz,https://api.spotify.com/v1/tracks/0DoACS30GwIY6qaFjCMMUz,https://api.spotify.com/v1/audio-analysis/0DoACS30GwIY6qaFjCMMUz,475093,4
0.665,0.368,11,-15.939,1,0.946,0.458,0.0,0.788,0.335,136.325,audio_features,2tjjDaIl6bcsjMIpAUE3lB,spotify:track:2tjjDaIl6bcsjMIpAUE3lB,https://api.spotify.com/v1/tracks/2tjjDaIl6bcsjMIpAUE3lB,https://api.spotify.com/v1/audio-analysis/2tjjDaIl6bcsjMIpAUE3lB,640827,4
0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,audio_features,6LxSe8YmdPxy095Ux6znaQ,spotify:track:6LxSe8YmdPxy095Ux6znaQ,https://api.spotify.com/v1/tracks/6LxSe8YmdPxy095Ux6znaQ,https://api.spotify.com/v1/audio-analysis/6LxSe8YmdPxy095Ux6znaQ,235987,4
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
0.437,0.843,0,-5.052,1,0.0445,0.114,0.0,0.181,0.493,174.712,audio_features,3AjMa63QF2SBM53qs8gRHF,spotify:track:3AjMa63QF2SBM53qs8gRHF,https://api.spotify.com/v1/tracks/3AjMa63QF2SBM53qs8gRHF,https://api.spotify.com/v1/audio-analysis/3AjMa63QF2SBM53qs8gRHF,242960,4
0.571,0.97,4,-4.775,1,0.107,0.00327,0.000352,0.385,0.236,123.032,audio_features,2rzb5bMRoTlW7TaW1Lz7cV,spotify:track:2rzb5bMRoTlW7TaW1Lz7cV,https://api.spotify.com/v1/tracks/2rzb5bMRoTlW7TaW1Lz7cV,https://api.spotify.com/v1/audio-analysis/2rzb5bMRoTlW7TaW1Lz7cV,266671,4
0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044,audio_features,1cktZnxiONH0hR6Q3DKy8h,spotify:track:1cktZnxiONH0hR6Q3DKy8h,https://api.spotify.com/v1/tracks/1cktZnxiONH0hR6Q3DKy8h,https://api.spotify.com/v1/audio-analysis/1cktZnxiONH0hR6Q3DKy8h,191307,4
