danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.728,0.756,11,-7.993,0,0.0389,0.0394,0.0,0.743,0.775,130.136,audio_features,7lPxGs556PD8H3bUd9LzHp,spotify:track:7lPxGs556PD8H3bUd9LzHp,https://api.spotify.com/v1/tracks/7lPxGs556PD8H3bUd9LzHp,https://api.spotify.com/v1/audio-analysis/7lPxGs556PD8H3bUd9LzHp,241387,4
0.816,0.715,0,-9.759,1,0.0607,0.0287,0.0,0.0399,0.938,141.989,audio_features,48UDhM2xL9wUuYLfrpK2Jv,spotify:track:48UDhM2xL9wUuYLfrpK2Jv,https://api.spotify.com/v1/tracks/48UDhM2xL9wUuYLfrpK2Jv,https://api.spotify.com/v1/audio-analysis/48UDhM2xL9wUuYLfrpK2Jv,180440,4
0.652,0.483,8,-9.964,0,0.291,0.658,0.0,0.393,0.372,75.987,audio_features,1DoECePnMuLtpLQSCZqwtK,spotify:track:1DoECePnMuLtpLQSCZqwtK,https://api.spotify.com/v1/tracks/1DoECePnMuLtpLQSCZqwtK,https://api.spotify.com/v1/audio-analysis/1DoECePnMuLtpLQSCZqwtK,134881,4
0.595,0.84,0,-5.012,1,0.0466,0.0262,0.00257,0.21,0.471,130.015,audio_features,0sh7Tw4GhTUdGsvfw7S3VK,spotify:track:0sh7Tw4GhTUdGsvfw7S3VK,https://api.spotify.com/v1/tracks/0sh7Tw4GhTUdGsvfw7S3VK,https://api.spotify.com/v1/audio-analysis/0sh7Tw4GhTUdGsvfw7S3VK,235107,4
0.322,0.843,9,-5.108,0,0.139,0.0193,0.000381,0.624,0.608,175.483,audio_features,0BPrYI9uFyuI4WKmDx42q1,spotify:track:0BPrYI9uFyuI4WKmDx42q1,https://api.spotify.com/v1/tracks/0BPrYI9uFyuI4WKmDx42q1,https://api.spotify.com/v1/audio-analysis/0BPrYI9uFyuI4WKmDx42q1,221467,4
0.846,0.77,9,-4.768,0,0.0692,0.163,0.0,0.205,0.896,127.363,audio_features,57xW8NlNhWLdW78w25R3tb,spotify:track:57xW8NlNhWLdW78w25R3tb,https://api.spotify.com/v1/tracks/57xW8NlNhWLdW78w25R3tb,https://api.spotify.com/v1/audio-analysis/57xW8NlNhWLdW78w25R3tb,236427,4
0.633,0.822,10,-5.011,0,0.0722,0.00846,0.0,0.141,0.633,122.993,audio_features,6FCngfdkfRZ0CwL2eZAgnc,spotify:track:6FCngfdkfRZ0CwL2eZAgnc,https://api.spotify.com/v1/tracks/6FCngfdkfRZ0CwL2eZAgnc,https://api.spotify.com/v1/audio-analysis/6FCngfdkfRZ0CwL2eZAgnc,216560,4
0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,audio_features,1RJl5cZ8kFpoVFOS2x6scI,spotify:track:1RJl5cZ8kFpoVFOS2x6scI,https://api.spotify.com/v1/tracks/1RJl5cZ8kFpoVFOS2x6scI,https://api.spotify.com/v1/audio-analysis/1RJl5cZ8kFpoVFOS2x6scI,192897,4
0.736,0.843,1,-5.654,1,0.0511,0.0144,0.0,0.0952,0.693,131.049,audio_features,3aKNGl01j8n9RZY7XHWPMz,spotify:track:3aKNGl01j8n9RZY7XHWPMz,https://api.spotify.com/v1/tracks/3aKNGl01j8n9RZY7XHWPMz,https://api.spotify.com/v1/audio-analysis/3aKNGl01j8n9RZY7XHWPMz,194467,4
0.363,0.197,8,-13.991,0,0.0945,0.856,0.5,0.106,0.376,78.834,audio_features,2ruhjW2uBqcNBZedAgm9sU,spotify:track:2ruhjW2uBqcNBZedAgm9sU,https://api.spotify.com/v1/tracks/2ruhjW2uBqcNBZedAgm9sU,https://api.spotify.com/v1/audio-analysis/2ruhjW2uBqcNBZedAgm9sU,113058,4
0.473,0.604,7,-4.034,1,0.0337,0.0376,0.0,0.103,0.271,123.848,audio_features,6rjnRocdCULjLF61x2NR5e,spotify:track:6rjnRocdCULjLF61x2NR5e,https://api.spotify.com/v1/tracks/6rjnRocdCULjLF61x2NR5e,https://api.spotify.com/v1/audio-analysis/6rjnRocdCULjLF61x2NR5e,232000,4
0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,audio_features,1mX6SYJ1ZpcoxQUiER8wOI,spotify:track:1mX6SYJ1ZpcoxQUiER8wOI,https://api.spotify.com/v1/tracks/1mX6SYJ1ZpcoxQUiER8wOI,https://api.spotify.com/v1/audio-analysis/1mX6SYJ1ZpcoxQUiER8wOI,270387,4
0.637,0.768,5,-6.888,1,0.0318,0.0335,7.77e-06,0.161,0.459,144.914,audio_features,3IFo5x0HWlvRu0QIAtefor,spotify:track:3IFo5x0HWlvRu0QIAtefor,https://api.spotify.com/v1/tracks/3IFo5x0HWlvRu0QIAtefor,https://api.spotify.com/v1/audio-analysis/3IFo5x0HWlvRu0QIAtefor,225133,4
0.702,0.616,6,-4.903,1,0.326,0.686,0.0,0.145,0.507,80.482,audio_features,1eCTQhsNA31FcwyNcJcf86,spotify:track:1eCTQhsNA31FcwyNcJcf86,https://api.spotify.com/v1/tracks/1eCTQhsNA31FcwyNcJcf86,https://api.spotify.com/v1/audio-analysis/1eCTQhsNA31FcwyNcJcf86,156188,4
0.271,0.551,3,-8.46,1,0.0272,0.0307,0.000581,0.118,0.2,143.899,audio_features,0wvIGFIgbyz4JNwQhZgTv2,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,https://api.spotify.com/v1/tracks/0wvIGFIgbyz4JNwQhZgTv2,https://api.spotify.com/v1/audio-analysis/0wvIGFIgbyz4JNwQhZgTv2,374333,3
0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,audio_features,6Hmj7SrLRbreLVfVS7mV1S,spotify:track:6Hmj7SrLRbreLVfVS7mV1S,https://api.spotify.com/v1/tracks/6Hmj7SrLRbreLVfVS7mV1S,https://api.spotify.com/v1/audio-analysis/6Hmj7SrLRbreLVfVS7mV1S,335333,4
0.371,0.914,11,-4.917,0,0.081,0.000293,8.75e-05,0.0852,0.394,134.982,audio_features,6Slvi85s1hIaeykjvDe1xk,spotify:track:6Slvi85s1hIaeykjvDe1xk,https://api.spotify.com/v1/tracks/6Slvi85s1hIaeykjvDe1xk,https://api.spotify.com/v1/audio-analysis/6Slvi85s1hIaeykjvDe1xk,268627,4
0.453,0.755,9,-3.584,1,0.0369,0.169,0.0,0.106,0.229,99.929,audio_features,2v62ngAuqfbBogc0tHEMfZ,spotify:track:2v62ngAuqfbBogc0tHEMfZ,https://api.spotify.com/v1/tracks/2v62ngAuqfbBogc0tHEMfZ,https://api.spotify.com/v1/audio-analysis/2v62ngAuqfbBogc0tHEMfZ,255000,4
0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,audio_features,2Gy7qnDwt8Z3MNxqat4CsK,spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,https://api.spotify.com/v1/tracks/2Gy7qnDwt8Z3MNxqat4CsK,https://api.spotify.com/v1/audio-analysis/2Gy7qnDwt8Z3MNxqat4CsK,153205,4
0.407,0.55,0,-10.253,1,0.0291,0.336,0.892,0.111,0.296,77.466,audio_features,4SmSTiwpdvt9dRYfpNmLyk,spotify:track:4SmSTiwpdvt9dRYfpNmLyk,https://api.spotify.com/v1/tracks/4SmSTiwpdvt9dRYfpNmLyk,https://api.spotify.com/v1/audio-analysis/4SmSTiwpdvt9dRYfpNmLyk,251160,4
0.341,0.812,11,-5.786,0,0.0298,0.0104,0.636,0.263,0.723,219.354,audio_features,2TIJiqr72Qe9tGd26fStIN,spotify:track:2TIJiqr72Qe9tGd26fStIN,https://api.spotify.com/v1/tracks/2TIJiqr72Qe9tGd26fStIN,https://api.spotify.com/v1/audio-analysis/2TIJiqr72Qe9tGd26fStIN,301867,4
0.465,0.814,0,-7.925,1,0.0301,0.456,0.975,0.233,0.496,148.425,audio_features,26CfdVmYf0hNvP6SJXF0vQ,spotify:track:26CfdVmYf0hNvP6SJXF0vQ,https://api.spotify.com/v1/tracks/26CfdVmYf0hNvP6SJXF0vQ,https://api.spotify.com/v1/audio-analysis/26CfdVmYf0hNvP6SJXF0vQ,244947,4
0.354,0.675,2,-5.835,1,0.0324,0.439,8.55e-05,0.28,0.108,135.034,audio_features,56eSclzdXaWU5jOJ7DX7Vp,spotify:track:56eSclzdXaWU5jOJ7DX7Vp,https://api.spotify.com/v1/tracks/56eSclzdXaWU5jOJ7DX7Vp,https://api.spotify.com/v1/audio-analysis/56eSclzdXaWU5jOJ7DX7Vp,298680,4
0.59,0.444,0,-11.472,1,0.0394,0.131,5.06e-05,0.13,0.718,121.904,audio_features,1GqRv17EiYH30nM3MYE2h5,spotify:track:1GqRv17EiYH30nM3MYE2h5,https://api.spotify.com/v1/tracks/1GqRv17EiYH30nM3MYE2h5,https://api.spotify.com/v1/audio-analysis/1GqRv17EiYH30nM3MYE2h5,167253,4
0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,audio_features,6dGnYIeXmHdcikdzNNDMm2,spotify:track:6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/tracks/6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/audio-analysis/6dGnYIeXmHdcikdzNNDMm2,185733,4
0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,audio_features,0aym2LBJBk9DAYuHHutrIl,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,425653,4
0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,audio_features,7iN1s7xHE4ifF5povM6A48,spotify:track:7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/audio-analysis/7iN1s7xHE4ifF5povM6A48,243027,4
0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,audio_features,3Am0IbOxmvlSXro7N5iSfZ,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/tracks/3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/audio-analysis/3Am0IbOxmvlSXro7N5iSfZ,247320,4
0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,audio_features,5ZBeML7Lf3FMEVviTyvi8l,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,155227,4
0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115.0,audio_features,389QX9Q1eUOEZ19vtzzI9O,spotify:track:389QX9Q1eUOEZ19vtzzI9O,https://api.spotify.com/v1/tracks/389QX9Q1eUOEZ19vtzzI9O,https://api.spotify.com/v1/audio-analysis/389QX9Q1eUOEZ19vtzzI9O,285000,4
0.435,0.558,4,-9.012,0,0.0439,0.869,0.558,0.0828,0.429,157.177,audio_features,3vsomrT8DIqWe2ReQKxu6H,spotify:track:3vsomrT8DIqWe2ReQKxu6H,https://api.spotify.com/v1/tracks/3vsomrT8DIqWe2ReQKxu6H,https://api.spotify.com/v1/audio-analysis/3vsomrT8DIqWe2ReQKxu6H,302427,4
