danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.674,0.913,4,-5.898,1,0.0521,0.124,1.06e-05,0.139,0.968,148.891,audio_features,4Gnl12vioGd6lgIjeYcMCl,spotify:track:4Gnl12vioGd6lgIjeYcMCl,https://api.spotify.com/v1/tracks/4Gnl12vioGd6lgIjeYcMCl,https://api.spotify.com/v1/audio-analysis/4Gnl12vioGd6lgIjeYcMCl,253200,4
0.67,0.584,8,-8.325,1,0.034,0.439,0.00614,0.178,0.944,98.185,audio_features,3tSi6iFO9yLGIYIqMEgjC9,spotify:track:3tSi6iFO9yLGIYIqMEgjC9,https://api.spotify.com/v1/tracks/3tSi6iFO9yLGIYIqMEgjC9,https://api.spotify.com/v1/audio-analysis/3tSi6iFO9yLGIYIqMEgjC9,179227,4
0.725,0.804,8,-7.84,1,0.0393,0.426,0.000504,0.108,0.961,93.668,audio_features,01gwPP2h3ajRnqiIphUtR7,spotify:track:01gwPP2h3ajRnqiIphUtR7,https://api.spotify.com/v1/tracks/01gwPP2h3ajRnqiIphUtR7,https://api.spotify.com/v1/audio-analysis/01gwPP2h3ajRnqiIphUtR7,177427,4
0.611,0.578,1,-14.171,1,0.0676,0.0598,0.0219,0.0983,0.884,100.625,audio_features,4N0TP4Rmj6QQezWV88ARNJ,spotify:track:4N0TP4Rmj6QQezWV88ARNJ,https://api.spotify.com/v1/tracks/4N0TP4Rmj6QQezWV88ARNJ,https://api.spotify.com/v1/audio-analysis/4N0TP4Rmj6QQezWV88ARNJ,266133,4
0.768,0.716,2,-12.922,1,0.0625,0.0658,0.00213,0.0379,0.961,157.935,audio_features,6QG0wcgoCsa9pqFyTg0rRO,spotify:track:6QG0wcgoCsa9pqFyTg0rRO,https://api.spotify.com/v1/tracks/6QG0wcgoCsa9pqFyTg0rRO,https://api.spotify.com/v1/audio-analysis/6QG0wcgoCsa9pqFyTg0rRO,158107,4
0.754,0.496,0,-8.7,1,0.0351,0.00539,0.000152,0.0871,0.341,119.186,audio_features,6Nabz5Gsy80XL0MJoOmgF8,spotify:track:6Nabz5Gsy80XL0MJoOmgF8,https://api.spotify.com/v1/tracks/6Nabz5Gsy80XL0MJoOmgF8,https://api.spotify.com/v1/audio-analysis/6Nabz5Gsy80XL0MJoOmgF8,258173,4
0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,audio_features,3BovdzfaX4jb5KFQwoPfAw,spotify:track:3BovdzfaX4jb5KFQwoPfAw,https://api.spotify.com/v1/tracks/3BovdzfaX4jb5KFQwoPfAw,https://api.spotify.com/v1/audio-analysis/3BovdzfaX4jb5KFQwoPfAw,258400,4
0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,audio_features,3MrWxJaD2AT0W9DjWF64Vm,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/tracks/3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/audio-analysis/3MrWxJaD2AT0W9DjWF64Vm,287307,4
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000,4
0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,audio_features,62AuGbAkt8Ox2IrFFb8GKV,spotify:track:62AuGbAkt8Ox2IrFFb8GKV,https://api.spotify.com/v1/tracks/62AuGbAkt8Ox2IrFFb8GKV,https://api.spotify.com/v1/audio-analysis/62AuGbAkt8Ox2IrFFb8GKV,203573,4
