danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.423,0.124,10,-10.488,1,0.0552,0.993,4.29e-05,0.117,0.3,69.691,audio_features,1AGGz6HSz0ewxcrlRE6scM,spotify:track:1AGGz6HSz0ewxcrlRE6scM,https://api.spotify.com/v1/tracks/1AGGz6HSz0ewxcrlRE6scM,https://api.spotify.com/v1/audio-analysis/1AGGz6HSz0ewxcrlRE6scM,190027,4
0.533,0.405,7,-14.048,1,0.0377,0.995,0.715,0.393,0.869,93.958,audio_features,5GLjyIMv7sBSbAeb3qFeG9,spotify:track:5GLjyIMv7sBSbAeb3qFeG9,https://api.spotify.com/v1/tracks/5GLjyIMv7sBSbAeb3qFeG9,https://api.spotify.com/v1/audio-analysis/5GLjyIMv7sBSbAeb3qFeG9,176493,4
0.604,0.54,2,-11.323,0,0.046,0.841,4.83e-06,0.0963,0.85,83.401,audio_features,08niaaU05HolTPjLlVvoOv,spotify:track:08niaaU05HolTPjLlVvoOv,https://api.spotify.com/v1/tracks/08niaaU05HolTPjLlVvoOv,https://api.spotify.com/v1/audio-analysis/08niaaU05HolTPjLlVvoOv,232227,4
0.666,0.16,4,-12.127,0,0.0479,0.979,2.72e-05,0.285,0.56,111.327,audio_features,6E9Xe7Kakho5JLD0hDnmo3,spotify:track:6E9Xe7Kakho5JLD0hDnmo3,https://api.spotify.com/v1/tracks/6E9Xe7Kakho5JLD0hDnmo3,https://api.spotify.com/v1/audio-analysis/6E9Xe7Kakho5JLD0hDnmo3,200573,4
0.64,0.44,2,-13.546,1,0.0521,0.637,0.0199,0.0978,0.755,174.699,audio_features,4VuPenrn9JCHY8B7seoW86,spotify:track:4VuPenrn9JCHY8B7seoW86,https://api.spotify.com/v1/tracks/4VuPenrn9JCHY8B7seoW86,https://api.spotify.com/v1/audio-analysis/4VuPenrn9JCHY8B7seoW86,217208,4
0.664,0.245,11,-11.781,0,0.0676,0.973,0.0,0.137,0.627,110.002,audio_features,3zlqUu9yK7fsefGsSAa86e,spotify:track:3zlqUu9yK7fsefGsSAa86e,https://api.spotify.com/v1/tracks/3zlqUu9yK7fsefGsSAa86e,https://api.spotify.com/v1/audio-analysis/3zlqUu9yK7fsefGsSAa86e,195213,4
0.703,0.027,0,-13.547,1,0.0519,0.992,0.0,0.154,0.379,75.292,audio_features,4g8n2xeOM9YeYmT79IIx99,spotify:track:4g8n2xeOM9YeYmT79IIx99,https://api.spotify.com/v1/tracks/4g8n2xeOM9YeYmT79IIx99,https://api.spotify.com/v1/audio-analysis/4g8n2xeOM9YeYmT79IIx99,166893,4
0.473,0.154,5,-14.51,0,0.119,0.987,3.04e-06,0.114,0.322,84.676,audio_features,6DaE48egpIqB7qTgUHxSG8,spotify:track:6DaE48egpIqB7qTgUHxSG8,https://api.spotify.com/v1/tracks/6DaE48egpIqB7qTgUHxSG8,https://api.spotify.com/v1/audio-analysis/6DaE48egpIqB7qTgUHxSG8,192640,4
0.534,0.208,7,-12.87,0,0.041,0.995,0.0406,0.105,0.491,75.029,audio_features,1khCdJdEHaaXctw54ozxOD,spotify:track:1khCdJdEHaaXctw54ozxOD,https://api.spotify.com/v1/tracks/1khCdJdEHaaXctw54ozxOD,https://api.spotify.com/v1/audio-analysis/1khCdJdEHaaXctw54ozxOD,212333,3
0.806,0.537,2,-10.166,1,0.103,0.987,0.43,0.162,0.89,110.619,audio_features,7yOj5QTLPqf6wDpBNf4cng,spotify:track:7yOj5QTLPqf6wDpBNf4cng,https://api.spotify.com/v1/tracks/7yOj5QTLPqf6wDpBNf4cng,https://api.spotify.com/v1/audio-analysis/7yOj5QTLPqf6wDpBNf4cng,187587,4
0.557,0.32,8,-8.874,1,0.0372,0.975,0.0,0.11,0.648,98.959,audio_features,07IuSThN6YHAAollCnu1Ln,spotify:track:07IuSThN6YHAAollCnu1Ln,https://api.spotify.com/v1/tracks/07IuSThN6YHAAollCnu1Ln,https://api.spotify.com/v1/audio-analysis/07IuSThN6YHAAollCnu1Ln,187000,4
0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,audio_features,1TrGdXSgiBm8W68D2K1COG,spotify:track:1TrGdXSgiBm8W68D2K1COG,https://api.spotify.com/v1/tracks/1TrGdXSgiBm8W68D2K1COG,https://api.spotify.com/v1/audio-analysis/1TrGdXSgiBm8W68D2K1COG,149560,4
0.546,0.169,6,-13.852,0,0.0377,0.976,3.15e-05,0.133,0.549,96.297,audio_features,2KkJj006V93x8d9dXpgmIg,spotify:track:2KkJj006V93x8d9dXpgmIg,https://api.spotify.com/v1/tracks/2KkJj006V93x8d9dXpgmIg,https://api.spotify.com/v1/audio-analysis/2KkJj006V93x8d9dXpgmIg,154467,4
0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,audio_features,1CTex49P0iWwzUGsMNjgaV,spotify:track:1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/tracks/1CTex49P0iWwzUGsMNjgaV,https://api.spotify.com/v1/audio-analysis/1CTex49P0iWwzUGsMNjgaV,192867,1
0.204,0.161,8,-15.191,1,0.0336,0.972,8.99e-05,0.121,0.316,82.009,audio_features,3wAIcORchxdSkWv6v5AkaU,spotify:track:3wAIcORchxdSkWv6v5AkaU,https://api.spotify.com/v1/tracks/3wAIcORchxdSkWv6v5AkaU,https://api.spotify.com/v1/audio-analysis/3wAIcORchxdSkWv6v5AkaU,167467,4
0.506,0.0943,5,-16.054,1,0.0918,0.994,0.586,0.111,0.832,65.743,audio_features,451DDvTzHureSU1vPMU2fn,spotify:track:451DDvTzHureSU1vPMU2fn,https://api.spotify.com/v1/tracks/451DDvTzHureSU1vPMU2fn,https://api.spotify.com/v1/audio-analysis/451DDvTzHureSU1vPMU2fn,179421,4
0.64,0.258,6,-7.358,1,0.052,0.99,0.000268,0.12,0.447,111.824,audio_features,7JAnjCTKWy04l9chu36Anw,spotify:track:7JAnjCTKWy04l9chu36Anw,https://api.spotify.com/v1/tracks/7JAnjCTKWy04l9chu36Anw,https://api.spotify.com/v1/audio-analysis/7JAnjCTKWy04l9chu36Anw,163400,4
0.814,0.0991,5,-14.033,1,0.0596,0.993,3.36e-05,0.107,0.406,103.926,audio_features,2HugYkS3bMJ905gQyXMS1c,spotify:track:2HugYkS3bMJ905gQyXMS1c,https://api.spotify.com/v1/tracks/2HugYkS3bMJ905gQyXMS1c,https://api.spotify.com/v1/audio-analysis/2HugYkS3bMJ905gQyXMS1c,185467,4
0.377,0.156,7,-10.068,0,0.0346,0.944,5.4e-05,0.15,0.154,169.215,audio_features,0LN0DQNRKIvBtppLRBGxKc,spotify:track:0LN0DQNRKIvBtppLRBGxKc,https://api.spotify.com/v1/tracks/0LN0DQNRKIvBtppLRBGxKc,https://api.spotify.com/v1/audio-analysis/0LN0DQNRKIvBtppLRBGxKc,195760,3
0.752,0.633,5,-3.989,1,0.0302,0.176,3.88e-05,0.105,0.796,126.853,audio_features,6ek8f65UGCZaiIBcXkexlE,spotify:track:6ek8f65UGCZaiIBcXkexlE,https://api.spotify.com/v1/tracks/6ek8f65UGCZaiIBcXkexlE,https://api.spotify.com/v1/audio-analysis/6ek8f65UGCZaiIBcXkexlE,268507,4
0.586,0.394,3,-8.574,1,0.224,0.873,0.000105,0.367,0.914,88.607,audio_features,3RnZPBux8nmAnGMnyX0NPi,spotify:track:3RnZPBux8nmAnGMnyX0NPi,https://api.spotify.com/v1/tracks/3RnZPBux8nmAnGMnyX0NPi,https://api.spotify.com/v1/audio-analysis/3RnZPBux8nmAnGMnyX0NPi,182147,4
0.253,0.34,2,-7.505,1,0.0332,0.946,0.000106,0.166,0.263,176.042,audio_features,1t5ZciH1jO0OdCDRQBe2d7,spotify:track:1t5ZciH1jO0OdCDRQBe2d7,https://api.spotify.com/v1/tracks/1t5ZciH1jO0OdCDRQBe2d7,https://api.spotify.com/v1/audio-analysis/1t5ZciH1jO0OdCDRQBe2d7,232280,4
0.753,0.876,5,-5.76,1,0.0446,0.863,0.0133,0.0986,0.963,116.813,audio_features,7BF5TX6CTL2uSQK2QLPGTk,spotify:track:7BF5TX6CTL2uSQK2QLPGTk,https://api.spotify.com/v1/tracks/7BF5TX6CTL2uSQK2QLPGTk,https://api.spotify.com/v1/audio-analysis/7BF5TX6CTL2uSQK2QLPGTk,152869,4
0.497,0.0919,3,-15.685,1,0.0704,0.968,0.00214,0.133,0.548,206.431,audio_features,7CNaYAdLyi86kofGafReiT,spotify:track:7CNaYAdLyi86kofGafReiT,https://api.spotify.com/v1/tracks/7CNaYAdLyi86kofGafReiT,https://api.spotify.com/v1/audio-analysis/7CNaYAdLyi86kofGafReiT,139693,4
0.31,0.0863,3,-15.11,1,0.0456,0.918,0.0,0.117,0.321,83.915,audio_features,2ueOVitGw6YDUtz8pkzLi6,spotify:track:2ueOVitGw6YDUtz8pkzLi6,https://api.spotify.com/v1/tracks/2ueOVitGw6YDUtz8pkzLi6,https://api.spotify.com/v1/audio-analysis/2ueOVitGw6YDUtz8pkzLi6,181400,4
0.669,0.351,0,-12.919,1,0.167,0.544,0.0,0.179,0.547,92.097,audio_features,0zQ1o6q0QaeMgro248kNGh,spotify:track:0zQ1o6q0QaeMgro248kNGh,https://api.spotify.com/v1/tracks/0zQ1o6q0QaeMgro248kNGh,https://api.spotify.com/v1/audio-analysis/0zQ1o6q0QaeMgro248kNGh,223133,4
0.607,0.269,10,-13.559,1,0.0842,0.965,0.000274,0.117,0.703,89.186,audio_features,3PoIVkiNFqAuzPoHKJacz4,spotify:track:3PoIVkiNFqAuzPoHKJacz4,https://api.spotify.com/v1/tracks/3PoIVkiNFqAuzPoHKJacz4,https://api.spotify.com/v1/audio-analysis/3PoIVkiNFqAuzPoHKJacz4,177000,4
0.371,0.278,7,-8.596,0,0.0303,0.981,0.0,0.272,0.338,82.331,audio_features,3lAun9V0YdTlCSIEXPvfsY,spotify:track:3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/tracks/3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/audio-analysis/3lAun9V0YdTlCSIEXPvfsY,187733,4
0.241,0.168,0,-16.267,1,0.0442,0.965,0.114,0.373,0.556,84.749,audio_features,1ZK8WJqkD1XhEYI1AlkMHG,spotify:track:1ZK8WJqkD1XhEYI1AlkMHG,https://api.spotify.com/v1/tracks/1ZK8WJqkD1XhEYI1AlkMHG,https://api.spotify.com/v1/audio-analysis/1ZK8WJqkD1XhEYI1AlkMHG,201840,3
0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,audio_features,4so0Wek9Ig1p6CRCHuINwW,spotify:track:4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/tracks/4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/audio-analysis/4so0Wek9Ig1p6CRCHuINwW,177480,3
