artist,song
hi-tack,say say say (waiting 4 u)
shy fx & t power ft top cat,everyday
mylo ft freeform five,muscle car
soul central,need you now
prodigy,voodoo people / out of space
tom novy ft michael marshall,your body
who's who,not so dirty
tiga,good as gold
dave mccullen,b*tch
mylo vs miami sound machine,doctor pressure
soul purpose,salsa house
hound dogs,i like girls
tiesto,adagio for strings
royksopp,what else is there
sunblock,i'll be ready
studio b,i see girls
dj marky & xrs/tk,misto quente vip / the turkish
aaron smith ft luvli,dancin'
red carpet,alright
bodyrockers,i like the way
bob sinclar ft gary nesta pine,love generation
madonna,hung up
porno,music power
mauro picotto,lizard
denis the menace / jerry roper,time to turn around
dj exacta ft angelica de no,shake my soul
tomas andersson,washing up
dht ft edmee,listen to your heart
chris lake,changes
moby,raining again
pendulum & fresh ft spyda,tarantula/fasten your seatbelt
coburn,we interrupt this programme
defender,defender/bliss
disco darlings,where we can boogie
switch,a bit patchy
pendulum,slam / out here
chanel,my life
basement jaxx ft glamma kid,flylife remixes - pt 2
mylo vs tocadisco,in my arms
laid ft yota,me
