artist,song
idiot pilot,a day in the life of a poolshark
the darkness,one way ticket
children of bodom,in your face
green day,jesus of suburbia
nightwish,sleeping sun
foo fighters,resolve
blink 182,not now
bullet for my valentine,hand of blood
korn,twisted transistor
him,wings of a butterfly
white rose movement,alsatian
towers of london,how rude she was
rasmus,sail away
the darkness,love is only a feeling
iron maiden,the trooper
foo fighters,best of you
bullet for my valentine,suffocating under words of sorrow
green day,wake me up when september ends
nickelback,photograph
system of a down,hypnotize
locust,safetysecondbodylast
nightwish,nemo
roadrunner united,the end
nightwish,wish i had an angel
my chemical romance,the ghost of you
rammstein,benzin
good charlotte,predictable
death from above 1979,black history month
disturbed,stricken
tommy lee,good times
inme,so you know
good charlotte,the chronicles of life and death
rasmus,guilty
razorlight,somewhere else
green day,boulevard of broken dreams
transplants,gangsters and thugs
towers of london,**** it up
motorhead,ace of spades
system of a down,question
story one,ep
