artist,song
fireboy dml & ed sheeran,peru
arrdee & aitch,war
d-block europe ft central cee,overseas
hazey,packs and potions
digga d/still brickin',pump 101
switchotr ft a1 & j1,coming for you
arrdee,flowers (say my name)
d-block europe ft aj tracey,make you smile
frank ocean,lost
weeknd,save your tears
central cee,obsessed with you
gunna/future/young thug,pushin p
weeknd,sacrifice
weeknd,blinding lights
lil nas x & jack harlow,industry baby
nicki minaj & lil baby,do we have a problem
dave ft stormzy,clash
central cee,cold shoulder
arz,alone with you
juice wrld,cigarettes
muni long,hrs and hrs
central cee,retail therapy
jnr choi & sam tompkins,to the moon
post malone ft swae lee,sunflower
eminem,without me
dave ft burna boy,location
sza,i hate u
eminem,the real slim shady
neiked/mae muller/polo g,better days
beatfreakz/raye/russ/www,money calling
doja cat,need to know
a1 & j1,latest trends
digga d ft arrdee,wasted
tion wayne & russ millions,body
dave,verdansk
drake ft lil baby,girls want girls
yung lean,ginseng strip 2002
john legend,all of me
drake ft wizkid & kyla,one dance
eminem,stan
