artist,song
ariana grande,7 rings
ava max,sweet but psycho
sam smith & normani,dancing with a stranger
calvin harris & rag'n'bone man,giant
mabel,don't call me up
post malone,wow.
billie eilish,bury a friend
mark ronson ft miley cyrus,nothing breaks like a heart
lewis capaldi,someone you loved
post malone ft swae lee,sunflower
nsg ft tion wayne,options
jax jones/years & years,play
freya ridings,lost without you
j cole,middle child
fredo ft dave,all i ever wanted
russ,gun lean
halsey,without me
meek mill ft drake,going bad
pinkfong,baby shark
chris brown,undecided
kodak black/scott/offset,zeze
westlife,hello my love
george ezra,hold my girl
gesaffelstein ft weeknd,lost in the fire
dua lipa,swan song
lady gaga & bradley cooper,shallow
ellie goulding/diplo/swae lee,close to me
ariana grande,thank u next
marshmello ft bastille,happier
kehlani ft ty dolla sign,nights like this
george ezra,shotgun
headie one ft dave,18hunna
flipp dinero,leave me alone
a boogie wit da hoodie/6ix9ine,swervin
khalid,saturday nights
21 savage,a lot
jess glynne,thursday
calvin harris & dua lipa,one kiss
lauv & troye sivan,i'm so tired
lewis capaldi,grace
camelphat/cristoph/jem cooke,breathe
sheck wes,mo bamba
little mix ft ty dolla sign,think about us
cadet & deno driz,advice
panic at the disco,high hopes
tom walker,leave a light on
anne-marie,2002
aj tracey,psych out
yungen ft dappy,comfortable
calvin harris & sam smith,promises
a boogie wit da hoodie,look back at it
swarmz ft tion wayne,bally
travis scott,sicko mode
benny blanco/halsey/khalid,eastside
yxng bane,needed time
settle/greatest showman ens,this is me
catfish & the bottlemen,longshot
james arthur & anne-marie,rewrite the stars
fredo,survival of the fittest
fredo,mmhm
jess glynne,i'll be there
rita ora,let you love me
marshmello,alone
cardi b,money
sub focus & dimension,desire
loud luxury ft brando,body
alec benjamin,let me down slowly
blueface,thotiana
tom walker,just you and i
billie eilish,when the party's over
ariana grande,imagine
bring me the horizon,medicine
maroon 5 ft cardi b,girls like you
fisher,losing it
dave ft fredo,funky friday
ed sheeran,perfect
little mix ft nicki minaj,woman like me
tyga ft offset,taste
billie eilish,bellyache
khalid,better
clean bandit/marina/luis fonsi,baby
jackman/settle/efron/zendaya,the greatest show
anne-marie,perfect to me
james arthur,empty space
zara larsson,ruin my life
post malone,better now
queen,bohemian rhapsody
wiley/stefflon don/sean paul,boasty
chainsmokers ft winona oak,hope
ziv zaifman/jackman/williams,a million dreams
george ezra,paradise
dynoro & gigi d'agostino,in my mind
rudimental/glynne/macklemore,these days
mustard & migos,pure water
lewis capaldi,bruises
silk city ft dua lipa,electricity
ziezie,sensei
jonas blue/liam payne/lennon,polaroid
5 seconds of summer,lie to me
5 seconds of summer,youngblood
