danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,audio_features,18AXbzPzBS8Y3AkgSxzJPb,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/audio-analysis/18AXbzPzBS8Y3AkgSxzJPb,336453,4
0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,audio_features,1YrnDTqvcnUKxAIeXyaEmU,spotify:track:1YrnDTqvcnUKxAIeXyaEmU,https://api.spotify.com/v1/tracks/1YrnDTqvcnUKxAIeXyaEmU,https://api.spotify.com/v1/audio-analysis/1YrnDTqvcnUKxAIeXyaEmU,408173,4
0.483,0.471,9,-9.711,0,0.0284,0.397,0.000336,0.331,0.291,137.012,audio_features,6XHNIbru8xGohLzHNgxQvF,spotify:track:6XHNIbru8xGohLzHNgxQvF,https://api.spotify.com/v1/tracks/6XHNIbru8xGohLzHNgxQvF,https://api.spotify.com/v1/audio-analysis/6XHNIbru8xGohLzHNgxQvF,226000,4
0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378,audio_features,0TI8TP4FitVPoEHPTySx48,spotify:track:0TI8TP4FitVPoEHPTySx48,https://api.spotify.com/v1/tracks/0TI8TP4FitVPoEHPTySx48,https://api.spotify.com/v1/audio-analysis/0TI8TP4FitVPoEHPTySx48,354774,4
0.629,0.726,11,-8.161,0,0.0251,0.0578,0.0115,0.355,0.892,104.114,audio_features,5Njrdd3SA4fOsDMPVphxSb,spotify:track:5Njrdd3SA4fOsDMPVphxSb,https://api.spotify.com/v1/tracks/5Njrdd3SA4fOsDMPVphxSb,https://api.spotify.com/v1/audio-analysis/5Njrdd3SA4fOsDMPVphxSb,240440,4
0.731,0.738,9,-8.125,0,0.0377,0.184,0.0,0.214,0.958,117.656,audio_features,3L7RtEcu1Hw3OXrpnthngx,spotify:track:3L7RtEcu1Hw3OXrpnthngx,https://api.spotify.com/v1/tracks/3L7RtEcu1Hw3OXrpnthngx,https://api.spotify.com/v1/audio-analysis/3L7RtEcu1Hw3OXrpnthngx,236920,4
0.776,0.857,11,-4.943,1,0.0704,0.0913,0.000164,0.918,0.799,118.418,audio_features,1D9KEXIrlmPUkMTdYzqgX4,spotify:track:1D9KEXIrlmPUkMTdYzqgX4,https://api.spotify.com/v1/tracks/1D9KEXIrlmPUkMTdYzqgX4,https://api.spotify.com/v1/audio-analysis/1D9KEXIrlmPUkMTdYzqgX4,357493,4
0.686,0.586,6,-12.377,1,0.0356,0.153,0.000314,0.353,0.78,120.418,audio_features,0xs0ewnEb6c2DlY7LjOD7t,spotify:track:0xs0ewnEb6c2DlY7LjOD7t,https://api.spotify.com/v1/tracks/0xs0ewnEb6c2DlY7LjOD7t,https://api.spotify.com/v1/audio-analysis/0xs0ewnEb6c2DlY7LjOD7t,224547,4
0.594,0.927,2,-2.691,1,0.0675,0.0719,5e-05,0.079,0.648,173.927,audio_features,1Ppwc43WYFEBXw2n1ePhDY,spotify:track:1Ppwc43WYFEBXw2n1ePhDY,https://api.spotify.com/v1/tracks/1Ppwc43WYFEBXw2n1ePhDY,https://api.spotify.com/v1/audio-analysis/1Ppwc43WYFEBXw2n1ePhDY,225880,4
0.586,0.651,0,-10.16,1,0.048,0.144,0.0,0.489,0.901,81.397,audio_features,6ZEAXknmx2mrO3KgcDNpFI,spotify:track:6ZEAXknmx2mrO3KgcDNpFI,https://api.spotify.com/v1/tracks/6ZEAXknmx2mrO3KgcDNpFI,https://api.spotify.com/v1/audio-analysis/6ZEAXknmx2mrO3KgcDNpFI,223067,4
