artist,song
notorious b.i.g.,nasty girl
beyonce,check on it
pharrell,angel
young jeezy feat. akon,soul survivor
50 cent,hustler's ambition
chris brown,run it!
kanye west feat. maroon 5,heard em' say
corrine bailey rae,put your records on
pussycat dolls,stickwitu
sway,little derek
gnarls barkley,crazy
juelz santana,there it go (the whistle song)
eminem,when i'm gone
pussycat dolls,beep
mariah carey,don't forget about us
black eyed peas,my humps
ne-yo,so sick
mary j blige,be without you
ying yang twins feat. piball,shake
rhymefest,brand new
lil kim,lighters up
50 cent,window shopper
kanye west,touch the sky
rihanna,if it's lovin' that you want
three 6 mafia,stay fly
pharrell feat. gwen stefani,can i have it like that
craig david,don't love you no more (i'm sorry)
kano,brown eyes
busta rhymes,touch it
game,put you on the game
