danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,3yfqSUWxFvZELEM4PmlwIR,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4,Eminem,The Real Slim Shady
0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4,Eminem,Without Me
0.963,0.298,11,-5.748,0,0.125,0.0181,0.0156,0.0756,0.802,130.014,audio_features,6xlgLRzZNTaeYmiwpB8HMi,spotify:track:6xlgLRzZNTaeYmiwpB8HMi,https://api.spotify.com/v1/tracks/6xlgLRzZNTaeYmiwpB8HMi,https://api.spotify.com/v1/audio-analysis/6xlgLRzZNTaeYmiwpB8HMi,312000,4,David Guetta,Sexy Bitch (feat. Akon) - Extended
0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,audio_features,2GYHyAoLWpkxLVa4oYTVko,spotify:track:2GYHyAoLWpkxLVa4oYTVko,https://api.spotify.com/v1/tracks/2GYHyAoLWpkxLVa4oYTVko,https://api.spotify.com/v1/audio-analysis/2GYHyAoLWpkxLVa4oYTVko,206067,4,Stromae,Alors on danse - Radio Edit
0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,audio_features,2CEgGE6aESpnmtfiZwYlbV,spotify:track:2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613,4,Taio Cruz,Dynamite
0.525,0.849,10,-7.727,0,0.0484,0.00232,0.00196,0.322,0.277,128.055,audio_features,25ZEYUgCJyf3gRxkqYbkIc,spotify:track:25ZEYUgCJyf3gRxkqYbkIc,https://api.spotify.com/v1/tracks/25ZEYUgCJyf3gRxkqYbkIc,https://api.spotify.com/v1/audio-analysis/25ZEYUgCJyf3gRxkqYbkIc,161719,4,Axwell,Leave The World Behind - Radio Edit
0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,audio_features,4kLLWz7srcuLKA7Et40PQR,spotify:track:4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR,289133,4,Black Eyed Peas,I Gotta Feeling
0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,audio_features,1hRFVIy9As8OVRk8B7CrD5,spotify:track:1hRFVIy9As8OVRk8B7CrD5,https://api.spotify.com/v1/tracks/1hRFVIy9As8OVRk8B7CrD5,https://api.spotify.com/v1/audio-analysis/1hRFVIy9As8OVRk8B7CrD5,191000,4,David Guetta,When Love Takes Over (feat. Kelly Rowland)
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,audio_features,0ByMNEPAPpOR5H69DVrTNy,spotify:track:0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/tracks/0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy,267080,4,Rihanna,Don't Stop The Music
0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,audio_features,7ElF5zxOwYP4qVSWVvse3W,spotify:track:7ElF5zxOwYP4qVSWVvse3W,https://api.spotify.com/v1/tracks/7ElF5zxOwYP4qVSWVvse3W,https://api.spotify.com/v1/audio-analysis/7ElF5zxOwYP4qVSWVvse3W,201547,4,Taio Cruz,Break Your Heart
0.648,0.671,2,-8.49,1,0.104,0.0348,0.0,0.376,0.533,122.891,audio_features,0ijhkvBpA7OBlY4clWSUZw,spotify:track:0ijhkvBpA7OBlY4clWSUZw,https://api.spotify.com/v1/tracks/0ijhkvBpA7OBlY4clWSUZw,https://api.spotify.com/v1/audio-analysis/0ijhkvBpA7OBlY4clWSUZw,235467,4,Daft Punk,One More Time - Radio Edit [Short Radio Edit]
