danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.794,0.739,11,-3.758,1,0.0587,0.184,0.0,0.266,0.448,95.046,audio_features,49qCDjCcu8OvKlSDBYDzHv,spotify:track:49qCDjCcu8OvKlSDBYDzHv,https://api.spotify.com/v1/tracks/49qCDjCcu8OvKlSDBYDzHv,https://api.spotify.com/v1/audio-analysis/49qCDjCcu8OvKlSDBYDzHv,250841,4,Wisin & Yandel,NO SE OLVIDA
0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,audio_features,1ri9ZUkBJVFUdgwzCnfcYs,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4,Becky G,MAMIII
0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,audio_features,6ZOcbKub95XSDESsKKuH41,spotify:track:6ZOcbKub95XSDESsKKuH41,https://api.spotify.com/v1/tracks/6ZOcbKub95XSDESsKKuH41,https://api.spotify.com/v1/audio-analysis/6ZOcbKub95XSDESsKKuH41,224997,4,Rauw Alejandro,Desesperados
0.787,0.7,4,-4.598,0,0.0768,0.568,0.00051,0.663,0.791,90.02,audio_features,6lX6l7OuA3qrnIRfdsr0dw,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/tracks/6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/audio-analysis/6lX6l7OuA3qrnIRfdsr0dw,233453,4,Blessd,Medallo
0.747,0.812,3,-4.274,0,0.111,0.341,0.000131,0.174,0.884,180.062,audio_features,7iHHlCbsFou5DZSW5HCPfs,spotify:track:7iHHlCbsFou5DZSW5HCPfs,https://api.spotify.com/v1/tracks/7iHHlCbsFou5DZSW5HCPfs,https://api.spotify.com/v1/audio-analysis/7iHHlCbsFou5DZSW5HCPfs,330478,4,Boza,Ella - Remix
0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,audio_features,6NfrH0ANGmgBXyxgV2PeXt,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,https://api.spotify.com/v1/tracks/6NfrH0ANGmgBXyxgV2PeXt,https://api.spotify.com/v1/audio-analysis/6NfrH0ANGmgBXyxgV2PeXt,163084,4,Bad Bunny,La Difícil
0.754,0.847,8,-3.731,1,0.0926,0.127,0.0,0.174,0.546,104.973,audio_features,51yjkR9blUWtAphR7lZl5y,spotify:track:51yjkR9blUWtAphR7lZl5y,https://api.spotify.com/v1/tracks/51yjkR9blUWtAphR7lZl5y,https://api.spotify.com/v1/audio-analysis/51yjkR9blUWtAphR7lZl5y,263653,4,Jhay Cortez,Ley Seca
0.789,0.763,9,-4.404,1,0.0858,0.0269,5.04e-05,0.153,0.251,98.019,audio_features,5hYRabCQuFZN8yVCQsSeyF,spotify:track:5hYRabCQuFZN8yVCQsSeyF,https://api.spotify.com/v1/tracks/5hYRabCQuFZN8yVCQsSeyF,https://api.spotify.com/v1/audio-analysis/5hYRabCQuFZN8yVCQsSeyF,152111,4,Nicky Jam,Ojos Rojos
0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,audio_features,2JPLbjOn0wPCngEot2STUS,spotify:track:2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/audio-analysis/2JPLbjOn0wPCngEot2STUS,206710,4,Bad Bunny,Yonaguni
0.811,0.728,1,-4.424,0,0.0619,0.0609,0.000658,0.137,0.725,88.001,audio_features,41yHlQmNvtjRpoexYcSyJp,spotify:track:41yHlQmNvtjRpoexYcSyJp,https://api.spotify.com/v1/tracks/41yHlQmNvtjRpoexYcSyJp,https://api.spotify.com/v1/audio-analysis/41yHlQmNvtjRpoexYcSyJp,217627,4,Ozuna,Deprimida
