danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.441,0.915,3,-4.096,0,0.112,0.306,0.0,0.252,0.726,185.936,audio_features,53RxHysDJ0cjugMcPymwja,spotify:track:53RxHysDJ0cjugMcPymwja,https://api.spotify.com/v1/tracks/53RxHysDJ0cjugMcPymwja,https://api.spotify.com/v1/audio-analysis/53RxHysDJ0cjugMcPymwja,153226,4,Luan Santana,ABALO EMOCIONAL - Ao Vivo
0.732,0.831,0,-3.791,0,0.0691,0.554,0.0,0.903,0.684,123.942,audio_features,5719MEdRQcH4c3phXqX7WN,spotify:track:5719MEdRQcH4c3phXqX7WN,https://api.spotify.com/v1/tracks/5719MEdRQcH4c3phXqX7WN,https://api.spotify.com/v1/audio-analysis/5719MEdRQcH4c3phXqX7WN,177935,4,Hugo & Guilherme,Mal Feito - Ao Vivo
0.643,0.699,4,-5.458,1,0.112,0.266,0.0,0.116,0.636,115.947,audio_features,7graPn87bYFxTLNnRnFDMZ,spotify:track:7graPn87bYFxTLNnRnFDMZ,https://api.spotify.com/v1/tracks/7graPn87bYFxTLNnRnFDMZ,https://api.spotify.com/v1/audio-analysis/7graPn87bYFxTLNnRnFDMZ,169586,4,Marília Mendonça,Não Sei o Que Lá
0.772,0.647,10,-5.404,1,0.0758,0.707,0.0,0.113,0.801,130.183,audio_features,3ITkrUvAA6gzxer2UIom3P,spotify:track:3ITkrUvAA6gzxer2UIom3P,https://api.spotify.com/v1/tracks/3ITkrUvAA6gzxer2UIom3P,https://api.spotify.com/v1/audio-analysis/3ITkrUvAA6gzxer2UIom3P,162539,5,Jorge & Mateus,Molhando o Volante
0.456,0.83,8,-3.646,0,0.281,0.53,0.0,0.968,0.619,157.628,audio_features,1c4htMHiolERc0YJvZNdlc,spotify:track:1c4htMHiolERc0YJvZNdlc,https://api.spotify.com/v1/tracks/1c4htMHiolERc0YJvZNdlc,https://api.spotify.com/v1/audio-analysis/1c4htMHiolERc0YJvZNdlc,191524,4,George Henrique & Rodrigo,Vai Lá Em Casa Hoje
0.828,0.721,1,-4.274,0,0.0558,0.153,0.0,0.547,0.651,129.092,audio_features,7MLCxrDoxcTRg1u3QAGE5a,spotify:track:7MLCxrDoxcTRg1u3QAGE5a,https://api.spotify.com/v1/tracks/7MLCxrDoxcTRg1u3QAGE5a,https://api.spotify.com/v1/audio-analysis/7MLCxrDoxcTRg1u3QAGE5a,168689,4,Gusttavo Lima,Bloqueado - Ao Vivo
0.608,0.82,6,-3.689,1,0.119,0.611,0.0,0.933,0.673,108.394,audio_features,2jb8HW2CXr4mOJaw7LJyVw,spotify:track:2jb8HW2CXr4mOJaw7LJyVw,https://api.spotify.com/v1/tracks/2jb8HW2CXr4mOJaw7LJyVw,https://api.spotify.com/v1/audio-analysis/2jb8HW2CXr4mOJaw7LJyVw,169772,4,Henrique & Juliano,Acordo - Ao Vivo
0.377,0.928,9,-4.928,0,0.329,0.13,0.0,0.526,0.311,180.147,audio_features,0lxGtl0S9wO2LAFchHrEtM,spotify:track:0lxGtl0S9wO2LAFchHrEtM,https://api.spotify.com/v1/tracks/0lxGtl0S9wO2LAFchHrEtM,https://api.spotify.com/v1/audio-analysis/0lxGtl0S9wO2LAFchHrEtM,172640,4,Matheus & Kauan,Imagina A Sentada - Ao Vivo
0.782,0.845,2,-3.731,1,0.0721,0.501,0.0,0.713,0.771,121.95,audio_features,1tYJnXtKLoWVIL4lZOouQG,spotify:track:1tYJnXtKLoWVIL4lZOouQG,https://api.spotify.com/v1/tracks/1tYJnXtKLoWVIL4lZOouQG,https://api.spotify.com/v1/audio-analysis/1tYJnXtKLoWVIL4lZOouQG,213006,4,Tayrone,Cê Tá Preparada - Ao Vivo
0.799,0.685,6,-5.366,0,0.0725,0.276,0.0,0.13,0.623,122.013,audio_features,4qsOrxBv09HhNSpsgMRXdC,spotify:track:4qsOrxBv09HhNSpsgMRXdC,https://api.spotify.com/v1/tracks/4qsOrxBv09HhNSpsgMRXdC,https://api.spotify.com/v1/audio-analysis/4qsOrxBv09HhNSpsgMRXdC,169059,4,Marília Mendonça,Esqueça-Me Se For Capaz
