danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4,Ed Sheeran,Shivers
0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,audio_features,5r43qanLhUCdBj8HN3fa6B,spotify:track:5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/tracks/5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/audio-analysis/5r43qanLhUCdBj8HN3fa6B,163855,4,OneRepublic,Sunshine
0.673,0.729,6,-4.879,1,0.0496,0.083,0.0,0.1,0.675,122.023,audio_features,2Xy1UIVfOlukyye6Fd0wrI,spotify:track:2Xy1UIVfOlukyye6Fd0wrI,https://api.spotify.com/v1/tracks/2Xy1UIVfOlukyye6Fd0wrI,https://api.spotify.com/v1/audio-analysis/2Xy1UIVfOlukyye6Fd0wrI,169672,4,Sam Feldt,Follow Me
0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,audio_features,5K6Ssv4Z3zRvxt0P6EKUAP,spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/tracks/5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/audio-analysis/5K6Ssv4Z3zRvxt0P6EKUAP,183726,4,Galantis,Heartbreak Anthem (with David Guetta & Little Mix)
0.794,0.706,5,-6.066,0,0.0382,0.198,0.0,0.0536,0.908,116.032,audio_features,7jqXDgGWkV4w2ctdb2g59o,spotify:track:7jqXDgGWkV4w2ctdb2g59o,https://api.spotify.com/v1/tracks/7jqXDgGWkV4w2ctdb2g59o,https://api.spotify.com/v1/audio-analysis/7jqXDgGWkV4w2ctdb2g59o,170614,4,Martin Jensen,At Least I Had Fun
0.645,0.786,1,-5.337,0,0.0554,0.0343,3.57e-06,0.139,0.597,124.962,audio_features,676tQQmFrilCR8L7kxRcGd,spotify:track:676tQQmFrilCR8L7kxRcGd,https://api.spotify.com/v1/tracks/676tQQmFrilCR8L7kxRcGd,https://api.spotify.com/v1/audio-analysis/676tQQmFrilCR8L7kxRcGd,191329,4,Cheat Codes,Never Love You Again (with Little Big Town & Bryn Christopher)
0.662,0.489,5,-7.067,1,0.0525,0.163,0.0,0.172,0.506,102.04,audio_features,1c1sdxrYLIiuJOlE7PPttb,spotify:track:1c1sdxrYLIiuJOlE7PPttb,https://api.spotify.com/v1/tracks/1c1sdxrYLIiuJOlE7PPttb,https://api.spotify.com/v1/audio-analysis/1c1sdxrYLIiuJOlE7PPttb,195881,4,Kygo,Love Me Now (feat. Zoe Wees)
0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,audio_features,5ri4zqtWhG07hIuNNDWP76,spotify:track:5ri4zqtWhG07hIuNNDWP76,https://api.spotify.com/v1/tracks/5ri4zqtWhG07hIuNNDWP76,https://api.spotify.com/v1/audio-analysis/5ri4zqtWhG07hIuNNDWP76,178157,4,Tones And I,Fly Away
0.667,0.827,11,-5.631,1,0.0368,0.0863,0.0,0.0565,0.573,107.95,audio_features,140XpWSdJ0jZEbLj9iVnPA,spotify:track:140XpWSdJ0jZEbLj9iVnPA,https://api.spotify.com/v1/tracks/140XpWSdJ0jZEbLj9iVnPA,https://api.spotify.com/v1/audio-analysis/140XpWSdJ0jZEbLj9iVnPA,161944,4,Sam Feldt,The Best Days (feat. Tabitha)
0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,0.409,123.979,audio_features,2aXC0fD6qziwlOZZqhCqTd,spotify:track:2aXC0fD6qziwlOZZqhCqTd,https://api.spotify.com/v1/tracks/2aXC0fD6qziwlOZZqhCqTd,https://api.spotify.com/v1/audio-analysis/2aXC0fD6qziwlOZZqhCqTd,164490,4,Hot Shade,Dive
