danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,audio_features,4FdPnT2cFrpWCmWZd7GXc3,spotify:track:4FdPnT2cFrpWCmWZd7GXc3,https://api.spotify.com/v1/tracks/4FdPnT2cFrpWCmWZd7GXc3,https://api.spotify.com/v1/audio-analysis/4FdPnT2cFrpWCmWZd7GXc3,213719,4,Kane Brown,One Mississippi
0.502,0.662,9,-4.041,1,0.0293,0.00322,0.00274,0.119,0.4,110.917,audio_features,2vubFQgAJO5SeuVa7ytIHc,spotify:track:2vubFQgAJO5SeuVa7ytIHc,https://api.spotify.com/v1/tracks/2vubFQgAJO5SeuVa7ytIHc,https://api.spotify.com/v1/audio-analysis/2vubFQgAJO5SeuVa7ytIHc,251293,4,Morgan Wade,Wilder Days
0.478,0.516,5,-7.276,1,0.0267,0.403,0.0,0.0823,0.376,80.09,audio_features,5n4kMW5dn7MHFhXQuJb9zG,spotify:track:5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/tracks/5n4kMW5dn7MHFhXQuJb9zG,https://api.spotify.com/v1/audio-analysis/5n4kMW5dn7MHFhXQuJb9zG,196008,4,Restless Road,Growing Old With You
0.678,0.528,10,-7.317,1,0.0551,0.289,0.0,0.0734,0.614,79.018,audio_features,3HGnIIdHYIbkowzLk8UHbE,spotify:track:3HGnIIdHYIbkowzLk8UHbE,https://api.spotify.com/v1/tracks/3HGnIIdHYIbkowzLk8UHbE,https://api.spotify.com/v1/audio-analysis/3HGnIIdHYIbkowzLk8UHbE,194545,4,Ingrid Andress,Wishful Drinking (with Sam Hunt)
0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,audio_features,4k3lPl8YTKuY8c1HelVnm3,spotify:track:4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/tracks/4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/audio-analysis/4k3lPl8YTKuY8c1HelVnm3,224213,4,Cody Johnson,'Til You Can't
0.702,0.778,6,-4.25,1,0.0287,0.302,0.0,0.126,0.879,91.014,audio_features,55M9eKCXJFCpid6WBVyEct,spotify:track:55M9eKCXJFCpid6WBVyEct,https://api.spotify.com/v1/tracks/55M9eKCXJFCpid6WBVyEct,https://api.spotify.com/v1/audio-analysis/55M9eKCXJFCpid6WBVyEct,174111,4,Seaforth,Good Beer
0.556,0.726,10,-5.054,1,0.0312,0.139,0.0,0.106,0.441,142.107,audio_features,7aRVF1U72PPCTJiSX2vRpd,spotify:track:7aRVF1U72PPCTJiSX2vRpd,https://api.spotify.com/v1/tracks/7aRVF1U72PPCTJiSX2vRpd,https://api.spotify.com/v1/audio-analysis/7aRVF1U72PPCTJiSX2vRpd,201322,4,Ashland Craft,Make It Past Georgia
0.54,0.87,8,-4.635,1,0.0487,0.0678,0.0,0.12,0.494,97.991,audio_features,5gTQD1FjKMqUisgSD0uyb1,spotify:track:5gTQD1FjKMqUisgSD0uyb1,https://api.spotify.com/v1/tracks/5gTQD1FjKMqUisgSD0uyb1,https://api.spotify.com/v1/audio-analysis/5gTQD1FjKMqUisgSD0uyb1,165921,4,Travis Denning,Dirt Road Down
0.553,0.609,1,-6.436,1,0.0469,0.151,0.0,0.112,0.471,73.903,audio_features,3TuMOIzXkhKFDNHyQ7Mo8J,spotify:track:3TuMOIzXkhKFDNHyQ7Mo8J,https://api.spotify.com/v1/tracks/3TuMOIzXkhKFDNHyQ7Mo8J,https://api.spotify.com/v1/audio-analysis/3TuMOIzXkhKFDNHyQ7Mo8J,214416,4,Carly Pearce,Never Wanted To Be That Girl
0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877,audio_features,6VVqPBFZIbcmv14zNfOc13,spotify:track:6VVqPBFZIbcmv14zNfOc13,https://api.spotify.com/v1/tracks/6VVqPBFZIbcmv14zNfOc13,https://api.spotify.com/v1/audio-analysis/6VVqPBFZIbcmv14zNfOc13,163311,4,Russell Dickerson,She Likes It (feat. Jake Scott)
0.714,0.766,6,-4.42,1,0.0365,0.0957,0.00183,0.0595,0.665,114.964,audio_features,6JSH36hKFusIabTu1egYO5,spotify:track:6JSH36hKFusIabTu1egYO5,https://api.spotify.com/v1/tracks/6JSH36hKFusIabTu1egYO5,https://api.spotify.com/v1/audio-analysis/6JSH36hKFusIabTu1egYO5,147694,4,Erin Kinsey,Just Drive
0.492,0.708,10,-4.639,1,0.0334,0.0975,0.0,0.12,0.697,161.989,audio_features,4Qum1kECNQrpREev5fvAQ4,spotify:track:4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/tracks/4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/audio-analysis/4Qum1kECNQrpREev5fvAQ4,203037,4,Mitchell Tenpenny,Truth About You
0.636,0.866,4,-5.796,1,0.0553,0.243,5.42e-06,0.371,0.963,85.004,audio_features,3YaycOQk7PoQpl7YdvmWdX,spotify:track:3YaycOQk7PoQpl7YdvmWdX,https://api.spotify.com/v1/tracks/3YaycOQk7PoQpl7YdvmWdX,https://api.spotify.com/v1/audio-analysis/3YaycOQk7PoQpl7YdvmWdX,191360,4,Old Dominion,No Hard Feelings
0.591,0.814,4,-4.986,1,0.0468,0.015,0.0,0.117,0.815,149.9,audio_features,13G5xv1wUKvJYbK0wYmioN,spotify:track:13G5xv1wUKvJYbK0wYmioN,https://api.spotify.com/v1/tracks/13G5xv1wUKvJYbK0wYmioN,https://api.spotify.com/v1/audio-analysis/13G5xv1wUKvJYbK0wYmioN,195760,4,Maren Morris,Circles Around This Town
0.605,0.786,4,-4.138,1,0.0379,0.00276,0.0,0.347,0.512,116.995,audio_features,0BQpyaFrb78b9uobWNheqx,spotify:track:0BQpyaFrb78b9uobWNheqx,https://api.spotify.com/v1/tracks/0BQpyaFrb78b9uobWNheqx,https://api.spotify.com/v1/audio-analysis/0BQpyaFrb78b9uobWNheqx,182930,4,Keith Urban,Wild Hearts
0.534,0.632,3,-5.833,1,0.03,0.515,0.0,0.0922,0.227,143.866,audio_features,3u6YTdxBfx3dzIC5qJ9Afu,spotify:track:3u6YTdxBfx3dzIC5qJ9Afu,https://api.spotify.com/v1/tracks/3u6YTdxBfx3dzIC5qJ9Afu,https://api.spotify.com/v1/audio-analysis/3u6YTdxBfx3dzIC5qJ9Afu,212667,4,Maddie & Tae,Strangers
