danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.633,0.92,9,-2.812,1,0.0928,0.00764,0.00177,0.123,0.154,114.997,audio_features,4XeIiGpUBshIfs9yrBDVZC,spotify:track:4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/tracks/4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/audio-analysis/4XeIiGpUBshIfs9yrBDVZC,359126,4,ODESZA,The Last Goodbye (feat. Bettye LaVette)
0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036,audio_features,50ZFpw2wS6ERvLmW8TINhq,spotify:track:50ZFpw2wS6ERvLmW8TINhq,https://api.spotify.com/v1/tracks/50ZFpw2wS6ERvLmW8TINhq,https://api.spotify.com/v1/audio-analysis/50ZFpw2wS6ERvLmW8TINhq,168053,4,Charli XCX,Beg For You (feat. Rina Sawayama)
0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,audio_features,6GomT970rCOkKAyyrwJeZi,spotify:track:6GomT970rCOkKAyyrwJeZi,https://api.spotify.com/v1/tracks/6GomT970rCOkKAyyrwJeZi,https://api.spotify.com/v1/audio-analysis/6GomT970rCOkKAyyrwJeZi,157445,4,Öwnboss,Move Your Body
0.478,0.824,2,-2.011,0,0.064,0.097,5.07e-05,0.12,0.284,130.051,audio_features,68ENoqLVDFqkKeT01TEfF4,spotify:track:68ENoqLVDFqkKeT01TEfF4,https://api.spotify.com/v1/tracks/68ENoqLVDFqkKeT01TEfF4,https://api.spotify.com/v1/audio-analysis/68ENoqLVDFqkKeT01TEfF4,232959,4,Flume,Say Nothing
0.639,0.873,2,-6.222,1,0.0408,0.0237,0.0143,0.119,0.258,121.031,audio_features,1kpTK8SWlA1lGkorVaxp3S,spotify:track:1kpTK8SWlA1lGkorVaxp3S,https://api.spotify.com/v1/tracks/1kpTK8SWlA1lGkorVaxp3S,https://api.spotify.com/v1/audio-analysis/1kpTK8SWlA1lGkorVaxp3S,199091,4,Diplo,Don’t Forget My Love
0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,audio_features,3sa06xVNmLLYIxdNNmVQN8,spotify:track:3sa06xVNmLLYIxdNNmVQN8,https://api.spotify.com/v1/tracks/3sa06xVNmLLYIxdNNmVQN8,https://api.spotify.com/v1/audio-analysis/3sa06xVNmLLYIxdNNmVQN8,177689,4,Jax Jones,Where Did You Go? (feat. MNEK)
0.626,0.754,2,-6.217,0,0.0269,0.00998,0.00404,0.157,0.317,100.015,audio_features,7BhmwvCdQZNwuQXSHw5TzP,spotify:track:7BhmwvCdQZNwuQXSHw5TzP,https://api.spotify.com/v1/tracks/7BhmwvCdQZNwuQXSHw5TzP,https://api.spotify.com/v1/audio-analysis/7BhmwvCdQZNwuQXSHw5TzP,158400,4,Alok,Headlights (feat. KIDDO)
0.658,0.908,4,-8.071,0,0.186,0.0335,0.0198,0.221,0.45,123.92,audio_features,5kVXjAxYDkN57tZQi0JKya,spotify:track:5kVXjAxYDkN57tZQi0JKya,https://api.spotify.com/v1/tracks/5kVXjAxYDkN57tZQi0JKya,https://api.spotify.com/v1/audio-analysis/5kVXjAxYDkN57tZQi0JKya,253787,4,Disclosure,You've Got To Let Go If You Want To Be Free
0.308,0.86,11,-4.111,0,0.168,0.0116,0.000828,0.277,0.0387,171.835,audio_features,53O5nAlq04RKmSBqW0SFvG,spotify:track:53O5nAlq04RKmSBqW0SFvG,https://api.spotify.com/v1/tracks/53O5nAlq04RKmSBqW0SFvG,https://api.spotify.com/v1/audio-analysis/53O5nAlq04RKmSBqW0SFvG,158774,4,Luude,Down Under (feat. Colin Hay)
0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02,audio_features,7y3c1oJMY1CwwtOZ84Qovu,spotify:track:7y3c1oJMY1CwwtOZ84Qovu,https://api.spotify.com/v1/tracks/7y3c1oJMY1CwwtOZ84Qovu,https://api.spotify.com/v1/audio-analysis/7y3c1oJMY1CwwtOZ84Qovu,174795,4,Regard,Hallucination
0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581,audio_features,1dt220OBbkTsYz1NLVKIaw,spotify:track:1dt220OBbkTsYz1NLVKIaw,https://api.spotify.com/v1/tracks/1dt220OBbkTsYz1NLVKIaw,https://api.spotify.com/v1/audio-analysis/1dt220OBbkTsYz1NLVKIaw,178310,4,Gabry Ponte,Call Me (with R3HAB & Timmy Trumpet)
0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03,audio_features,3YOZWCREvKsxhcZNJix5xd,spotify:track:3YOZWCREvKsxhcZNJix5xd,https://api.spotify.com/v1/tracks/3YOZWCREvKsxhcZNJix5xd,https://api.spotify.com/v1/audio-analysis/3YOZWCREvKsxhcZNJix5xd,130413,4,Armin van Buuren,No Fun
0.632,0.691,9,-5.226,0,0.0603,0.00604,0.00149,0.19,0.0768,116.028,audio_features,0YQEWdfq3ajtNtK106Dr0k,spotify:track:0YQEWdfq3ajtNtK106Dr0k,https://api.spotify.com/v1/tracks/0YQEWdfq3ajtNtK106Dr0k,https://api.spotify.com/v1/audio-analysis/0YQEWdfq3ajtNtK106Dr0k,159315,4,Grimes,Shinigami Eyes
0.793,0.886,10,-5.071,0,0.0445,0.000755,0.878,0.296,0.285,124.04,audio_features,0B3H6se7MYo3D7BmzfvdVN,spotify:track:0B3H6se7MYo3D7BmzfvdVN,https://api.spotify.com/v1/tracks/0B3H6se7MYo3D7BmzfvdVN,https://api.spotify.com/v1/audio-analysis/0B3H6se7MYo3D7BmzfvdVN,158725,4,Joel Corry,The Parade
0.779,0.727,11,-8.59,0,0.053,0.165,0.0194,0.32,0.455,124.021,audio_features,0fp6PDlnCkmdE0F3s0tfr6,spotify:track:0fp6PDlnCkmdE0F3s0tfr6,https://api.spotify.com/v1/tracks/0fp6PDlnCkmdE0F3s0tfr6,https://api.spotify.com/v1/audio-analysis/0fp6PDlnCkmdE0F3s0tfr6,171599,4,Sofi Tukker,Original Sin
0.694,0.828,11,-4.653,0,0.0336,0.0399,0.0,0.0796,0.407,126.002,audio_features,5WOnsi0Bug74LmhxcPfKvR,spotify:track:5WOnsi0Bug74LmhxcPfKvR,https://api.spotify.com/v1/tracks/5WOnsi0Bug74LmhxcPfKvR,https://api.spotify.com/v1/audio-analysis/5WOnsi0Bug74LmhxcPfKvR,150476,4,Topic,In Your Arms (For An Angel)
0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,audio_features,5902W4uHWzhtOff1UK7the,spotify:track:5902W4uHWzhtOff1UK7the,https://api.spotify.com/v1/tracks/5902W4uHWzhtOff1UK7the,https://api.spotify.com/v1/audio-analysis/5902W4uHWzhtOff1UK7the,161267,4,Alesso,When I’m Gone (with Katy Perry)
0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,audio_features,3t4KHjd8uQpJJ2fa0fRIpR,spotify:track:3t4KHjd8uQpJJ2fa0fRIpR,https://api.spotify.com/v1/tracks/3t4KHjd8uQpJJ2fa0fRIpR,https://api.spotify.com/v1/audio-analysis/3t4KHjd8uQpJJ2fa0fRIpR,175163,4,The Chainsmokers,High
