danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.324,0.0438,7,-33.04,0,0.0401,0.993,0.937,0.0713,0.307,110.226,audio_features,7pLoI3XJLM67CGKAnOf5M5,spotify:track:7pLoI3XJLM67CGKAnOf5M5,https://api.spotify.com/v1/tracks/7pLoI3XJLM67CGKAnOf5M5,https://api.spotify.com/v1/audio-analysis/7pLoI3XJLM67CGKAnOf5M5,95943,4,Nils Frahm,All Numbers End
0.557,0.0395,3,-26.066,1,0.0419,0.988,0.923,0.121,0.183,84.017,audio_features,5eEYSPaVwg4Fe1KCMYunQf,spotify:track:5eEYSPaVwg4Fe1KCMYunQf,https://api.spotify.com/v1/tracks/5eEYSPaVwg4Fe1KCMYunQf,https://api.spotify.com/v1/audio-analysis/5eEYSPaVwg4Fe1KCMYunQf,152985,3,Helmut Schenker,Alba
0.412,0.0394,3,-26.907,1,0.033,0.992,0.976,0.107,0.19,51.076,audio_features,4xugZez7zpHFNTgkf0DLV1,spotify:track:4xugZez7zpHFNTgkf0DLV1,https://api.spotify.com/v1/tracks/4xugZez7zpHFNTgkf0DLV1,https://api.spotify.com/v1/audio-analysis/4xugZez7zpHFNTgkf0DLV1,180777,3,Mirta da Silva,Before your eyes
0.308,0.00889,5,-28.337,1,0.0397,0.973,0.936,0.112,0.11,143.231,audio_features,0sCPbmOcdRcTWVDjHh22id,spotify:track:0sCPbmOcdRcTWVDjHh22id,https://api.spotify.com/v1/tracks/0sCPbmOcdRcTWVDjHh22id,https://api.spotify.com/v1/audio-analysis/0sCPbmOcdRcTWVDjHh22id,112653,3,William Cas,Hour of Rest
0.515,0.048,1,-31.346,0,0.0408,0.989,0.935,0.1,0.0944,98.594,audio_features,5vz0Vls8TbtlI58CHQrIpb,spotify:track:5vz0Vls8TbtlI58CHQrIpb,https://api.spotify.com/v1/tracks/5vz0Vls8TbtlI58CHQrIpb,https://api.spotify.com/v1/audio-analysis/5vz0Vls8TbtlI58CHQrIpb,127250,3,Jørg Sorensen,Träumerei
0.219,0.0153,9,-33.563,0,0.0346,0.994,0.923,0.0934,0.1,57.439,audio_features,7BpDcPsVqfMgHdVglLK3Kt,spotify:track:7BpDcPsVqfMgHdVglLK3Kt,https://api.spotify.com/v1/tracks/7BpDcPsVqfMgHdVglLK3Kt,https://api.spotify.com/v1/audio-analysis/7BpDcPsVqfMgHdVglLK3Kt,312757,4,Joep Beving,Nocturnal
0.604,0.0325,8,-27.453,1,0.0629,0.993,0.951,0.0956,0.195,71.169,audio_features,4Vuegf7MFlYZ5h8WK973O3,spotify:track:4Vuegf7MFlYZ5h8WK973O3,https://api.spotify.com/v1/tracks/4Vuegf7MFlYZ5h8WK973O3,https://api.spotify.com/v1/audio-analysis/4Vuegf7MFlYZ5h8WK973O3,210000,4,Edgar De Vries,The Chapel
0.218,0.00352,1,-39.627,1,0.0515,0.992,0.951,0.139,0.192,68.61,audio_features,2zM7Ato6xDOi8ten4qn7Cm,spotify:track:2zM7Ato6xDOi8ten4qn7Cm,https://api.spotify.com/v1/tracks/2zM7Ato6xDOi8ten4qn7Cm,https://api.spotify.com/v1/audio-analysis/2zM7Ato6xDOi8ten4qn7Cm,335542,4,Ludovico Einaudi,Natural Light
0.371,0.0247,4,-26.325,1,0.0347,0.989,0.929,0.114,0.11,96.604,audio_features,6nEtaXKHUnrcbTjagD9mXC,spotify:track:6nEtaXKHUnrcbTjagD9mXC,https://api.spotify.com/v1/tracks/6nEtaXKHUnrcbTjagD9mXC,https://api.spotify.com/v1/audio-analysis/6nEtaXKHUnrcbTjagD9mXC,156014,4,Claudio Polle,Silverfog
0.376,0.0254,11,-28.245,0,0.044,0.988,0.943,0.0923,0.169,90.977,audio_features,05HDcU36t1sVPiOzAAolke,spotify:track:05HDcU36t1sVPiOzAAolke,https://api.spotify.com/v1/tracks/05HDcU36t1sVPiOzAAolke,https://api.spotify.com/v1/audio-analysis/05HDcU36t1sVPiOzAAolke,150875,4,Lorenzo Fiore,Il lago
