danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4,Fleetwood Mac,Dreams - 2004 Remaster
0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,audio_features,3YBZIN3rekqsKxbJc9FZko,spotify:track:3YBZIN3rekqsKxbJc9FZko,https://api.spotify.com/v1/tracks/3YBZIN3rekqsKxbJc9FZko,https://api.spotify.com/v1/audio-analysis/3YBZIN3rekqsKxbJc9FZko,405640,4,Guns N' Roses,Paradise City
0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,audio_features,5vdp5UmvTsnMEMESIF2Ym7,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7,214653,4,Queen,Another One Bites The Dust - Remastered 2011
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400,4,AC/DC,Highway to Hell
0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4,The Clash,Should I Stay or Should I Go - Remastered
0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,audio_features,2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/audio-analysis/2Cdvbe2G4hZsnhNMKyGrie,175173,4,Joan Jett & The Blackhearts,I Love Rock 'N Roll
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,audio_features,0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/audio-analysis/0hCB0YR03f6AmQaHbwWDe8,333893,4,Led Zeppelin,Whole Lotta Love - 1990 Remaster
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4,Radiohead,Creep
0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,audio_features,5MxNLUsfh7uzROypsoO5qe,spotify:track:5MxNLUsfh7uzROypsoO5qe,https://api.spotify.com/v1/tracks/5MxNLUsfh7uzROypsoO5qe,https://api.spotify.com/v1/audio-analysis/5MxNLUsfh7uzROypsoO5qe,266960,4,Aerosmith,Dream On
0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,audio_features,37ZJ0p5Jm13JPevGcx4SkF,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293,4,Bon Jovi,Livin' On A Prayer
0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,audio_features,4bHsxqR3GMrXTxEPLuK5ue,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,250987,4,Journey,Don't Stop Believin'
0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4,The White Stripes,Seven Nation Army
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4,Eagles,Hotel California - 2013 Remaster
0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,audio_features,70YvYr2hGlS01bKRIho1HM,spotify:track:70YvYr2hGlS01bKRIho1HM,https://api.spotify.com/v1/tracks/70YvYr2hGlS01bKRIho1HM,https://api.spotify.com/v1/audio-analysis/70YvYr2hGlS01bKRIho1HM,230480,4,ZZ Top,La Grange - 2005 Remaster
0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114,audio_features,7Jh1bpe76CNTCgdgAdBw4Z,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z,https://api.spotify.com/v1/audio-analysis/7Jh1bpe76CNTCgdgAdBw4Z,371413,4,David Bowie,Heroes - 2017 Remaster
0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,2RsAajgo0g7bMCHxwH3Sk0,spotify:track:2RsAajgo0g7bMCHxwH3Sk0,https://api.spotify.com/v1/tracks/2RsAajgo0g7bMCHxwH3Sk0,https://api.spotify.com/v1/audio-analysis/2RsAajgo0g7bMCHxwH3Sk0,218920,4,Nirvana,Come As You Are
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,audio_features,3qiyyUfYe7CRYLucrPmulD,spotify:track:3qiyyUfYe7CRYLucrPmulD,https://api.spotify.com/v1/tracks/3qiyyUfYe7CRYLucrPmulD,https://api.spotify.com/v1/audio-analysis/3qiyyUfYe7CRYLucrPmulD,300400,4,The Who,Baba O'Riley
0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547,4,TOTO,Hold the Line
0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,audio_features,1jzDzZWeSDBg5fhNc3tczV,spotify:track:1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/tracks/1jzDzZWeSDBg5fhNc3tczV,https://api.spotify.com/v1/audio-analysis/1jzDzZWeSDBg5fhNc3tczV,168440,4,Black Sabbath,Paranoid
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4,Red Hot Chili Peppers,Under the Bridge
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4,AC/DC,Back In Black
0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,audio_features,5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547,4,Foo Fighters,Everlong
0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version
0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,audio_features,2g7gviEeJr6pyxO7G35EWQ,spotify:track:2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/tracks/2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/audio-analysis/2g7gviEeJr6pyxO7G35EWQ,508333,4,Meat Loaf,Paradise By the Dashboard Light
