danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,titles
0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,audio_features,1ri9ZUkBJVFUdgwzCnfcYs,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4,Becky G,MAMIII
0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,audio_features,6ZOcbKub95XSDESsKKuH41,spotify:track:6ZOcbKub95XSDESsKKuH41,https://api.spotify.com/v1/tracks/6ZOcbKub95XSDESsKKuH41,https://api.spotify.com/v1/audio-analysis/6ZOcbKub95XSDESsKKuH41,224997,4,Rauw Alejandro,Desesperados
0.662,0.788,3,-4.55,0,0.205,0.0191,0.0,0.0559,0.711,179.876,audio_features,7iqOIHHEmu6Vhw25GgQ2eA,spotify:track:7iqOIHHEmu6Vhw25GgQ2eA,https://api.spotify.com/v1/tracks/7iqOIHHEmu6Vhw25GgQ2eA,https://api.spotify.com/v1/audio-analysis/7iqOIHHEmu6Vhw25GgQ2eA,170760,4,J Balvin,Una Nota
0.787,0.7,4,-4.598,0,0.0768,0.568,0.00051,0.663,0.791,90.02,audio_features,6lX6l7OuA3qrnIRfdsr0dw,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/tracks/6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/audio-analysis/6lX6l7OuA3qrnIRfdsr0dw,233453,4,Blessd,Medallo
0.822,0.736,1,-3.969,1,0.15,0.157,0.000781,0.0748,0.679,175.93,audio_features,704LUEih663hiE3CnyUrFW,spotify:track:704LUEih663hiE3CnyUrFW,https://api.spotify.com/v1/tracks/704LUEih663hiE3CnyUrFW,https://api.spotify.com/v1/audio-analysis/704LUEih663hiE3CnyUrFW,181107,4,KAROL G,SEJODIOTO
0.869,0.727,2,-4.956,1,0.121,0.00118,6.97e-05,0.183,0.613,93.989,audio_features,0HINQFSerZ6iMfSsaTO3G5,spotify:track:0HINQFSerZ6iMfSsaTO3G5,https://api.spotify.com/v1/tracks/0HINQFSerZ6iMfSsaTO3G5,https://api.spotify.com/v1/audio-analysis/0HINQFSerZ6iMfSsaTO3G5,159200,4,DEKKO,12x3
0.562,0.755,7,-4.367,0,0.112,0.0967,2.25e-05,0.143,0.609,83.997,audio_features,5W1qmxHrMlQGGAiFA3ZQqP,spotify:track:5W1qmxHrMlQGGAiFA3ZQqP,https://api.spotify.com/v1/tracks/5W1qmxHrMlQGGAiFA3ZQqP,https://api.spotify.com/v1/audio-analysis/5W1qmxHrMlQGGAiFA3ZQqP,277693,4,Dímelo Flow,Se Le Ve
0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041,audio_features,5TMLavqGRKNxgzMBrVpC9R,spotify:track:5TMLavqGRKNxgzMBrVpC9R,https://api.spotify.com/v1/tracks/5TMLavqGRKNxgzMBrVpC9R,https://api.spotify.com/v1/audio-analysis/5TMLavqGRKNxgzMBrVpC9R,179940,4,zzoilo,Mon Amour - Remix
0.748,0.856,11,-3.517,0,0.0348,0.0824,0.0,0.142,0.927,123.031,audio_features,0Be7sopyKMv8Y8npsUkax2,spotify:track:0Be7sopyKMv8Y8npsUkax2,https://api.spotify.com/v1/tracks/0Be7sopyKMv8Y8npsUkax2,https://api.spotify.com/v1/audio-analysis/0Be7sopyKMv8Y8npsUkax2,189320,4,Sebastian Yatra,Tacones Rojos
0.704,0.604,5,-5.254,1,0.0556,0.067,0.0,0.126,0.642,90.028,audio_features,1uK5rDY3BnikyG0sl3tPpc,spotify:track:1uK5rDY3BnikyG0sl3tPpc,https://api.spotify.com/v1/tracks/1uK5rDY3BnikyG0sl3tPpc,https://api.spotify.com/v1/audio-analysis/1uK5rDY3BnikyG0sl3tPpc,218801,4,Sofía Reyes,Marte
0.734,0.846,9,-3.425,0,0.0489,0.166,1.74e-06,0.235,0.604,98.026,audio_features,2BEcap3xJtmiPaHKyfQi4e,spotify:track:2BEcap3xJtmiPaHKyfQi4e,https://api.spotify.com/v1/tracks/2BEcap3xJtmiPaHKyfQi4e,https://api.spotify.com/v1/audio-analysis/2BEcap3xJtmiPaHKyfQi4e,209884,4,Rvssian,Nostálgico
0.818,0.88,6,-2.411,0,0.0577,0.0237,0.0,0.0777,0.686,94.985,audio_features,3No3zHVwKadKDR00kZdmAB,spotify:track:3No3zHVwKadKDR00kZdmAB,https://api.spotify.com/v1/tracks/3No3zHVwKadKDR00kZdmAB,https://api.spotify.com/v1/audio-analysis/3No3zHVwKadKDR00kZdmAB,144987,4,Feid,FRIKI
0.835,0.587,11,-7.094,1,0.322,0.203,2.83e-05,0.101,0.423,90.001,audio_features,5c4KBG3ATUOmP8y2KHGGoI,spotify:track:5c4KBG3ATUOmP8y2KHGGoI,https://api.spotify.com/v1/tracks/5c4KBG3ATUOmP8y2KHGGoI,https://api.spotify.com/v1/audio-analysis/5c4KBG3ATUOmP8y2KHGGoI,189016,4,Maluma,Cositas de la USA
0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953,audio_features,0UXlu64mDLvfzR8IXMz06J,spotify:track:0UXlu64mDLvfzR8IXMz06J,https://api.spotify.com/v1/tracks/0UXlu64mDLvfzR8IXMz06J,https://api.spotify.com/v1/audio-analysis/0UXlu64mDLvfzR8IXMz06J,185723,4,Christian Nodal,Ya No Somos Ni Seremos
0.787,0.748,8,-3.752,0,0.0797,0.571,0.0,0.214,0.703,93.006,audio_features,0rsTDgGRlXKuzSAxcdb4Ns,spotify:track:0rsTDgGRlXKuzSAxcdb4Ns,https://api.spotify.com/v1/tracks/0rsTDgGRlXKuzSAxcdb4Ns,https://api.spotify.com/v1/audio-analysis/0rsTDgGRlXKuzSAxcdb4Ns,219750,4,Sech,Borracho
0.7,0.438,5,-5.784,0,0.0433,0.401,0.0,0.373,0.605,170.106,audio_features,4TGwERXRlyQtBdggYTHo6j,spotify:track:4TGwERXRlyQtBdggYTHo6j,https://api.spotify.com/v1/tracks/4TGwERXRlyQtBdggYTHo6j,https://api.spotify.com/v1/audio-analysis/4TGwERXRlyQtBdggYTHo6j,260000,3,Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole]
0.789,0.763,9,-4.404,1,0.0858,0.0269,5.04e-05,0.153,0.251,98.019,audio_features,5hYRabCQuFZN8yVCQsSeyF,spotify:track:5hYRabCQuFZN8yVCQsSeyF,https://api.spotify.com/v1/tracks/5hYRabCQuFZN8yVCQsSeyF,https://api.spotify.com/v1/audio-analysis/5hYRabCQuFZN8yVCQsSeyF,152111,4,Nicky Jam,Ojos Rojos
0.886,0.482,7,-9.882,1,0.175,0.396,0.0,0.115,0.568,124.956,audio_features,6O4z17Q6EK35AUOPRbj1mc,spotify:track:6O4z17Q6EK35AUOPRbj1mc,https://api.spotify.com/v1/tracks/6O4z17Q6EK35AUOPRbj1mc,https://api.spotify.com/v1/audio-analysis/6O4z17Q6EK35AUOPRbj1mc,232560,4,Eladio Carrion,No Te Deseo el Mal
