artist,title
GAYLE,abcdefu [Explicit]
Lost Frequencies,Where Are You Now (Ft. Calum Scott)
ArrDee x Aitch,War [Explicit]
Sam Fender,Seventeen Going Under
HAZEY,Packs and Potions
Adele,Oh My God
Ed Sheeran,Shivers
Justin Bieber,Ghost
Ed Sheeran,Bad Habits
Joel Corry,I Wish (Ft. Mabel)
Tïesto & Ava Max,The Motto
Adele,Easy On Me
GAYLE,abcdefu [Explicit]
Ed Sheeran,Shivers
Ed Sheeran,Bad Habits
Lost Frequencies,Where Are You Now (Ft. Calum Scott)
Adele,Easy On Me
Glass Animals,Heat Waves
HAZEY,Packs and Potions
ArrDee x Aitch,War [Explicit]
Lost Frequencies,Where Are You Now (Ft. Calum Scott)
GAYLE,abcdefu [Explicit]
Sam Fender,Seventeen Going Under
George Ezra,Anyone For You
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
Ed Sheeran,Overpass Graffiti
Ed Sheeran,Bad Habits
Ed Sheeran,Shivers
Bastille,Shut Off The Lights
Rex Orange County,KEEP IT UP
KAWALA,Jesse C’Mon
Yard Act,The Overload [Explicit]
Blossoms,Ribbon Around The Bomb
