title,artist
WE DON'T TALK ABOUT BRUNO,GAITAN/CASTILLO/ADASSA/FELIZ
PERU,FIREBOY DML & ED SHEERAN
SURFACE PRESSURE,JESSICA DARROW
ABCDEFU,GAYLE
WHERE ARE YOU NOW,LOST FREQUENCIES/CALUM SCOTT
WAR,ARRDEE & AITCH
SEVENTEEN GOING UNDER,SAM FENDER
MAKE ME FEEL GOOD,BELTERS ONLY FT JAZZY
THE FAMILY MADRIGAL,STEPHANIE BEATRIZ/OLGA MEREDIZ
OVERSEAS,D-BLOCK EUROPE FT CENTRAL CEE
PACKS AND POTIONS,HAZEY
DOWN UNDER,LUUDE FT COLIN HAY
PUMP 101,DIGGA D/STILL BRICKIN'
FINGERS CROSSED,LAUREN SPENCER-SMITH
OH MY GOD,ADELE
SHIVERS,ED SHEERAN
ENEMY,IMAGINE DRAGONS/JID/LEAGUE OF
EVERYTHING'S ELECTRIC,LIAM GALLAGHER
GHOST,JUSTIN BIEBER
BAD HABITS,ED SHEERAN
I WISH,JOEL CORRY FT MABEL
THE MOTTO,TIESTO & AVA MAX
EASY ON ME,ADELE
SHE'S ALL I WANNA BE,TATE MCRAE
COLD HEART,ELTON JOHN & DUA LIPA
SWEET TALKER,YEARS & YEARS/GALANTIS
HEAT WAVES,GLASS ANIMALS
PUSHIN P,GUNNA/FUTURE/YOUNG THUG
SACRIFICE,WEEKND
ANYONE FOR YOU,GEORGE EZRA
DO WE HAVE A PROBLEM,NICKI MINAJ & LIL BABY
COMING FOR YOU,SWITCHOTR FT A1 & J1
COLD SHOULDER,CENTRAL CEE
BEG FOR YOU,CHARLI XCX FT RINA SAWAYAMA
OVERPASS GRAFFITI,ED SHEERAN
ALONE WITH YOU,ARZ
CIGARETTES,JUICE WRLD
NUMB LITTLE BUG,EM BEIHOLD
BETTER DAYS,DERMOT KENNEDY
WHERE DID YOU GO,JAX JONES FT MNEK
LIGHT SWITCH,CHARLIE PUTH
STAY,KID LAROI & JUSTIN BIEBER
BLACK SUMMER,RED HOT CHILI PEPPERS
FLOWERS (SAY MY NAME),ARRDEE
GO,CAT BURNS
HRS AND HRS,MUNI LONG
DO IT TO IT,ACRAZE FT CHERISH
BRAVE,ELLA HENDERSON
INFINITY,JAYMES YOUNG
RETAIL THERAPY,CENTRAL CEE
TO THE MOON,JNR CHOI & SAM TOMPKINS
EMO GIRL,MACHINE GUN KELLY FT WILLOW
MAKE YOU SMILE,D-BLOCK EUROPE FT AJ TRACEY
USED TO THIS,WILKINSON & ISSEY CROSS
THATS WHAT I WANT,LIL NAS X
STILL SLEEPLESS,DOD & CARLA MONROE
ALL FOR US,LABRINTH
LOVE NWANTITI (AH AH AH),CKAY
BMW,BAD BOY CHILLER CREW
GOOD 4 U,OLIVIA RODRIGO
WHEN I'M GONE,ALESSO/KATY PERRY
SOFTCORE,NEIGHBOURHOOD
DANDELIONS,RUTH B
LOST,FRANK OCEAN
SAVE YOUR TEARS,WEEKND
MY HEART GOES (LA DI DA),BECKY HILL & TOPIC
I HATE U,SZA
OBSESSED WITH YOU,CENTRAL CEE
MONEY CALLING,BEATFREAKZ/RAYE/RUSS/WWW
MELODY,SIGALA
TOXIC,BOYWITHUKE
NOTION,RARE OCCASIONS
BLINDING LIGHTS,WEEKND
MR BRIGHTSIDE,KILLERS
I DRINK WINE,ADELE
INDUSTRY BABY,LIL NAS X & JACK HARLOW
TELL ME SOMETHING GOOD,EWAN MCVICAR
WOMAN,DOJA CAT
ACAPULCO,JASON DERULO
SOMEONE ELSE,PRIVATE ZERO
FORMULA,LABRINTH
REMEMBER,BECKY HILL & DAVID GUETTA
WYD NOW,SADIE JEAN
LEVITATING,DUA LIPA
HEAD ON FIRE,GRIFF & SIGRID
DON'T WAKE ME UP,JONAS BLUE & WHY DON'T WE
DON'T BREAK THE HEART,TOM GRENNAN
GET INTO IT (YUH),DOJA CAT
MY UNIVERSE,COLDPLAY & BTS
I LOVE YOU SO,WALTERS
CLASH,DAVE FT STORMZY
MIDDLE OF THE NIGHT,ELLEY DUHE
HAPPIER THAN EVER,BILLIE EILISH
CUT ME LOOSE,JETHRO HESTON/MAX MARSHALL
IT'LL BE OKAY,SHAWN MENDES
SOMEONE YOU LOVED,LEWIS CAPALDI
I AM WOMAN,EMMY MELI
BLACK MAGIC,JONASU
ELEVATE,NEMZZZ
450,BAD BOY CHILLER CREW FT S DOG
