title,artist
Heat Waves,Glass Animals
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Woke Up This Morning (Detroit Mix),Alabama 3
"Enemy (From the series ""Arcane League of Legends"")","Imagine Dragons, JID & League of Legends"
Woke up This Morning (The Sopranos Mix),Alabama 3
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole"
Always Been You,Jessie Murph
Infinity,Jaymes Young
Black Summer,Red Hot Chili Peppers
emo girl,Machine Gun Kelly & WILLOW
Meet Me At Our Spot (Live),"THE ANXIETY, WILLOW & Tyler Cole"
Believer,Imagine Dragons
My Universe (Galantis Remix),Coldplay & BTS
Record Player,Daisy the Great & AJR
bad guy,Billie Eilish
Thunder,Imagine Dragons
All Is Well (feat. Joy Williams),Avi Kaplan
Bang!,AJR
Happier Than Ever,Billie Eilish
Dance Monkey,Tones And I
Loser,Sueco
Keep the Wolves Away,Uncle Lucius
"Enemy (From the series ""Arcane League of Legends"")","Imagine Dragons, Arcane & League of Legends"
Seven Nation Army,The White Stripes
Way Down We Go,KALEO
Radioactive,Imagine Dragons
Whatever It Takes,Imagine Dragons
Cruel World,Phantogram
"Quiet, The Winter Harbor",Mazzy Star
Somebody That I Used to Know (feat. Kimbra),Gotye
Celebrity Skin,Doja Cat
The Night We Met,Lord Huron
Demons,Imagine Dragons
Someone You Loved,Lewis Capaldi
Yellow,Coldplay
You Oughta Know,Alanis Morissette
A Sky Full of Stars,Coldplay
Creep,Radiohead
Won’t Stand Down,Muse
"What, Me Worry?",Portugal. The Man
Far Behind,Candlebox
After Dark,Mr.Kitty
Wild,Spoon
Bite Me,Avril Lavigne
Bad Dream,Cannons
All Star,Smash Mouth
High Hopes,Panic! At the Disco
Viva la Vida,Coldplay
Smells Like Teen Spirit,Nirvana
Before You Go,Lewis Capaldi
The Hardest Cut,Spoon
Natural,Imagine Dragons
Ophelia,The Lumineers
Clocks,Coldplay
Pumped Up Kicks,Foster the People
Fix You,Coldplay
my ex's best friend,Machine Gun Kelly & blackbear
We Are Young (feat. Janelle Monáe),Fun.
Fire for You,Cannons
Shut Up and Dance,WALK THE MOON
U&ME,alt-J
Wrecked,Imagine Dragons
Closer,Nine Inch Nails
Love It When You Hate Me (feat. blackbear),Avril Lavigne
Take Me to Church,Hozier
Paradise,Coldplay
Without Me,Halsey
Legends Are Made,Sam Tinnesz
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole"
"Enemy (From the series ""Arcane League of Legends"")","Imagine Dragons, JID, Arcane & League of Legends"
Ex's & Oh's,Elle King
Wonderwall,Oasis
Feel It Still,Portugal. The Man
Softcore,The Neighbourhood
On Top of the World,Imagine Dragons
ocean eyes,Billie Eilish
Happiest Year,Jaymes Young
Come As You Are,Nirvana
Here in Spirit,Jim James
Life Goes On,Oliver Tree
Crazy,Gnarls Barkley
everything i wanted,Billie Eilish
Sail,AWOLNATION
Welcome to the Black Parade,My Chemical Romance
The Middle,Jimmy Eat World
Someone You Loved,Lewis Capaldi
Notion,The Rare Occasions
YES MOM,Tessa Violet
It's Time,Imagine Dragons
Feel Good Inc.,Gorillaz
Good Riddance (Time of Your Life),Green Day
Where Is My Mind?,Pixies
Black,Pearl Jam
HandClap,Fitz and The Tantrums
River,Bishop Briggs
Therefore I Am,Billie Eilish
The Good Part,AJR
Chasing Cars,Snow Patrol
Riptide,Vance Joy
No Time To Die,Billie Eilish
