title,artist
Keep On Rollin,King George
Keep On Rollin (Radio Edit),King George
At Last,Etta James
Roll It Roll It,Gentry Jones & Mr. Sam
Smokestack Lightnin',Howlin' Wolf
I'd Rather Go Blind,Etta James
A Sunday Kind of Love,Etta James
Spoonful,Howlin' Wolf
The Thrill Is Gone,B.B. King
Let Me Down Easy,Steve Freund & Gloria Hardiman
I Gotcha,Joe Tex
Misty Blue,Dorothy Moore
Slip Away,Clarence Carter
Groove Me,King Floyd
Stormy Weather,Etta James
On the Road Again,Canned Heat
Let's Work Together,Canned Heat
Police Dog Blues,Blind Blake
Coal Black Mattie,The Black Keys
Soul Man,The Blues Brothers
At Last,Etta James
Boom Boom,John Lee Hooker
I'd Rather Go Blind,Beth Hart & Joe Bonamassa
Mannish Boy,Muddy Waters
"Shout, Sister, Shout!",Sister Rosetta Tharpe & Lucky Millinder & His Orchestra
Good To Be (Home Again),Keb' Mo'
Police Dog Blues,Blind Blake
Ride Captain Ride (Single/LP Version),Blues Image
The River,Blues Saraceno
Sixteen Tons,Geoff Castellucci
Smokestack Lightnin',Howlin' Wolf
Slightly Hung Over,Blues Delight
House of the Rising Sun,Geoff Castellucci
Lie to Me,Jonny Lang
Life Is Beautiful,Keb' Mo'
Still Got the Blues,Gary Moore
I'll Take Care of You,Beth Hart & Joe Bonamassa
Someday Baby,R.L. Burnside
Drive,Joe Bonamassa
Long Tall Sally,Little Richard
The Thrill Is Gone (feat. Tracy Chapman),B.B. King
Shake 'Em on Down,Mississippi Fred McDowell
Hooray Hooray,Taj Mahal & Ry Cooder
There Was a Time (feat. Peter Frampton),Dion
The Medicine Man (feat. Old Crow Medicine Show),Keb' Mo'
Come on (Let the Good Times Roll),The Wolfe Johns Blues Band
Mannish Boy (Single Version),Muddy Waters
Goin' Up the Country,Canned Heat
Sweet Georgia Brown,Brother Bones & His Shadows
Still Rainin',Jonny Lang
Red House,Jimi Hendrix
Nothing Takes the Place of You,Tab Benoit
Back Door Man,Howlin' Wolf
The Love You Save (May Be Your Own),Joe Tex
Tell Mama,Etta James
Party Mood,Jaye Hammer
Crazy Blues,Mamie Smith
The Heart That Never Waits,Joe Bonamassa
Life Is a Bitch,Luther Allison
Chicken Heads (feat. Bobby Rush),Buddy Guy
Shake It Baby (feat. West Love),Stan Butler
Police Dog Blues,Cephas & Wiggins
Spoonful,Howlin' Wolf
Shake 'Em On Down,Mississippi Fred McDowell
Ain't No Sunshine (feat. Tracy Chapman),Buddy Guy
Ain't No Sunshine When She's Gone,"Bobby ""Blue"" Bland"
Smoking Gun,Robert Cray
The Thrill Is Gone,B.B. King
I Just Want To Make Love To You,Etta James
My Babe,Little Walter
Something's Got a Hold On Me,Etta James
Right Next Door (Because of Me),Robert Cray
Got My Whiskey,Mel Waiters
Hound Dog,Big Mama Thornton
Rollin' Stone,Muddy Waters
She Just Wants to Dance,Keb'Mo
Midnight Blues (Live),Joe Bonamassa
Stand Up In It,Theodis Ealey
Every Morning,Keb'Mo
Something's Got a Hold On Me,Etta James
"Honky Tonk, Pt. 1",Bill Doggett
I'd Rather Go Blind,Etta James
I'd Rather Go Blind,Etta James
Crawling Kingsnake,The Black Keys
I'll Play the Blues for You (Live),Joe Bonamassa
"Cold, Cold Feeling",Jimmy Johnson
I'd Rather Go Blind,Etta James
Never Thought,DAN HILL
Bring It on Home to Me (feat. Paul Carrack),B.B. King
Good Strong Woman (feat. Darius Rucker),Keb' Mo'
662,"Christone ""Kingfish"" Ingram"
Snatch It Back And Hold It / Hold It Back / Snatch It Back And Hold It (Medley),Gov't Mule
That's How I Got to Memphis,Charley Crockett
Arkansas,Larry McCray
Love Should Come with a Warning,Van Morrison
Carnival Time,"Al ""Carnival Time"" Johnson"
"Throw Me Something, Mister",Buckwheat Zydeco
Bit by a Cougar (Radio Edit),Jeter Jones
One Less Reason,Tinsley Ellis
It Makes Me Scream (Live),Meena Cryle & Chris Fillmore Band
