title,artist
The Motto,Tiësto & Ava Max
When I'm Gone,Alesso & Katy Perry
Do It To It (feat. Cherish),Acraze
Don't Forget My Love,Diplo & Miguel
Tell Me Something Good,Ewan McVicar
Dancing,James Hype
I Wish (feat. Mabel),Joel Corry
The Nights,Avicii
On My Way (Marry Me) [TELYKast Remix],Jennifer Lopez & TELYKast
Head & Heart (feat. MNEK),Joel Corry
Tell It To My Heart (feat. Hozier),Meduza
Closer (feat. Halsey),The Chainsmokers
Something Just Like This,The Chainsmokers & Coldplay
"Happy (From ""Despicable Me 2"")",Pharrell Williams
Wake Me Up,Avicii
Titanium (feat. Sia),David Guetta
Turn Down for What,DJ Snake & Lil Jon
Friendships,Pascal Letoublon
Be My Lover,La Bouche
Moth To A Flame,Swedish House Mafia & The Weeknd
Love Brand New,Bob Moses
Jerusalema (feat. Nomcebo Zikode) [Edit],Master KG
Edge,Rezz
Where Are You Now,Lost Frequencies & Calum Scott
Love Tonight (David Guetta Remix),Shouse & David Guetta
ily (i love you baby) [feat. Emilee],Surf Mesa
Time After Time,Paratone
Hello,Martin Solveig & Dragonette
Pump Up the Jam,Technotronic
Two of Hearts,Stacey Q
Woke Up This Morning (Exacto Mix),Vinne Pauleone and the Ba Da Bing Orchestra
Where Did You Go?,Jax Jones & MNEK
Story Of My Life (feat. Trippie Redd) [Heavy Edit],ILLENIUM & Sueco
Happier,Marshmello & Bastille
Man Areas,Jonny McGovern
The Middle,"Zedd, Maren Morris & Grey"
Ride It,Regard
Silence (feat. Khalid),Marshmello
Don't Let Me Down (feat. Daya),The Chainsmokers
One Kiss,"Calvin Harris, Dua Lipa"
Roses (Imanbek Remix),SAINt JHN
Faded,Alan Walker
Don't Be Shy,Tiësto & KAROL G
Jerusalema (feat. Nomcebo Zikode),Master KG
Rockabye (feat. Sean Paul & Anne-Marie) [Autograf Remix],Clean Bandit
I'm a Gummy Bear (The Gummy Bear Song),Gummy Bear
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta
One More Time,Daft Punk
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
Freaks (feat. Savage),Timmy Trumpet
Hip Hop Hooray,Naughty By Nature
Pieces,AVAION
You've Got To Let Go If You Want To Be Free,Disclosure & Zedd
You,"Regard, Troye Sivan & Tate McRae"
Heartbreak Anthem,"Galantis, David Guetta & Little Mix"
Walk Me Home,"Said The Sky, ILLENIUM & Chelsea Cutler"
Moth To A Flame (Chris Lake Remix),"Swedish House Mafia, The Weeknd & Chris Lake"
Hey Brother,Avicii
The Power,Snap!
The Nights (Felix Jaehn Remix),Avicii
Cry to Me,Kilotile
Down Under (feat. Colin Hay),Luude
Everytime We Touch (Radio Mix),Cascada
Let Me Love You (feat. Justin Bieber),DJ Snake
Breaking Me,Topic & A7S
My Heart Goes (La Di Da),Becky Hill & Topic
This Is What You Came For (feat. Rihanna),Calvin Harris
Cotton Eye Joe,Rednex
Dancin (feat. Luvli) [Krono Remix],Aaron Smith
Love Is In the Air,John Paul Young
Babel,Gustavo Bravetti
We Are Young (feat. Janelle Monáe) [Alvin Risk Remix],Fun.
Roses (feat. ROZES),The Chainsmokers
"Any Time, Any Place",Janet Jackson
Dancing In The Moonlight (feat. NEIMY),Jubël
Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),"Nathan Evans, 220 KID & Billen Ted"
Dreams (feat. Lanie Gardner),David Guetta & MORTEN
Run It,"DJ Snake, Rick Ross & Rich Brian"
Human (feat. Echoes),John Summit
Original Sin,Sofi Tukker
Drifter,Morgin Madison & Dominique
Clarity (feat. Foxes),Zedd
Alone,Marshmello
What's on Your Mind (Pure Energy),Information Society
Straight Up,Paula Abdul
Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix],Eiffel 65
In My Mind,Dynoro & Gigi D'Agostino
Total Eclipse of the Heart (Dance Mix),Nicki French
Sweet Dreams (Radio Version),La Bouche
It Ain't Right,Shane Codd
Move Your Body,Öwnboss & SEVEK
Summer,Calvin Harris
I Took a Pill in Ibiza (Seeb Remix),Mike Posner
Paris,The Chainsmokers
Better Off Alone,Alice DJ
Electricity (feat. Diplo & Mark Ronson),"Silk City, Dua Lipa"
Let the Music Play,Shannon
Purple Hat,Sofi Tukker
Came Here For Love,Sigala & Ella Eyre
