title,artist
Love In the Music,Baauer
The Last Goodbye (feat. Bettye LaVette),ODESZA
You Want To Bamba,dj pertubado
Flower,Moby
Get You the Moon (feat. Snøw),Kina
Walking On a Dream,Empire of the Sun
Fireflies,Owl City
On My Knees,RÜFÜS DU SOL
Lost in the Fire,Gesaffelstein & The Weeknd
Say Nothing (feat. MAY-A),Flume
Lean On (feat. MØ & DJ Snake),Major Lazer
Devil Eyes,Hippie Sabotage
Paris,Else
Intimidated (feat. H.E.R.),KAYTRANADA
Sadeness,Enigma
Your Woman,White Town
Paper Planes (Afrikan Boy & Rye Rye Remix),M.I.A.
Outro,M83
Latch (feat. Sam Smith),Disclosure
Return To Innocence,Enigma
Midnight City,M83
To Build a Home (feat. Patrick Watson),The Cinematic Orchestra
Memories (feat. Kid Cudi),David Guetta
Paper Planes,M.I.A.
Bad Girls,M.I.A.
Five Nights at Freddy's,The Living Tombstone
Nightcall,Kavinsky
Requiem For a Tower,London Music Works
Firestarter,The Prodigy
In Love With You,The Paradise
Drive Forever,T3NZU
Fuck the Pain Away,Peaches
Sexy Bitch (feat. Akon),David Guetta
Send Me an Angel,Real Life
Bizarre Love Triangle,New Order
tears in the club (feat. the weeknd),FKA twigs
Nova,Burial & Four Tet
Teardrop,Massive Attack
Two Weeks,FKA twigs
Breathe,The Prodigy
When I Get There,Big Wild
Love Tonight,Shouse
Color of Your Soul,GRiZ & CloZee
Anjuna (feat. Solar Kid) [Symbolic & Outsiders Remix],Liquid Soul & Zyce
Around the World (Radio Edit),Daft Punk
Ocean Drive,Duke Dumont
The Buzz (feat. Mataya & Young Tapz),Hermitude
Roundtable Rival,Lindsey Stirling
"Pump Up the Volume (UK 12"" Remix)",M/A/R/R/S
Glory Box,Portishead
Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],SHAUN
Paper Planes,M.I.A.
Insane,Black Gryph0n & Baasik
Like a Boss,Noes
Ghostkeeper,Klangkarussell & GIVVEN
Worst Case (feat. CXLOE),3LAU
Infinity (PRETTY YOUNG Remix),Jaymes Young
Rage,Paaus & Lukrative
fisticuffs (featuring tiLLie),LŪN
Basta Boi (TikTok Remix),Alfons
Dancing On My Own,Robyn
Smack My Bitch Up,The Prodigy
Wait,M83
Electric (feat. Khalid),Alina Baraz
Sexy Bitch (feat. Akon) [Continuous Mix Version],David Guetta
6 Underground,Sneaker Pimps
Keep Moving,Jungle
Running (feat. Meg Myers) [Extended Mix],Anyma
Impossible (feat. Alison Goldfrapp),Röyksopp
Hold Tight,Hayden James
Such Great Heights,The Postal Service
Shatter Me (feat. Lzzy Hale),Lindsey Stirling
Porcelain,Moby
Praise You,Fatboy Slim
Midnight City,M83
Feeling Good (Bassnectar Remix),Nina Simone
Think,Kaleida
A Moment Apart,ODESZA
RISE (feat. The Word Alive),"League of Legends, The Glitch Mob & Mako"
Gorecki,Lamb
Let Go (feat. Veronika Redd),Ark Patrol
Hislerim (feat. Zerrin),Serhat Durmus
Sweet Dreams,Trinix
Numb,Elderbrook
Wanderlust,AK
Anjuna (feat. Solar Kid),Liquid Soul & Zyce
Pittsburgh (Lo-Fi),The Amity Affliction & Less Gravity
Never Be Like You (feat. Kai),Flume
Crystallize,Lindsey Stirling
Hideaway,Kiesza
South Side,Moby
Send Me an Angel (1989 Radio Edit),Real Life
You Wish,Nightmares On Wax
Crave You (Adventure Club Remix),Flight Facilities
Here with Me,Susie Suh & Robot Koch
If You Leave,Orchestral Manoeuvres In the Dark
Boys Wanna Be Her,Peaches
Harvest Moon,Poolside
Be Mine,Ofenbach
Resonance,Home
