title,artist
Enter Sandman,Metallica
Call Me Little Sunshine,Ghost
Valhalla Calling (feat. Peyton Parrish) [Duet Version],Miracle of Sound
Crazy Train,Ozzy Osbourne
Nothing Else Matters,Metallica
The Pot,TOOL
Sober,TOOL
Shotgun Blues,Volbeat
One,Metallica
Like A Villain,Bad Omens
Forty Six & 2,TOOL
For Whom the Bell Tolls,Metallica
Dead Inside,"Nita Strauss, David Draiman & Disturbed"
The Unkillable Soldier,Sabaton
What Hurts the Most,State of Mine
Master of Puppets,Metallica
Paranoid,Black Sabbath
A Little Bit Off,Five Finger Death Punch
Hunter’s Moon,Ghost
Bad Company,Five Finger Death Punch
Blue on Black,Five Finger Death Punch
Schism,TOOL
Wherever I May Roam,Metallica
Fade to Black,Metallica
Du hast,Rammstein
Sad But True,Metallica
Lola Montez,Volbeat
Stinkfist,TOOL
Enter Sandman,Metallica
Wrong Side of Heaven,Five Finger Death Punch
Dance Macabre,Ghost
Ænema,TOOL
The Unforgiven,Metallica
Nothing Else Matters,Metallica
Iron Man,Black Sabbath
Duality,Slipknot
Whiskey In the Jar,Metallica
Soldier of Heaven,Sabaton
Psychosocial,Slipknot
You've Got Another Thing Coming,Judas Priest
Rainy Day,ICE NINE KILLS
Lifeline,Bad Wolves
Turn the Page,Metallica
Breaking the Law,Judas Priest
Square Hammer,Ghost
Wolf Totem (feat. Jacoby Shaddix),The Hu
Darkness Settles In,Five Finger Death Punch
Circle The Drain,Wage War
Before I Forget,Slipknot
Jekyll and Hyde,Five Finger Death Punch
House of the Rising Sun,Five Finger Death Punch
King Nothing,Metallica
Sober,Bad Wolves
Mr. Crowley,Ozzy Osbourne
Killing Me Slowly,Bad Wolves
It's Been Awhile,State of Mine
Lights & Fire,Wolves At the Gate
The Devil In I,Slipknot
War Pigs / Luke's Wall,Black Sabbath
Until It Sleeps,Metallica
Wash It All Away,Five Finger Death Punch
Welcome Home (Sanitarium),Metallica
Judas,Fozzy
Wait and Bleed,Slipknot
The Unforgiven,Metallica
Fuel,Metallica
THE DEATH OF PEACE OF MIND,Bad Omens
Valhalla Calling (Metal Version),Miracle of Sound
Never Gonna Learn,Asking Alexandria
Through the Fire and Flames,DragonForce
Walk,Pantera
Holy Diver,Dio
Wherever I May Roam,Metallica
Symphony of Destruction,Megadeth
Push It,Static-X
Rats,Ghost
To the Hellfire,Lorna Shore
Extermination,Upon a Burning Body
Handshake with Hell,Arch Enemy
A Warrior's Call,Volbeat
The Grey,Bad Omens
Far From Home,Five Finger Death Punch
Rainbow In the Dark,Dio
High Enough,Damn Yankees
Seek & Destroy,Metallica
Living the Dream,Five Finger Death Punch
Jambi,TOOL
Faith,Ghost
The Unforgiven II,Metallica
Cirice,Ghost
Lateralus,TOOL
Prison Sex,TOOL
Wait A Minute My Girl,Volbeat
We Got the Moves,Eskimo Callboy
Teardrinker,Mastodon
Watchtower,The Devil Wears Prada
Rainbow Veins,Bullet for My Valentine
ARTIFICIAL SUICIDE,Bad Omens
Bow,Zeal & Ardor
If Tomorrow Never Comes,Bad Wolves
