title,artist
The Next Episode (feat. Snoop Dogg),Dr. Dre
California Love (feat. Roger Troutman & Dr. Dre),2Pac
Forgot About Dre (feat. Eminem),Dr. Dre
Nuthin' but a G thang (feat. Snoop Dogg),Dr. Dre
In da Club,50 Cent
The Next Episode (feat. Snoop Dogg),Dr. Dre
In da Club,50 Cent
The Real Slim Shady,Eminem
Gin and Juice (feat. Dat Nigga Daz),Snoop Dogg
Without Me,Eminem
Still D.R.E. (feat. Snoop Dogg),Dr. Dre
Bussin,Nicki Minaj & Lil Baby
Love the Way You Lie (feat. Rihanna),Eminem
Big Energy,Latto
Who Am I (What's My Name)?,Snoop Dogg
Alright,Kendrick Lamar
Not Afraid,Eminem
Drop It Like It's Hot (feat. Pharrell Williams),Snoop Dogg
California Love,2Pac featuring Dr. Dre & Roger Troutman
'Till I Collapse (feat. Nate Dogg),Eminem
Nuthin' but a G Thang (feat. Snoop Dogg),Dr. Dre
Lose Yourself,Eminem
m.A.A.d city (feat. MC Eiht),Kendrick Lamar
The Monster (feat. Rihanna),Eminem
Drop It Like It's Hot (Radio Edit),Snoop Dogg & Pharrell Williams
Do We Have A Problem?,Nicki Minaj & Lil Baby
Broadway Girls (feat. Morgan Wallen),Lil Durk
Shake That (feat. Nate Dogg),Eminem
Candy Shop (feat. Olivia),50 Cent
I Ain't Mad At Cha (feat. Danny Boy),2Pac
California Love (feat. Dr. Dre & Roger Troutman) [Remix],2Pac
HUMBLE.,Kendrick Lamar
P.I.M.P.,50 Cent
I Need a Doctor (feat. Eminem & Skylar Grey),Dr. Dre
HANDSOMER,Russ
Be Without You (Kendu Mix),Mary J. Blige
Fuck wit Dre Day (And Everybody's Celebratin'),Dr. Dre
Super Gremlin,Kodak Black
Gospel,Dr. Dre & Eminem
My Name Is,Eminem
Crack a Bottle (Single Version),"Eminem, Dr. Dre & 50 Cent"
Stan (feat. Dido),Eminem
Big Energy,Latto
Rap God,Eminem
pushin P (feat. Young Thug),Gunna & Future
God Over Government,Hi-Rez & Jimmy Levy
Changes (feat. Talent),2Pac
INDUSTRY BABY,Lil Nas X & Jack Harlow
Forgot About Dre (feat. Eminem),Dr. Dre
We the People,Kid Rock
Just a Lil Bit,50 Cent
Let Me Ride (feat. Jewell),Dr. Dre
City of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Superman (feat. Dina Rae),Eminem
Mockingbird,Eminem
Amazing (feat. DJ Khaled),Mary J. Blige
Cleanin' Out My Closet,Eminem
One Right Now,Post Malone & The Weeknd
Dear Mama,2Pac
Bussin,Nicki Minaj & Lil Baby
Oh Lord,NF
The Way I Am,Eminem
I'm Goin' Down,Mary J. Blige
California Love (feat. Roger Troutman & Dr. Dre),2Pac
Closer (feat. H.E.R.),Saweetie
Coming Back (feat. Nefertitti Avani & October London),Snoop Dogg
When I'm Gone,Eminem
What's the Difference (feat. Eminem & Xzibit),Dr. Dre
Diet Coke,Pusha T
Astronaut In The Ocean,Masked Wolf
Ginseng Strip 2002,Yung Lean
TO THE MOON,Jnr Choi & Sam Tompkins
It Was a Good Day,Ice Cube
Best Friend (feat. Doja Cat),Saweetie
Disco Inferno,50 Cent
Circles,Post Malone
Lodi Dodi (feat. Nancy Fletcher),Snoop Dogg
Sing for the Moment,Eminem
Tick Tick Boom (feat. BygTwo3),Sage the Gemini
Conflicted (feat. Nas),Snoop Dogg
21 Questions (feat. Nate Dogg) [feat. Nate Dogg],50 Cent
Gangsta's Paradise (feat. L.V.),Coolio
Push It,Salt-N-Pepa
Worst Day,Future
Cigarettes,Juice WRLD
Hit 'Em Up (feat. Outlawz),2Pac
Still D.R.E. (Instrumental),Dr. Dre
Keep Ya Head Up,2Pac
ETA,"Dr. Dre, Snoop Dogg, Busta Rhymes & Anderson .Paak"
Whoopty,CJ
Murder Was the Case (Death After Visualizing Eternity),Snoop Dogg & Dat Nigga Daz
Berzerk,Eminem
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
Beautiful (feat. Pharrell & Uncle Charlie Wilson),Snoop Dogg
Like Toy Soldiers,Eminem
Drop It Like It's Hot,Snoop Dogg & Pharrell Williams
I Look Good,O.T. Genasis
Eazy,The Game & Kanye West
Bussin (Instrumental),Nicki Minaj
Knife Talk (feat. 21 Savage & Project Pat),Drake
