title,artist
The Night We Met,Lord Huron
Wonderwall,Oasis
Champagne Supernova,Oasis
Texas Sun,Khruangbin & Leon Bridges
Don't Look Back in Anger,Oasis
Washing Machine Heart,Mitski
On the Level,Mac DeMarco
Meet Me in the Woods,Lord Huron
Fool for Love,Lord Huron
For the First Time,Mac DeMarco
Stop Crying Your Heart Out,Oasis
Love Like Ghosts,Lord Huron
What Once Was,Her's
The Wolf,SIAMES
Maria También,Khruangbin
Live Forever,Oasis
Me and My Husband,Mitski
A Burning Hill,Mitski
Caught Up,Shamir
"Eat the Wine, Drink the Bread",Destroyer
Your Best American Girl,Mitski
Hunnybee,Unknown Mortal Orchestra
Wonderwall (Remastered),Oasis
C-Side,Khruangbin & Leon Bridges
What Once Was,Her's
Watching Him Fade Away,Mac DeMarco
I Will Follow You into the Dark,Violet Orlandi
You Only Live Once,The Strokes
Further On,Bronze Radio Return
Nobody,Mitski
August 10,Khruangbin
Supersonic,Oasis
Moonlight on the River,Mac DeMarco
Forever Night,Night Shop
Fall At Your Feet,Saint Raymond
Don't Go Away,Oasis
Morning Glory,Oasis
Edge of the Ocean,Ivy
The World Ender,Lord Huron
Mistakes,Lake Street Dive
Frozen Pines,Lord Huron
Love It All,The Kooks
La Belle Fleur Sauvage,Lord Huron
Side Pony,Lake Street Dive
Mr. Fear,SIAMES
Dear Love of Mine,Daniel Spaleniak
No Matter Where We Go,Whitney
Vintage,Blu DeTiger
Still Beating,Mac DeMarco
Cómo Me Quieres,Khruangbin
Don't Look Back in Anger (Remastered),Oasis
Down the Line,Beach Fossils
I Bet on Losing Dogs,Mitski
Valleys (My Love),Whitney
Blue,Camp Cope
Acolyte,"Slaughter Beach, Dog"
Meet the Frownies,Mr Twin Sister
Can't Hold Back,The Phantoms
Death of the Phone Call,"Whatever, Dad"
Tomorrow,Waxahatchee
Spiders,Bear's Den
Who Do You Love,"Marc Lane, Nicholas Carter & Shelley Nelson"
Nuclear,Shamir
Let Me Let It Go,Night Shop
Abomination,Shamir
The End of Time,Night Shop
Pressure,Creature Canyon
Elvis Comeback Special,Empath
Thursday,Sooner
You're Not Alone,Saosin
Voices,Saosin
Nantes,Beirut
We Are Your Friends,Simian
Juicebox,The Strokes
Some Might Say,Oasis
Someone to Love,Fountains Of Wayne
All Around The World,Oasis
Santa Fe,Beirut
D'You Know What I Mean?,Oasis
She's Electric,Oasis
Cast No Shadow,Oasis
Hello,Oasis
Roll with It,Oasis
It's Far Better to Learn,Saosin
Hey Now!,Oasis
Collapse,Saosin
The Luck You Got,The High Strung
Heart In a Cage,The Strokes
Shine On,The Kooks
Wonderwall,Oasis
Rough Gem,Islands
Thursday,Asobi Seksu
Stand By Me,Oasis
Fuckin' in the Bushes,Oasis
Bury Your Head,Saosin
