title,artist
What a Wonderful World,Louis Armstrong
L-O-V-E,"Nat ""King"" Cole"
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr."
Stardust,Samara Joy
"Don't Worry, Be Happy",Bobby McFerrin
What You Won't Do for Love,Bobby Caldwell
What a Wonderful World,Louis Armstrong
Just the Two of Us,"Grover Washington, Jr. & Bill Withers"
In the Mood,Glenn Miller and His Orchestra
My Funny Valentine,Ella Fitzgerald
Dream a Little Dream of Me (Single Version),Ella Fitzgerald & Louis Armstrong
"Feeling Good (From ""the Roar of the Greasepaint"")",Nina Simone
La Vie En Rose,Louis Armstrong and His Orchestra
Give Me the Night,George Benson
Lily Was Here,David A. Stewart
Lover Man (Oh Where Can You Be?),Samara Joy
Sinnerman (Felix Da Housecat's Heavenly House Mix),Nina Simone & Felix Da Housecat
This Guy's in Love with You,Herb Alpert & The Tijuana Brass
Grazing in the Grass,Hugh Masekela
Pennies from Heaven,Louis Prima
Moonglow,Samara Joy
Take Five,Dave Brubeck
Forever In Love,Kenny G
Moonlight Serenade,Glenn Miller and His Orchestra
Turn Your Love Around,George Benson
Rise,Herb Alpert
The Bengals Growl (Fight Song),ML Music & Cincinnati Pep Band
Peace Piece,Bill Evans
Stardust,Samara Joy
Songbird,Kenny G
Spanish Flea,Herb Alpert & The Tijuana Brass
Unforgettable,"Nat ""King"" Cole"
Smile,"Nat ""King"" Cole"
Glory of Love,Peter Cetera
Amor De Mi Vida (Love of My Life),Rick Braun
On Broadway,George Benson
La vie en rose (Single Version),Louis Armstrong and His Orchestra
Silhouette,Kenny G
Angelina / Zooma Zooma,Louis Prima
My Way,Frank Sinatra
Peace Piece,Bill Evans Trio
Sinnerman (Sofi Tukker Remix),Nina Simone & Sofi Tukker
I Didn't Mean It (feat. Brian Culbertson),Lindsey Webster
In a Sentimental Mood,John Coltrane & Duke Ellington
I Put a Spell On You,Annie Lennox
"Sing, Sing, Sing",Benny Goodman & Benny Goodman and His Orchestra
What a Wonderful World (Single Version),Louis Armstrong
Feeling Good,Nina Simone
J'Ai Deux Amours,Madeleine Peyroux
Forever in Love,Kenny G
So What,Miles Davis
Don't Let Me Be Misunderstood,Nina Simone
Solitude,Billie Holiday
Just the Two of Us,"Grover Washington, Jr."
Far Away Places,Rick Braun
Heart To Heart,Norman Brown
Inseparable,Jershika Maple
Feeling Good,Nina Simone
The Trouble with Me Is You,Samara Joy
I'll Be Seeing You (Version 3),Billie Holiday
Summertime,Louis Armstrong & Ella Fitzgerald
Rockit,Herbie Hancock
A Kiss to Build a Dream On,Louis Armstrong
"The Secret Garden (Sweet Seduction Suite) [feat. Barry White, El DeBarge, Al B. Sure! & James Ingram]",Quincy Jones
You Don't Know Me,Ray Charles & Diana Krall
I Don't Want to Set the World on Fire (Single Version),The Ink Spots
"Sing, Sing, Sing",Benny Goodman and His Orchestra & Benny Goodman
Let's Call The Whole Thing Off,Ella Fitzgerald & Louis Armstrong
The Entertainer,Scott Joplin
In a Sentimental Mood,Duke Ellington & John Coltrane
Just a Gigolo / I Ain't Got Nobody,Louis Prima
My Funny Valentine,Chet Baker
The Second Line,"Stop, Inc."
Breezin',George Benson
"It's Been a Long, Long Time",Harry James and His Orchestra
Out to Lunch,Oli Silk
Solitude (feat. Samara Joy),Pasquale Grasso
But Beautiful (feat. Pasquale Grasso),Samara Joy
What a Wonderful World (Single Version),Louis Armstrong
Cantaloop (Flip Fantasia),Us3
Tijuana Taxi,Herb Alpert & The Tijuana Brass
Sorry Seems To Be the Hardest Word,Ray Charles & Elton John
The Girl from Ipanema (feat. Astrud Gilberto & Antônio Carlos Jobim) [Single Version],Stan Getz & João Gilberto
I Put A Spell On You,Nina Simone
A Taste of Honey,Herb Alpert & The Tijuana Brass
"Jump, Jive, An' Wail",Louis Prima
Mack the Knife,Louis Armstrong
Don't Wait Too Long,Madeleine Peyroux
Misty Blue,Etta James
"It's Been A Long, Long Time",Kitty Kallen
The Edge (2005 Remaster),David McCallum
Fly Me to the Moon / Lucky (Mash-Up) [feat. Breea Guttery],Rick Hale
Feel the Love,Brian Culbertson
Love Seasons,Zoom
The Color of Love,Rick Braun
Everything Happens to Me,Samara Joy
The Look of Love,Diana Krall
Here We Go Again,Ray Charles & Norah Jones
Funkin' for Jamaica,Tom Browne
The Way You Look Tonight,"Harry Connick, Jr."
