title,artist
MAMIII,Becky G. & KAROL G
Sus Huellas,Romeo Santos
Pepas,Farruko
Leyenda,Anuel AA
Fumando Mota,Los Lara
Segundo,Maluma
Ocean,KAROL G
Mujeriego,Ryan Castro
Eazt,Jay Wheeler
DÁKITI,Bad Bunny & Jhay Cortez
Pepas,Farruko
El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni"
Tacones Rojos,Sebastián Yatra
Miel,Lauri Garcia
Pa'lla Voy,Marc Anthony
NO SE OLVIDA,Wisin & Yandel
1 en 1 Millon,Maluma
telepatía,Kali Uchis
Todo De Ti,Rauw Alejandro
Pa Ti (For You),Jennifer Lopez & Maluma
Vivir Mi Vida,Marc Anthony
Yonaguni,Bad Bunny
Andamos Mejor,Los Gemelos De Sinaloa
Danza Kuduro (feat. Lucenzo),Don Omar & Lucenzo
Livin' la Vida Loca,Ricky Martin
Dreaming Of You,Selena
200 COPAS,KAROL G
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas"
"Whenever, Wherever",Shakira
Volví,Aventura & Bad Bunny
Cada Quien,Grupo Firme & Maluma
Yo Te Extrañare,Tercer Cielo
Desde Mis Ojos,Chris Lebron
I Could Fall In Love,Selena
Desesperados,Rauw Alejandro & Chencho Corleone
Sobrio,Maluma
SEJODIOTO,KAROL G
SAOKO,ROSALÍA
Santo,Christina Aguilera & Ozuna
Tusa,KAROL G & Nicki Minaj
Me Gusta (with Cardi B & Myke Towers),Anitta
EL BARCO,KAROL G
Mala,Marc Anthony
Bonita,Los Dorados
Si Te Pudiera Mentir,Calibre 50
Santo,Christina Aguilera & Ozuna
Las Mañanitas,Vicente Fernández
Ya Supérame (En Vivo),Grupo Firme
No Paras de Hacerme Feliz,La Fiera de Ojinaga
La Sinvergüenza,Christian Nodal & Banda MS de Sergio Lizárraga
Macarena (Bayside Boys Remix),Los del Río
No Crezcas Mas,Tercer Cielo
Hasta la Raíz,Natalia Lafourcade
A Ella,KAROL G
Incompleto,Onell Diaz & Farruko
I Like It (feat. Pitbull),Enrique Iglesias
Conga,Gloria Estefan & Gloria Estefan & Miami Sound Machine
LA NOCHE DE ANOCHE,Bad Bunny & ROSALÍA
Qué Más Puedo Pedir (Bonus Track),Carin Leon
Tacones Rojos,Sebastián Yatra
No Te Deseo el Mal,Eladio Carrión & KAROL G
LA FAMA (feat. The Weeknd),ROSALÍA
Suavemente,Elvis Crespo
Callaita,Bad Bunny & Tainy
Despacito,Luis Fonsi & Daddy Yankee
El Tóxico,Grupo Firme & Carin Leon
EL MAKINÓN,KAROL G & Mariah Angeliq
Ojos Rojos,Nicky Jam
Te Ví Pasar (Remastered 2022),Elvira Rios
Amor de Febrero,Jay Wheeler
Mesero,Chris Lebron
Stand by Me,Prince Royce
Un Poco Loco,Anthony Gonzalez & Gael García Bernal
Secreto,Anuel AA & KAROL G
LA CANCIÓN,J Balvin & Bad Bunny
Se Menea,Don Omar & Nio García
Gasolina,Daddy Yankee
Canción Para Mi Ex,Jay Wheeler
Gasolina (Dj Buddha Remix),"Daddy Yankee, Lil Jon, Noriega & Pitbull"
Como la Flor,Selena
Yo Perreo Sola,Bad Bunny
Hawái (Remix),Maluma & The Weeknd
BICHOTA,KAROL G
Si Veo a Tu Mamá,Bad Bunny
A La Antigüita,Calibre 50
After Party (feat. Mariah Angeliq & Kevin Lyttle),"Alex Sensation, Farruko & Prince Royce"
Caprichoso,Rauw Alejandro
Dile a Tu Orgullo (En Vivo),Luis Alfonso Partida El Yaki & Grupo Firme
FRIKI,Feid & KAROL G
Agüita e Coco,Kany García
Si Me Ven,Los Gemelos De Sinaloa
Vencer el Pasado,Ha-Ash
Créeme,KAROL G & Maluma
In Da Getto,J Balvin & Skrillex
En Tu Perra Vida,Grupo Firme & Lenin Ramírez
Señor Juez,Ozuna & Anthony Santos
Ojos Cerrados,Banda MS de Sergio Lizárraga & Carin Leon
Descansando,Fuerza Regida
"Mi Gente (F4st, Velza & Loudness Remix)",J Balvin & Willy William
MIA (feat. Drake),Bad Bunny
