title,artist
Stay Alive (Prod. by SUGA of BTS),Jung Kook
Still D.R.E. (feat. Snoop Dogg),Dr. Dre
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran
On My Way (Marry Me),Jennifer Lopez
abcdefu,GAYLE
Numb Little Bug,Em Beihold
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Shivers,Ed Sheeran
Unstoppable,Sia
Easy On Me,Adele
Ghost,Justin Bieber
Oh My God,Adele
THATS WHAT I WANT,Lil Nas X
Marry Me (Kat & Bastian Duet),Jennifer Lopez & Maluma
Love of My Life (Marry Me),Jennifer Lopez
"After Love, Pt. 1",Jennifer Lopez
Boyfriend,Dove Cameron
Fingers Crossed,Lauren Spencer-Smith
Bad Habits,Ed Sheeran
Marry Me (Ballad),Jennifer Lopez & Maluma
Perfect,Ed Sheeran
she's all i wanna be,Tate McRae
I AM WOMAN,Emmy Meli
JIKJIN,TREASURE
My Universe,Coldplay X BTS
Light Switch,Charlie Puth
Buttons,Snoop Dogg & The Pussycat Dolls
STAY,The Kid LAROI & Justin Bieber
Total Eclipse of the Heart,Bonnie Tyler
Better Days,"NEIKED, Mae Muller & Polo G"
Werk Out,Todrick Hall
911,Teddy Swims
On My Way (Marry Me),Jennifer Lopez
High,The Chainsmokers
Woman,Doja Cat
Need To Know,Doja Cat
THATS WHAT I WANT,Lil Nas X
River Flows In You,Yiruma
Lost,Frank Ocean
Love of My Life (Marry Me) [ARKADI Remix],Jennifer Lopez & Arkadi
Acapulco,Jason Derulo
INVU,TAEYEON
Levitating (feat. DaBaby),Dua Lipa
I Feel Good (feat. Anthony Watts & DJWS),Pitbull
Peru,Fireboy DML & Ed Sheeran
Dynamite (feat. Sia),Sean Paul
Bad Habits,Ed Sheeran
Who's In Your Head,Jonas Brothers
Your Song,Ellie Goulding
STAY,The Kid LAROI & Justin Bieber
Unchained Melody,The Righteous Brothers
Toxic Pony,"ALTÉGO, Britney Spears & Ginuwine"
Too Much (feat. Usher),Marshmello & Imanbek
Cold Heart (PNAU Remix),Elton John & Dua Lipa
GHOST TOWN,Benson Boone
You Are the Reason (Duet Version),Calum Scott & Leona Lewis
good 4 u,Olivia Rodrigo
Wellerman (Sea Shanty),Nathan Evans
You Right,Doja Cat & The Weeknd
F**kin' Perfect,P!nk
Love Grows (Where My Rosemary Goes),Edison Lighthouse
Frozen,Madonna & Sickick
I Will Always Love You,Whitney Houston
Memories,Maroon 5
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
Woman,Doja Cat
Dancing in the Sky,Dani and Lizzy
Into You,Ariana Grande
Levitating,Dua Lipa
Never Gonna Give You Up,Rick Astley
If I Would Have Known,Kyle Hume
Lost,Frank Ocean
Get Into It (Yuh),Doja Cat
abcdefu (feat. Royal & the Serpent),GAYLE
"How Deep Is Your Love (From ""Saturday Night Fever"" Soundtrack)",Bee Gees
Thinking Out Loud,Ed Sheeran
You Are the Reason,Calum Scott
Leave Before You Love Me,Marshmello & Jonas Brothers
U,TREASURE
Total Eclipse of the Heart (Single Version),Bonnie Tyler
Girls Just Want to Have Fun,Cyndi Lauper
DARARI,TREASURE
The Champion (feat. Ludacris),Carrie Underwood
Ghost,Justin Bieber
Middle of the Night,Elley Duhé
Hello,Adele
F**kin' Perfect,P!nk
Your Song,Elton John
Oh Na Na,"Camila Cabello, Myke Towers & Tainy"
Drowning,Anne Sila
Return of the Mack,Mark Morrison
Mount Everest,Labrinth
Everybody Wants to Rule the World,Tears for Fears
Kings & Queens,Ava Max
Watermelon Sugar,Harry Styles
IT'S OKAY,TREASURE
My Wish,Rascal Flatts
Not Gon' Cry,Mary J. Blige
Landslide,Fleetwood Mac
Butter,BTS
