title,artist
Pepas,Farruko
Ocean,KAROL G
Eazt,Jay Wheeler
DÁKITI,Bad Bunny & Jhay Cortez
Pepas,Farruko
El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni"
NO SE OLVIDA,Wisin & Yandel
Todo De Ti,Rauw Alejandro
Yonaguni,Bad Bunny
Danza Kuduro (feat. Lucenzo),Don Omar & Lucenzo
200 COPAS,KAROL G
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas"
Volví,Aventura & Bad Bunny
Desesperados,Rauw Alejandro & Chencho Corleone
Sobrio,Maluma
SEJODIOTO,KAROL G
Santo,Christina Aguilera & Ozuna
Tusa,KAROL G & Nicki Minaj
Me Gusta (with Cardi B & Myke Towers),Anitta
EL BARCO,KAROL G
Bonita,Los Dorados
Santo,Christina Aguilera & Ozuna
A Ella,KAROL G
LA NOCHE DE ANOCHE,Bad Bunny & ROSALÍA
Callaita,Bad Bunny & Tainy
EL MAKINÓN,KAROL G & Mariah Angeliq
Ojos Rojos,Nicky Jam
Secreto,Anuel AA & KAROL G
LA CANCIÓN,J Balvin & Bad Bunny
Se Menea,Don Omar & Nio García
Canción Para Mi Ex,Jay Wheeler
Gasolina (Dj Buddha Remix),"Daddy Yankee, Lil Jon, Noriega & Pitbull"
Yo Perreo Sola,Bad Bunny
Hawái (Remix),Maluma & The Weeknd
BICHOTA,KAROL G
Si Veo a Tu Mamá,Bad Bunny
After Party (feat. Mariah Angeliq & Kevin Lyttle),"Alex Sensation, Farruko & Prince Royce"
Caprichoso,Rauw Alejandro
FRIKI,Feid & KAROL G
Créeme,KAROL G & Maluma
In Da Getto,J Balvin & Skrillex
"Mi Gente (F4st, Velza & Loudness Remix)",J Balvin & Willy William
MIA (feat. Drake),Bad Bunny
Mi Gente,J Balvin & Willy William
Botella Tras Botella,Gera MX & Christian Nodal
Yo Voy (feat. Daddy Yankee),Zion & Lennox
Borracho,Sech & DJ Khaled
¿Quién Carajo?,Jay Wheeler
Otra Noche,Los Ángeles Azules & Nicki Nicole
China (feat. J Balvin & Ozuna),"Anuel AA, Daddy Yankee & KAROL G"
No Me Conoce (Remix),"Jhay Cortez, J Balvin & Bad Bunny"
Culpables,KAROL G & Anuel AA
Safaera,"Bad Bunny, Jowell & Randy & Ñengo Flow"
Pareja Del Año,Sebastián Yatra & Myke Towers
SI TE VIERAS DESDE MIS OJOS,CRHIS LEBRON
Limbo,Daddy Yankee
Criminal,Natti Natasha & Ozuna
UN DIA (ONE DAY),"J Balvin, Dua Lipa, Bad Bunny & Tainy"
AM Remix,"Nio García, J Balvin & Bad Bunny"
Ram Pam Pam,Natti Natasha & Becky G.
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]","J Balvin, KAROL G & Nicky Jam"
La Santa,Bad Bunny & Daddy Yankee
Mi Cuarto,Jerry Di
Sin Pijama,Becky G. & Natti Natasha
Ley Seca,Jhay Cortez & Anuel AA
La Bendición,Farruko & Lenier
Aquel Nap ZzZz,Rauw Alejandro
Dura,Daddy Yankee
Con Calma (feat. Snow),Daddy Yankee
Con Calma (feat. Snow) [Remix],Daddy Yankee & Katy Perry
La Romana (feat. El Alfa),Bad Bunny
ADMV,Maluma
In Da Getto,J Balvin & Skrillex
Nostálgico,"Rvssian, Rauw Alejandro & Chris Brown"
Se Te Nota,Lele Pons & Guaynaa
Medallo,"Blessd, Justin Quiles & Lenny Tavárez"
Tusa,KAROL G & Nicki Minaj
Sincero,Don Omar
La Zona,Bad Bunny
Mamá Tetema (feat. Rayvanny),Maluma
Buenos Días,"Wisin, Camilo & Los Legendarios"
Desesperados,Rauw Alejandro & Chencho Corleone
"Te Boté (feat. Darell, Ozuna & Nicky Jam) [Remix]","Nio García, Casper Mágico & Bad Bunny"
Quiéreme (feat. Farruko),Jacob Forever
Solo de Mí,Bad Bunny
Reloj,Rauw Alejandro & Anuel AA
Tú,Los Elegantes de Jerez
La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers"
100 Años,Carlos Rivera & Maluma
Me Enamoré,Jay Wheeler & DJ Nelson
Una Nota,J Balvin & Sech
Miénteme,TINI & Maria Becerra
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]","J Balvin, KAROL G & Nicky Jam"
"Noche De Entierro (feat. De La Ghetto, Arcángel, Ivy Queen & Jowell & Randy) [Remix]",Luny Tunes & Daddy Yankee
Muy Feliz (Remix),"Ñejo, Nicky Jam & Silvestre Dangond"
Pacto,Betzabeth
Soñando Despierto,Jay Wheeler
Corazón (feat. Nego do Borel),Maluma
Sin Pijama (Kumbia Remix),Becky G. & Natti Natasha
Ella Quiere Beber (Remix),Anuel AA & Romeo Santos
