title,artist
Family Affair,Mary J. Blige
No More Drama,Mary J. Blige
Good Morning Gorgeous,Mary J. Blige
Suga Suga,Baby Bash
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell
Real Love,Mary J. Blige
Love's Train,"Bruno Mars, Anderson .Paak & Silk Sonic"
Hrs and Hrs,Muni Long
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic"
Easy,The Commodores
One In A Million,Aaliyah
I'll Be Around,The Spinners
"Can't Get Enough of Your Love, Babe",Barry White
Beautiful Lies,Yung Bleu & Kehlani
Just My Imagination (Running Away With Me),The Temptations
Somebody's Watching Me (Single Version),Rockwell
Blinding Lights,The Weeknd
I Got You (I Feel Good),James Brown & The Famous Flames
If Your Girl Only Knew,Aaliyah
Hate Our Love,Queen Naija & Big Sean
Respect,Aretha Franklin
Rise Up,Andra Day
Kiss from a Rose,Seal
Family Affair,Mary J. Blige
On My Own,Patti LaBelle & Michael McDonald
I Hate U,SZA
Down On Me (feat. 50 Cent),Jeremih & 50 Cent
One Sweet Day,Boyz II Men & Mariah Carey
Down,Jay Sean
Pressure,Ari Lennox
No More Drama,Mary J. Blige
Give It to Me Baby,Rick James
Fuck You,CeeLo Green
All of Me,John Legend
Sacrifice,The Weeknd
Cruisin',Smokey Robinson
Working My Way Back to You,The Spinners
Need Love (feat. Usher),Mary J. Blige
You Dropped a Bomb On Me,The Gap Band
Crazy,K-Ci & JoJo
Rent Money (feat. Dave East),Mary J. Blige
Endless Love (Endless Love Soundtrack Version),Lionel Richie & Diana Ross
Don't Leave Me,Blackstreet
Could It Be I'm Falling In Love,The Spinners
Stand By Me,Ben E. King
The Glamorous Life,Sheila E.
No Diggity (feat. Dr. Dre & Queen Pen),Blackstreet
Killing Me Softly With His Song,Roberta Flack
I Say a Little Prayer,Aretha Franklin
Bottoms Up (feat. Nicki Minaj),Trey Songz
Save Your Tears,The Weeknd
I'll Take You There,The Staple Singers
Nobody (feat. Athena Cage),Keith Sweat
Yeah! (feat. Lil Jon & Ludacris),Usher
Twisted,Keith Sweat
For Tonight,GIVĒON
Lonely (Dirty) [Old Version],Akon
Just Fine,Mary J. Blige
My Girl,The Temptations
Because of You,Ne-Yo
Rub You the Right Way,Johnny Gill
September,"Earth, Wind & Fire"
"Lessons (feat. Anthony Hamilton, Raheem DeVaughn & Kevin Ross) [Remix]",Eric Roberson
The First Time Ever I Saw Your Face,Roberta Flack
It's the Same Old Song,Four Tops
If It Isn't Love,New Edition
Hrs and Hrs,Muni Long
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton
(You Make Me Feel Like) A Natural Woman,Aretha Franklin
Cry to Me (Single Version),Solomon Burke
Let It Go (feat. Missy Elliott & Lil 'Kim),Keyshia Cole
On Bended Knee,Boyz II Men
Fantasy,Mariah Carey
Happy Birthday,Stevie Wonder
Stuck On You,Lionel Richie
Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic"
Ooo Baby Baby,Smokey Robinson & The Miracles
Lovin' You,Minnie Riperton
Chain of Fools,Aretha Franklin
Sweet Love,Anita Baker
Hurt Me So Good,Jazmine Sullivan
Lovely Day,Bill Withers
Love,Musiq
Save Your Tears (Remix),The Weeknd & Ariana Grande
After Last Night (with Thundercat & Bootsy Collins),"Bruno Mars, Anderson .Paak & Silk Sonic"
Girl On Fire,Alicia Keys
Papa Was a Rollin' Stone (Single Version),The Temptations
4 Page Letter,Aaliyah
I'll Be Missing You,Puff Daddy & Faith Evans
Boo'd Up,Ella Mai
The Rubberband Man,The Spinners
Take My Breath,The Weeknd
Naturally,Tinashe
"What'd I Say, Pts. I & 2",Ray Charles
Have Mercy,Chlöe
Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic"
Tell Me Something Good (feat. Chaka Khan),Rufus
Family Affair,Mary J. Blige
Iffy,Chris Brown
