title,artist
Lose Yourself,Eminem
We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast"
Lose Yourself,Eminem
Surface Pressure,Jessica Darrow
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto - Cast"
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
Waiting On A Miracle,Stephanie Beatriz
Dos Oruguitas,Sebastián Yatra
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto - Cast"
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg & Wiz Khalifa
Forever,Labrinth
Shallow,Lady Gaga & Bradley Cooper
We Don't Talk About Bruno (Instrumental Version),Lin-Manuel Miranda
A Thousand Years,Christina Perri
"Colombia, Mi Encanto",Carlos Vives
Always Remember Us This Way,Lady Gaga
The Book of Boba Fett,Ludwig Göransson
Forever,"Drake, Kanye West, Lil Wayne & Eminem"
Suéltate (feat. Anitta & BIA) [From Sing 2],Sam i & Jarina De Marco
Still Don't Know My Name,Labrinth
All for Us (From the HBO Original Series Euphoria),Labrinth & Zendaya
Now We Are Free,"Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra, Bruce Fowler, Yvonne S. Moriarty, Walt Fowler, Ladd McIntosh, Elizabeth Finch & Jack Smalley"
Don't You (Forget About Me),Simple Minds
A Sky Full of Stars,Taron Egerton
(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes
CAN'T STOP THE FEELING!,Justin Timberlake
Could Have Been Me,Halsey
Two Oruguitas,Sebastián Yatra
"Simply the Best (From ""Schitt's Creek"")",Noah Reid
The Mandalorian,Ludwig Göransson
Purple Rain,Prince & The Revolution
You'll Be In My Heart,Phil Collins
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa & P!nk"
I Still Haven’t Found What I’m Looking For,Scarlett Johansson & Bono
The Sopranos Theme: Woke Up This Morning (Exacto Mix),Vinnie Pauleone & The Ba Da Bing Orchestra
When I R.I.P.,Labrinth
Danger Zone,Kenny Loggins
You've Got a Friend In Me,Randy Newman
Footloose,Kenny Loggins
8 Mile,Eminem
Life Is a Highway,Rascal Flatts
Love Me Like You Do,Ellie Goulding
When Doves Cry,Prince & The Revolution
The Climb,Miley Cyrus
How Far I'll Go,Auli'i Cravalho
"Take My Breath Away (Love Theme from ""Top Gun"")",Berlin
Hungry Eyes,Eric Carmen
Ghostbusters,Ray Parker Jr.
Earned It,The Weeknd
Let's Go Crazy,Prince & The Revolution
I Don't Want to Miss a Thing,Aerosmith
This Is Me,Keala Settle & The Greatest Showman Ensemble
You're Welcome,Dwayne Johnson
Formula,Labrinth
Now We Are Free,"Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra, Bruce Fowler, Yvonne S. Moriarty, Walt Fowler, Ladd McIntosh, Elizabeth Finch, Jack Smalley & Hans Zimmer"
Can't Help Falling in Love,Kina Grannis
Never Enough,Loren Allred
Hide (feat. Seezyn),Juice WRLD
There's Nothing Holdin' Me Back,Taron Egerton & Tori Kelly
Watercolor Eyes (From “Euphoria” An Original HBO Series),Lana Del Rey
Let It Go,Idina Menzel
Kiss,Prince
Cornfield Chase,Hans Zimmer
Stand Up (from Harriet),Cynthia Erivo
Meant to be Yours,Jamie Muscato & Original West End Cast of Heathers
Do You Want to Build a Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez"
Can You Feel the Love Tonight,Elton John
WWE: Watch Me (Liv Morgan),def rebel
Holding Out for a Hero,Bonnie Tyler
A Million Dreams,"Ziv Zaifman, Hugh Jackman & Michelle Williams"
Can't Stop the Feeling! (Film Version),"Justin Timberlake, Anna Kendrick, Gwen Stefani, James Corden, Zooey Deschanel, Ron Funches, Caroline Hjelt, Aino Jawo, Christopher Mintz-Plasse & Kunal Nayyar"
Rewrite the Stars,Zac Efron & Zendaya
Let It Go,Idina Menzel
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble"
She's Like the Wind (feat. Wendy Fraser),Patrick Swayze
U,millennium parade & Belle
How Long (From ”Euphoria” An HBO Original Series),Tove Lo
1883 Theme,Brian Tyler
Mad World (feat. Gary Jules),Michael Andrews
Let's Hear It for the Boy,Deniece Williams
"My Heart Will Go On (Love Theme from ""Titanic"")",James Horner & Céline Dion
"Mon Soleil (from ""Emily in Paris"" Soundtrack)",Ashley Park
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN & Taylor Swift
I See the Light,Mandy Moore & Zachary Levi
Rabbit Run,Eminem
My Heart Will Go On (Dialogue Mix),Céline Dion
It Has To Be This Way (Platinum Mix),Jimmy Gnecco
I Say A Little Prayer,Tori Kelly & Pharrell Williams
"Gonna Fly Now (Theme From ""Rocky"")",Bill Conti
I Will Always Love You,Whitney Houston
"The Sopranos: ""Woke Up This Morning""",Dominik Hauser
Surface Pressure (Instrumental Version),Lin-Manuel Miranda
Young and Beautiful (DH Orchestral Version),Lana Del Rey
I'll Make a Man Out of You (Soundtrack Version),"Donny Osmond, Chorus - Mulan & Disney"
Can I Get A... (feat. Amil & Ja Rule),JAY-Z
I'll Never Love Again (Extended Version),Lady Gaga
The Rose,Bette Midler
Arthur's Theme (Best That You Can Do),Christopher Cross
Do You Feel Me,Anthony Hamilton
Hallelujah,Tori Kelly
